E10,Counts
ENSDARG00000005640,0
ENSDARG00000005643,0
ENSDARG00000005645,0
ENSDARG00000005648,0
ENSDARG00000005651,0
ENSDARG00000005652,5
ENSDARG00000005670,12
ENSDARG00000005673,0
ENSDARG00000005675,1
ENSDARG00000005679,4
ENSDARG00000005690,0
ENSDARG00000005699,4
ENSDARG00000005704,0
ENSDARG00000005713,9
ENSDARG00000005716,1
ENSDARG00000005738,0
ENSDARG00000005739,0
ENSDARG00000005749,7
ENSDARG00000005754,17
ENSDARG00000005762,3
ENSDARG00000005772,0
ENSDARG00000005774,6
ENSDARG00000005775,3
ENSDARG00000005776,1
ENSDARG00000005780,0
ENSDARG00000005783,70
ENSDARG00000005786,0
ENSDARG00000005789,0
ENSDARG00000005791,20
ENSDARG00000005799,0
ENSDARG00000005800,0
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,1
ENSDARG00000005827,11
ENSDARG00000005828,0
ENSDARG00000005834,3
ENSDARG00000005840,1
ENSDARG00000005841,5
ENSDARG00000005842,0
ENSDARG00000005853,0
ENSDARG00000005861,14
ENSDARG00000005865,0
ENSDARG00000005867,13
ENSDARG00000005870,0
ENSDARG00000005883,3
ENSDARG00000005891,1
ENSDARG00000005894,0
ENSDARG00000005897,0
ENSDARG00000005908,0
ENSDARG00000005913,0
ENSDARG00000005915,6
ENSDARG00000005916,0
ENSDARG00000005924,4
ENSDARG00000005926,0
ENSDARG00000005927,0
ENSDARG00000005941,5
ENSDARG00000005942,0
ENSDARG00000005943,0
ENSDARG00000005945,3
ENSDARG00000005948,0
ENSDARG00000005972,0
ENSDARG00000005980,26
ENSDARG00000005989,0
ENSDARG00000005993,0
ENSDARG00000006003,0
ENSDARG00000006008,0
ENSDARG00000006010,0
ENSDARG00000006011,0
ENSDARG00000006019,6
ENSDARG00000006025,1
ENSDARG00000006029,0
ENSDARG00000006031,14
ENSDARG00000006038,0
ENSDARG00000006040,0
ENSDARG00000006044,0
ENSDARG00000006052,0
ENSDARG00000006060,14
ENSDARG00000006062,4
ENSDARG00000006065,0
ENSDARG00000006074,0
ENSDARG00000006079,0
ENSDARG00000006092,19
ENSDARG00000006093,0
ENSDARG00000006094,3
ENSDARG00000006109,0
ENSDARG00000006110,0
ENSDARG00000006112,0
ENSDARG00000006120,0
ENSDARG00000006124,2
ENSDARG00000006125,19
ENSDARG00000006128,11
ENSDARG00000006137,0
ENSDARG00000006151,0
ENSDARG00000006169,0
ENSDARG00000006174,0
ENSDARG00000006181,0
ENSDARG00000006192,0
ENSDARG00000006196,1
ENSDARG00000006200,20
ENSDARG00000006202,1
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,0
ENSDARG00000006219,0
ENSDARG00000006220,5
ENSDARG00000006225,3
ENSDARG00000006235,3
ENSDARG00000006240,4
ENSDARG00000006242,2
ENSDARG00000006251,43
ENSDARG00000006253,1
ENSDARG00000006257,6
ENSDARG00000006260,8
ENSDARG00000006266,9
ENSDARG00000006272,0
ENSDARG00000006279,0
ENSDARG00000006283,2
ENSDARG00000006288,0
ENSDARG00000006290,4
ENSDARG00000006292,0
ENSDARG00000006299,0
ENSDARG00000006300,0
ENSDARG00000006301,1
ENSDARG00000006307,2
ENSDARG00000006308,0
ENSDARG00000006314,3
ENSDARG00000006316,9
ENSDARG00000006332,0
ENSDARG00000006341,4
ENSDARG00000006345,0
ENSDARG00000006350,0
ENSDARG00000006353,0
ENSDARG00000006356,1
ENSDARG00000006368,0
ENSDARG00000006370,3
ENSDARG00000006372,0
ENSDARG00000006383,3
ENSDARG00000006385,0
ENSDARG00000006389,0
ENSDARG00000006392,0
ENSDARG00000006395,4
ENSDARG00000006396,2
ENSDARG00000006397,0
ENSDARG00000006399,1
ENSDARG00000006408,3
ENSDARG00000006409,0
ENSDARG00000006413,0
ENSDARG00000006420,8
ENSDARG00000006422,6
ENSDARG00000006427,5
ENSDARG00000006434,0
ENSDARG00000006447,0
ENSDARG00000006456,0
ENSDARG00000006467,0
ENSDARG00000006468,0
ENSDARG00000006474,0
ENSDARG00000006477,10
ENSDARG00000006487,2
ENSDARG00000006491,0
ENSDARG00000006494,5
ENSDARG00000006497,9
ENSDARG00000006501,0
ENSDARG00000006508,0
ENSDARG00000006514,0
ENSDARG00000006522,0
ENSDARG00000006524,5
ENSDARG00000006526,31
ENSDARG00000006527,1
ENSDARG00000006544,1
ENSDARG00000006545,8
ENSDARG00000006546,2
ENSDARG00000006553,1
ENSDARG00000006560,0
ENSDARG00000006566,22
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,5
ENSDARG00000006580,0
ENSDARG00000006584,2
ENSDARG00000006585,2
ENSDARG00000006588,0
ENSDARG00000006598,0
ENSDARG00000006600,0
ENSDARG00000006601,0
ENSDARG00000006602,0
ENSDARG00000006603,0
ENSDARG00000006604,1
ENSDARG00000006607,0
ENSDARG00000006609,3
ENSDARG00000006615,0
ENSDARG00000006617,1
ENSDARG00000006621,1
ENSDARG00000006624,0
ENSDARG00000006636,0
ENSDARG00000006639,3
ENSDARG00000006640,0
ENSDARG00000006642,0
ENSDARG00000006666,0
ENSDARG00000006672,14
ENSDARG00000006677,0
ENSDARG00000006678,0
ENSDARG00000006683,0
ENSDARG00000006691,0
ENSDARG00000006712,0
ENSDARG00000006719,0
