F7,Counts
ENSDARG00000004616,6
ENSDARG00000004618,2
ENSDARG00000004621,86
ENSDARG00000004627,0
ENSDARG00000004632,0
ENSDARG00000004633,9
ENSDARG00000004634,2
ENSDARG00000004635,27
ENSDARG00000004636,24
ENSDARG00000004643,0
ENSDARG00000004647,0
ENSDARG00000004648,0
ENSDARG00000004658,3
ENSDARG00000004672,16
ENSDARG00000004680,3
ENSDARG00000004687,0
ENSDARG00000004692,39
ENSDARG00000004695,17
ENSDARG00000004696,6
ENSDARG00000004697,11
ENSDARG00000004702,32
ENSDARG00000004706,14
ENSDARG00000004712,17
ENSDARG00000004713,0
ENSDARG00000004714,28
ENSDARG00000004721,8
ENSDARG00000004724,5
ENSDARG00000004726,23
ENSDARG00000004735,79
ENSDARG00000004745,2
ENSDARG00000004748,1
ENSDARG00000004753,0
ENSDARG00000004754,16
ENSDARG00000004757,305
ENSDARG00000004763,0
ENSDARG00000004771,1
ENSDARG00000004774,13
ENSDARG00000004782,38
ENSDARG00000004785,40
ENSDARG00000004789,34
ENSDARG00000004794,0
ENSDARG00000004796,31
ENSDARG00000004806,7
ENSDARG00000004823,0
ENSDARG00000004830,10
ENSDARG00000004836,24
ENSDARG00000004840,8
ENSDARG00000004843,30
ENSDARG00000004851,0
ENSDARG00000004861,2
ENSDARG00000004864,0
ENSDARG00000004866,0
ENSDARG00000004869,0
ENSDARG00000004870,0
ENSDARG00000004871,2
ENSDARG00000004874,0
ENSDARG00000004875,4
ENSDARG00000004877,66
ENSDARG00000004880,0
ENSDARG00000004889,0
ENSDARG00000004891,0
ENSDARG00000004898,0
ENSDARG00000004904,22
ENSDARG00000004906,19
ENSDARG00000004925,0
ENSDARG00000004930,51
ENSDARG00000004931,31
ENSDARG00000004932,0
ENSDARG00000004937,0
ENSDARG00000004939,4
ENSDARG00000004948,25
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,0
ENSDARG00000004956,1
ENSDARG00000004964,10
ENSDARG00000004979,0
ENSDARG00000004988,11
ENSDARG00000005002,1
ENSDARG00000005004,0
ENSDARG00000005010,4
ENSDARG00000005015,47
ENSDARG00000005023,0
ENSDARG00000005026,53
ENSDARG00000005034,0
ENSDARG00000005049,3
ENSDARG00000005050,0
ENSDARG00000005057,0
ENSDARG00000005058,13
ENSDARG00000005078,0
ENSDARG00000005085,7
ENSDARG00000005092,14
ENSDARG00000005095,14
ENSDARG00000005098,0
ENSDARG00000005104,0
ENSDARG00000005108,0
ENSDARG00000005112,20
ENSDARG00000005115,5
ENSDARG00000005122,15
ENSDARG00000005126,9
ENSDARG00000005128,0
ENSDARG00000005134,7
ENSDARG00000005139,1
ENSDARG00000005141,13
ENSDARG00000005150,11
ENSDARG00000005154,2
ENSDARG00000005159,32
ENSDARG00000005162,39
ENSDARG00000005163,4
ENSDARG00000005172,1
ENSDARG00000005176,1
ENSDARG00000005179,1
ENSDARG00000005185,0
ENSDARG00000005186,21
ENSDARG00000005191,45
ENSDARG00000005210,1
ENSDARG00000005216,51
ENSDARG00000005218,0
ENSDARG00000005220,1
ENSDARG00000005221,1
ENSDARG00000005230,22
ENSDARG00000005232,3
ENSDARG00000005236,111
ENSDARG00000005246,1
ENSDARG00000005251,0
ENSDARG00000005254,4
ENSDARG00000005271,0
ENSDARG00000005274,0
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,66
ENSDARG00000005318,1
ENSDARG00000005320,0
ENSDARG00000005327,0
ENSDARG00000005332,1
ENSDARG00000005335,0
