D5,Counts
ENSDARG00000004402,43
ENSDARG00000004405,6
ENSDARG00000004406,19
ENSDARG00000004415,450
ENSDARG00000004427,8
ENSDARG00000004433,2
ENSDARG00000004436,22
ENSDARG00000004445,74
ENSDARG00000004447,0
ENSDARG00000004451,73
ENSDARG00000004452,784
ENSDARG00000004455,29
ENSDARG00000004459,7
ENSDARG00000004460,12
ENSDARG00000004470,438
ENSDARG00000004472,34
ENSDARG00000004473,41
ENSDARG00000004492,27
ENSDARG00000004497,42
ENSDARG00000004498,0
ENSDARG00000004502,55
ENSDARG00000004517,47
ENSDARG00000004525,59
ENSDARG00000004527,15
ENSDARG00000004529,0
ENSDARG00000004537,966
ENSDARG00000004539,71
ENSDARG00000004561,4
ENSDARG00000004574,60
ENSDARG00000004576,35
ENSDARG00000004580,104
ENSDARG00000004581,181
ENSDARG00000004586,33
ENSDARG00000004587,28
ENSDARG00000004588,911
ENSDARG00000004592,9
ENSDARG00000004594,81
ENSDARG00000004597,44
ENSDARG00000004598,0
ENSDARG00000004616,55
ENSDARG00000004618,14
ENSDARG00000004621,443
ENSDARG00000004627,7
ENSDARG00000004632,38
ENSDARG00000004633,6
ENSDARG00000004634,985
ENSDARG00000004635,207
ENSDARG00000004636,89
ENSDARG00000004643,48
ENSDARG00000004647,2
ENSDARG00000004648,44
ENSDARG00000004658,121
ENSDARG00000004672,306
ENSDARG00000004680,93
ENSDARG00000004687,108
ENSDARG00000004692,165
ENSDARG00000004695,53
ENSDARG00000004696,125
ENSDARG00000004697,69
ENSDARG00000004702,301
ENSDARG00000004706,154
ENSDARG00000004712,60
ENSDARG00000004713,19
ENSDARG00000004714,298
ENSDARG00000004721,29
ENSDARG00000004724,118
ENSDARG00000004726,211
ENSDARG00000004735,692
ENSDARG00000004745,51
ENSDARG00000004748,61
ENSDARG00000004753,142
ENSDARG00000004754,279
ENSDARG00000004757,5108
ENSDARG00000004763,9
ENSDARG00000004771,37
ENSDARG00000004774,161
ENSDARG00000004782,715
ENSDARG00000004785,300
ENSDARG00000004789,120
ENSDARG00000004794,18
ENSDARG00000004796,273
ENSDARG00000004806,24
ENSDARG00000004823,0
ENSDARG00000004830,438
ENSDARG00000004836,296
ENSDARG00000004840,145
ENSDARG00000004843,149
ENSDARG00000004851,28
ENSDARG00000004861,102
ENSDARG00000004864,0
ENSDARG00000004866,98
ENSDARG00000004869,81
ENSDARG00000004870,38
ENSDARG00000004871,1
ENSDARG00000004874,7
ENSDARG00000004875,47
ENSDARG00000004877,319
ENSDARG00000004880,33
ENSDARG00000004889,41
ENSDARG00000004891,179
ENSDARG00000004898,0
ENSDARG00000004904,109
ENSDARG00000004906,347
ENSDARG00000004925,44
ENSDARG00000004930,664
ENSDARG00000004931,85
ENSDARG00000004932,19
ENSDARG00000004937,14
ENSDARG00000004939,74
ENSDARG00000004948,338
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,36
ENSDARG00000004956,57
ENSDARG00000004964,189
ENSDARG00000004979,101
ENSDARG00000004988,199
ENSDARG00000005002,20
ENSDARG00000005004,14
ENSDARG00000005010,23
ENSDARG00000005015,472
ENSDARG00000005023,165
ENSDARG00000005026,348
ENSDARG00000005034,35
ENSDARG00000005049,23
ENSDARG00000005050,3
ENSDARG00000005057,49
ENSDARG00000005058,146
ENSDARG00000005078,42
ENSDARG00000005085,154
ENSDARG00000005092,39
ENSDARG00000005095,17
ENSDARG00000005098,23
ENSDARG00000005104,99
ENSDARG00000005108,133
ENSDARG00000005112,864
ENSDARG00000005115,45
ENSDARG00000005122,468
ENSDARG00000005126,55
ENSDARG00000005128,0
ENSDARG00000005134,151
ENSDARG00000005139,121
ENSDARG00000005141,93
ENSDARG00000005150,5
ENSDARG00000005154,15
ENSDARG00000005159,95
ENSDARG00000005162,940
ENSDARG00000005163,81
ENSDARG00000005172,19
ENSDARG00000005176,13
ENSDARG00000005179,87
ENSDARG00000005185,965
ENSDARG00000005186,230
ENSDARG00000005191,1668
ENSDARG00000005210,73
ENSDARG00000005216,80
ENSDARG00000005218,17
ENSDARG00000005220,42
ENSDARG00000005221,100
ENSDARG00000005230,306
ENSDARG00000005232,205
ENSDARG00000005236,785
ENSDARG00000005246,12
ENSDARG00000005251,74
ENSDARG00000005254,158
