B9,Counts
ENSDARG00000003779,151
ENSDARG00000003789,158
ENSDARG00000003795,1100
ENSDARG00000003797,26
ENSDARG00000003803,5
ENSDARG00000003808,52
ENSDARG00000003811,475
ENSDARG00000003818,97
ENSDARG00000003820,231
ENSDARG00000003822,4
ENSDARG00000003827,9
ENSDARG00000003829,139
ENSDARG00000003835,338
ENSDARG00000003841,4
ENSDARG00000003845,22
ENSDARG00000003846,2
ENSDARG00000003854,254
ENSDARG00000003860,52
ENSDARG00000003865,29
ENSDARG00000003866,99
ENSDARG00000003867,32
ENSDARG00000003869,17
ENSDARG00000003872,151
ENSDARG00000003877,326
ENSDARG00000003899,8
ENSDARG00000003900,7
ENSDARG00000003902,126
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,193
ENSDARG00000003920,191
ENSDARG00000003925,0
ENSDARG00000003927,120
ENSDARG00000003931,46
ENSDARG00000003934,11
ENSDARG00000003938,120
ENSDARG00000003940,114
ENSDARG00000003941,79
ENSDARG00000003944,0
ENSDARG00000003952,400
ENSDARG00000003961,46
ENSDARG00000003963,150
ENSDARG00000003965,1
ENSDARG00000003968,0
ENSDARG00000003970,59
ENSDARG00000003971,21
ENSDARG00000003973,46
ENSDARG00000003974,132
ENSDARG00000003977,5
ENSDARG00000003984,66
ENSDARG00000003989,201
ENSDARG00000003991,9
ENSDARG00000003994,37
ENSDARG00000003998,46
ENSDARG00000004015,4
ENSDARG00000004017,32
ENSDARG00000004018,2
ENSDARG00000004023,248
ENSDARG00000004034,130
ENSDARG00000004037,16
ENSDARG00000004046,22
ENSDARG00000004049,49
ENSDARG00000004051,5
ENSDARG00000004055,148
ENSDARG00000004059,5
ENSDARG00000004060,851
ENSDARG00000004074,267
ENSDARG00000004078,101
ENSDARG00000004082,2
ENSDARG00000004094,238
ENSDARG00000004105,51
ENSDARG00000004109,0
ENSDARG00000004111,5
ENSDARG00000004114,31
ENSDARG00000004115,34
ENSDARG00000004130,6
ENSDARG00000004131,8
ENSDARG00000004132,463
ENSDARG00000004150,40
ENSDARG00000004151,60
ENSDARG00000004154,7
ENSDARG00000004158,8
ENSDARG00000004160,30
ENSDARG00000004161,189
ENSDARG00000004167,4
ENSDARG00000004169,87
ENSDARG00000004171,44
ENSDARG00000004173,293
ENSDARG00000004174,1352
ENSDARG00000004176,15
ENSDARG00000004177,208
ENSDARG00000004184,228
ENSDARG00000004187,19
ENSDARG00000004189,113
ENSDARG00000004196,57
ENSDARG00000004199,21
ENSDARG00000004204,0
ENSDARG00000004211,11
ENSDARG00000004218,34
ENSDARG00000004219,7
ENSDARG00000004227,81
ENSDARG00000004232,80
ENSDARG00000004243,1
ENSDARG00000004246,295
ENSDARG00000004251,13
ENSDARG00000004256,0
ENSDARG00000004260,21
ENSDARG00000004261,123
ENSDARG00000004262,22
ENSDARG00000004270,17
ENSDARG00000004274,3
ENSDARG00000004280,14
ENSDARG00000004282,56
ENSDARG00000004291,120
ENSDARG00000004296,13
ENSDARG00000004297,292
ENSDARG00000004301,6
ENSDARG00000004302,53
ENSDARG00000004305,28
ENSDARG00000004306,19
ENSDARG00000004307,8
ENSDARG00000004308,36
ENSDARG00000004311,21
ENSDARG00000004318,8
ENSDARG00000004322,0
ENSDARG00000004325,25
ENSDARG00000004328,0
ENSDARG00000004336,227
ENSDARG00000004343,12
ENSDARG00000004358,90
ENSDARG00000004363,40
ENSDARG00000004372,104
ENSDARG00000004377,475
ENSDARG00000004378,21
ENSDARG00000004386,206
ENSDARG00000004392,3
ENSDARG00000004396,0
ENSDARG00000004402,58
ENSDARG00000004405,0
ENSDARG00000004406,6
ENSDARG00000004415,227
ENSDARG00000004427,2
ENSDARG00000004433,0
ENSDARG00000004436,4
ENSDARG00000004445,56
ENSDARG00000004447,0
ENSDARG00000004451,45
ENSDARG00000004452,660
ENSDARG00000004455,0
ENSDARG00000004459,13
ENSDARG00000004460,32
ENSDARG00000004470,123
ENSDARG00000004472,11
ENSDARG00000004473,6
ENSDARG00000004492,47
ENSDARG00000004497,32
ENSDARG00000004498,0
ENSDARG00000004502,38
ENSDARG00000004517,8
ENSDARG00000004525,54
ENSDARG00000004527,4
ENSDARG00000004529,0
ENSDARG00000004537,866
ENSDARG00000004539,33
ENSDARG00000004561,4
ENSDARG00000004574,20
ENSDARG00000004576,19
ENSDARG00000004580,96
ENSDARG00000004581,64
ENSDARG00000004586,5
ENSDARG00000004587,38
ENSDARG00000004588,678
ENSDARG00000004592,16
ENSDARG00000004594,62
ENSDARG00000004597,104
ENSDARG00000004598,0
ENSDARG00000004616,13
ENSDARG00000004618,15
ENSDARG00000004621,416
ENSDARG00000004627,0
ENSDARG00000004632,7
ENSDARG00000004633,10
ENSDARG00000004634,500
ENSDARG00000004635,276
ENSDARG00000004636,126
ENSDARG00000004643,27
ENSDARG00000004647,0
ENSDARG00000004648,22
ENSDARG00000004658,111
ENSDARG00000004672,143
ENSDARG00000004680,54
ENSDARG00000004687,5
ENSDARG00000004692,238
ENSDARG00000004695,1
ENSDARG00000004696,57
ENSDARG00000004697,6
ENSDARG00000004702,144
ENSDARG00000004706,64
ENSDARG00000004712,37
ENSDARG00000004713,4
ENSDARG00000004714,172
ENSDARG00000004721,11
ENSDARG00000004724,77
ENSDARG00000004726,197
ENSDARG00000004735,507
ENSDARG00000004745,5
ENSDARG00000004748,21
ENSDARG00000004753,24
ENSDARG00000004754,163
ENSDARG00000004757,2843
ENSDARG00000004763,16
ENSDARG00000004771,19
ENSDARG00000004774,82
ENSDARG00000004782,692
ENSDARG00000004785,152
ENSDARG00000004789,138
ENSDARG00000004794,32
ENSDARG00000004796,262
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,183
ENSDARG00000004836,217
ENSDARG00000004840,77
ENSDARG00000004843,54
ENSDARG00000004851,14
ENSDARG00000004861,155
ENSDARG00000004864,0
ENSDARG00000004866,81
ENSDARG00000004869,7
ENSDARG00000004870,22
ENSDARG00000004871,1
ENSDARG00000004874,0
ENSDARG00000004875,22
ENSDARG00000004877,134
ENSDARG00000004880,27
ENSDARG00000004889,16
ENSDARG00000004891,128
ENSDARG00000004898,0
ENSDARG00000004904,16
ENSDARG00000004906,100
ENSDARG00000004925,2
ENSDARG00000004930,353
ENSDARG00000004931,40
ENSDARG00000004932,29
ENSDARG00000004937,0
ENSDARG00000004939,50
ENSDARG00000004948,130
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,33
ENSDARG00000004956,36
ENSDARG00000004964,4
ENSDARG00000004979,15
ENSDARG00000004988,150
ENSDARG00000005002,10
ENSDARG00000005004,0
ENSDARG00000005010,4
ENSDARG00000005015,170
ENSDARG00000005023,16
ENSDARG00000005026,326
ENSDARG00000005034,41
ENSDARG00000005049,11
ENSDARG00000005050,0
ENSDARG00000005057,26
ENSDARG00000005058,65
ENSDARG00000005078,27
ENSDARG00000005085,36
ENSDARG00000005092,134
ENSDARG00000005095,16
ENSDARG00000005098,18
ENSDARG00000005104,97
ENSDARG00000005108,27
ENSDARG00000005112,210
ENSDARG00000005115,38
ENSDARG00000005122,205
ENSDARG00000005126,85
ENSDARG00000005128,28
ENSDARG00000005134,74
ENSDARG00000005139,37
ENSDARG00000005141,62
ENSDARG00000005150,12
ENSDARG00000005154,17
ENSDARG00000005159,87
ENSDARG00000005162,238
ENSDARG00000005163,28
ENSDARG00000005172,10
ENSDARG00000005176,7
ENSDARG00000005179,67
ENSDARG00000005185,167
ENSDARG00000005186,139
ENSDARG00000005191,775
ENSDARG00000005210,212
ENSDARG00000005216,7
ENSDARG00000005218,0
ENSDARG00000005220,31
ENSDARG00000005221,17
ENSDARG00000005230,97
ENSDARG00000005232,127
ENSDARG00000005236,749
ENSDARG00000005246,2
ENSDARG00000005251,17
ENSDARG00000005254,41
ENSDARG00000005271,8
ENSDARG00000005274,0
ENSDARG00000005284,11
ENSDARG00000005314,3
ENSDARG00000005315,180
ENSDARG00000005318,48
ENSDARG00000005320,14
ENSDARG00000005327,26
ENSDARG00000005332,1
ENSDARG00000005335,15
ENSDARG00000005343,0
ENSDARG00000005350,123
ENSDARG00000005355,73
ENSDARG00000005356,74
ENSDARG00000005359,200
ENSDARG00000005364,41
ENSDARG00000005368,157
ENSDARG00000005371,0
ENSDARG00000005372,83
ENSDARG00000005374,231
ENSDARG00000005382,20
ENSDARG00000005392,0
ENSDARG00000005394,231
ENSDARG00000005397,207
ENSDARG00000005414,0
ENSDARG00000005416,140
ENSDARG00000005423,32
ENSDARG00000005425,23
ENSDARG00000005448,17
ENSDARG00000005451,349
ENSDARG00000005453,286
ENSDARG00000005454,91
ENSDARG00000005456,177
ENSDARG00000005458,37
ENSDARG00000005462,227
ENSDARG00000005463,90
ENSDARG00000005464,0
ENSDARG00000005468,171
ENSDARG00000005476,250
ENSDARG00000005479,1035
ENSDARG00000005481,23
ENSDARG00000005482,916
ENSDARG00000005485,76
ENSDARG00000005500,13
ENSDARG00000005510,0
ENSDARG00000005513,1554
ENSDARG00000005518,3
ENSDARG00000005522,0
ENSDARG00000005525,8
ENSDARG00000005526,105
ENSDARG00000005536,146
ENSDARG00000005540,291
ENSDARG00000005541,1
ENSDARG00000005544,3
ENSDARG00000005547,13
ENSDARG00000005549,114
ENSDARG00000005551,53
ENSDARG00000005559,44
ENSDARG00000005560,185
ENSDARG00000005561,54
ENSDARG00000005565,22
ENSDARG00000005574,67
ENSDARG00000005576,158
ENSDARG00000005578,107
ENSDARG00000005586,111
ENSDARG00000005590,54
ENSDARG00000005595,19
ENSDARG00000005606,90
ENSDARG00000005612,4
ENSDARG00000005616,13
ENSDARG00000005619,16
ENSDARG00000005625,137
ENSDARG00000005626,6
ENSDARG00000005627,0
ENSDARG00000005629,59
ENSDARG00000005640,0
ENSDARG00000005643,9
ENSDARG00000005645,216
ENSDARG00000005648,14
ENSDARG00000005651,35
ENSDARG00000005652,364
ENSDARG00000005670,120
ENSDARG00000005673,0
ENSDARG00000005675,43
ENSDARG00000005679,65
ENSDARG00000005690,49
ENSDARG00000005699,25
ENSDARG00000005704,54
ENSDARG00000005713,13
ENSDARG00000005716,26
ENSDARG00000005738,27
ENSDARG00000005739,81
ENSDARG00000005749,62
ENSDARG00000005754,562
ENSDARG00000005762,136
ENSDARG00000005772,22
ENSDARG00000005774,330
ENSDARG00000005775,788
ENSDARG00000005776,74
ENSDARG00000005780,0
ENSDARG00000005783,203
ENSDARG00000005786,62
ENSDARG00000005789,37
ENSDARG00000005791,1052
ENSDARG00000005799,2
ENSDARG00000005800,42
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,120
ENSDARG00000005827,132
ENSDARG00000005828,0
ENSDARG00000005834,232
ENSDARG00000005840,138
ENSDARG00000005841,116
ENSDARG00000005842,29
ENSDARG00000005853,3
ENSDARG00000005861,573
ENSDARG00000005865,0
ENSDARG00000005867,180
ENSDARG00000005870,25
