H2,Counts
ENSDARG00000005828,26
ENSDARG00000005834,167
ENSDARG00000005840,63
ENSDARG00000005841,94
ENSDARG00000005842,12
ENSDARG00000005853,0
ENSDARG00000005861,535
ENSDARG00000005865,0
ENSDARG00000005867,87
ENSDARG00000005870,16
ENSDARG00000005883,84
ENSDARG00000005891,33
ENSDARG00000005894,1
ENSDARG00000005897,8
ENSDARG00000005908,35
ENSDARG00000005913,24
ENSDARG00000005915,70
ENSDARG00000005916,11
ENSDARG00000005924,241
ENSDARG00000005926,35
ENSDARG00000005927,52
ENSDARG00000005941,160
ENSDARG00000005942,0
ENSDARG00000005943,1
ENSDARG00000005945,90
ENSDARG00000005948,14
ENSDARG00000005972,33
ENSDARG00000005980,110
ENSDARG00000005989,54
ENSDARG00000005993,1
ENSDARG00000006003,26
ENSDARG00000006008,112
ENSDARG00000006010,26
ENSDARG00000006011,21
ENSDARG00000006019,96
ENSDARG00000006025,15
ENSDARG00000006029,0
ENSDARG00000006031,494
ENSDARG00000006038,9
ENSDARG00000006040,3
ENSDARG00000006044,6
ENSDARG00000006052,0
ENSDARG00000006060,80
ENSDARG00000006062,90
ENSDARG00000006065,23
ENSDARG00000006074,9
ENSDARG00000006079,0
ENSDARG00000006092,322
ENSDARG00000006093,5
ENSDARG00000006094,190
ENSDARG00000006109,0
ENSDARG00000006110,11
ENSDARG00000006112,50
ENSDARG00000006120,56
ENSDARG00000006124,304
ENSDARG00000006125,67
ENSDARG00000006128,131
ENSDARG00000006137,0
ENSDARG00000006151,23
ENSDARG00000006169,72
ENSDARG00000006174,0
ENSDARG00000006181,41
ENSDARG00000006192,68
ENSDARG00000006196,29
ENSDARG00000006200,318
ENSDARG00000006202,28
ENSDARG00000006206,7
ENSDARG00000006207,0
ENSDARG00000006215,8
ENSDARG00000006219,39
ENSDARG00000006220,8
ENSDARG00000006225,105
ENSDARG00000006235,86
ENSDARG00000006240,46
ENSDARG00000006242,324
ENSDARG00000006251,109
ENSDARG00000006253,3
ENSDARG00000006257,184
ENSDARG00000006260,233
ENSDARG00000006266,97
ENSDARG00000006272,34
ENSDARG00000006279,6
ENSDARG00000006283,85
ENSDARG00000006288,15
ENSDARG00000006290,1
ENSDARG00000006292,0
ENSDARG00000006299,64
ENSDARG00000006300,15
ENSDARG00000006301,159
ENSDARG00000006307,31
ENSDARG00000006308,2
ENSDARG00000006314,152
ENSDARG00000006316,207
ENSDARG00000006332,144
ENSDARG00000006341,7
ENSDARG00000006345,18
ENSDARG00000006350,0
ENSDARG00000006353,25
ENSDARG00000006356,61
ENSDARG00000006368,4
ENSDARG00000006370,52
ENSDARG00000006372,0
ENSDARG00000006383,62
ENSDARG00000006385,25
ENSDARG00000006389,177
ENSDARG00000006392,7
ENSDARG00000006395,126
ENSDARG00000006396,202
ENSDARG00000006397,100
ENSDARG00000006399,145
ENSDARG00000006408,29
ENSDARG00000006409,0
ENSDARG00000006413,27
ENSDARG00000006420,218
ENSDARG00000006422,16
ENSDARG00000006427,36
ENSDARG00000006434,37
ENSDARG00000006447,0
ENSDARG00000006456,0
ENSDARG00000006467,44
ENSDARG00000006468,0
ENSDARG00000006474,2
ENSDARG00000006477,27
ENSDARG00000006487,112
ENSDARG00000006491,0
ENSDARG00000006494,30
ENSDARG00000006497,491
ENSDARG00000006501,0
ENSDARG00000006508,17
ENSDARG00000006514,14
ENSDARG00000006522,5
ENSDARG00000006524,296
ENSDARG00000006526,301
ENSDARG00000006527,102
ENSDARG00000006544,1
ENSDARG00000006545,81
ENSDARG00000006546,74
ENSDARG00000006553,3
ENSDARG00000006560,0
ENSDARG00000006566,155
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,18
ENSDARG00000006580,0
ENSDARG00000006584,108
ENSDARG00000006585,28
ENSDARG00000006588,1
ENSDARG00000006598,0
ENSDARG00000006600,117
ENSDARG00000006601,47
ENSDARG00000006602,10
ENSDARG00000006603,53
ENSDARG00000006604,30
ENSDARG00000006607,25
ENSDARG00000006609,40
ENSDARG00000006615,20
ENSDARG00000006617,40
ENSDARG00000006621,55
ENSDARG00000006624,10
ENSDARG00000006636,92
ENSDARG00000006639,15
ENSDARG00000006640,20
ENSDARG00000006642,25
ENSDARG00000006666,0
ENSDARG00000006672,84
ENSDARG00000006677,20
ENSDARG00000006678,15
ENSDARG00000006683,89
ENSDARG00000006691,359
ENSDARG00000006712,61
ENSDARG00000006719,49
