A11,Counts
ENSDARG00000004307,3
ENSDARG00000004308,0
ENSDARG00000004311,3
ENSDARG00000004318,0
ENSDARG00000004322,0
ENSDARG00000004325,1
ENSDARG00000004328,0
ENSDARG00000004336,29
ENSDARG00000004343,10
ENSDARG00000004358,11
ENSDARG00000004363,0
ENSDARG00000004372,17
ENSDARG00000004377,5
ENSDARG00000004378,9
ENSDARG00000004386,30
ENSDARG00000004392,3
ENSDARG00000004396,1
ENSDARG00000004402,4
ENSDARG00000004405,3
ENSDARG00000004406,0
ENSDARG00000004415,59
ENSDARG00000004427,1
ENSDARG00000004433,0
ENSDARG00000004436,6
ENSDARG00000004445,7
ENSDARG00000004447,0
ENSDARG00000004451,1
ENSDARG00000004452,100
ENSDARG00000004455,0
ENSDARG00000004459,0
ENSDARG00000004460,4
ENSDARG00000004470,37
ENSDARG00000004472,8
ENSDARG00000004473,2
ENSDARG00000004492,0
ENSDARG00000004497,1
ENSDARG00000004498,0
ENSDARG00000004502,3
ENSDARG00000004517,4
ENSDARG00000004525,3
ENSDARG00000004527,0
ENSDARG00000004529,0
ENSDARG00000004537,86
ENSDARG00000004539,0
ENSDARG00000004561,0
ENSDARG00000004574,1
ENSDARG00000004576,0
ENSDARG00000004580,5
ENSDARG00000004581,23
ENSDARG00000004586,0
ENSDARG00000004587,6
ENSDARG00000004588,64
ENSDARG00000004592,1
ENSDARG00000004594,11
ENSDARG00000004597,5
ENSDARG00000004598,0
ENSDARG00000004616,3
ENSDARG00000004618,1
ENSDARG00000004621,58
ENSDARG00000004627,0
ENSDARG00000004632,0
ENSDARG00000004633,0
ENSDARG00000004634,114
ENSDARG00000004635,23
ENSDARG00000004636,26
ENSDARG00000004643,9
ENSDARG00000004647,0
ENSDARG00000004648,0
ENSDARG00000004658,36
ENSDARG00000004672,27
ENSDARG00000004680,1
ENSDARG00000004687,7
ENSDARG00000004692,18
ENSDARG00000004695,5
ENSDARG00000004696,13
ENSDARG00000004697,8
ENSDARG00000004702,35
ENSDARG00000004706,14
ENSDARG00000004712,10
ENSDARG00000004713,1
ENSDARG00000004714,111
ENSDARG00000004721,2
ENSDARG00000004724,12
ENSDARG00000004726,13
ENSDARG00000004735,37
ENSDARG00000004745,5
ENSDARG00000004748,1
ENSDARG00000004753,29
ENSDARG00000004754,20
ENSDARG00000004757,380
ENSDARG00000004763,0
ENSDARG00000004771,5
ENSDARG00000004774,17
ENSDARG00000004782,76
ENSDARG00000004785,18
ENSDARG00000004789,12
ENSDARG00000004794,0
ENSDARG00000004796,30
ENSDARG00000004806,2
ENSDARG00000004823,0
ENSDARG00000004830,45
ENSDARG00000004836,19
ENSDARG00000004840,10
ENSDARG00000004843,17
ENSDARG00000004851,2
ENSDARG00000004861,18
ENSDARG00000004864,0
ENSDARG00000004866,11
ENSDARG00000004869,2
ENSDARG00000004870,2
ENSDARG00000004871,0
ENSDARG00000004874,0
ENSDARG00000004875,19
ENSDARG00000004877,55
ENSDARG00000004880,0
ENSDARG00000004889,1
ENSDARG00000004891,20
ENSDARG00000004898,0
ENSDARG00000004904,4
ENSDARG00000004906,22
ENSDARG00000004925,3
ENSDARG00000004930,80
ENSDARG00000004931,4
ENSDARG00000004932,4
ENSDARG00000004937,0
ENSDARG00000004939,6
ENSDARG00000004948,28
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,0
ENSDARG00000004956,1
ENSDARG00000004964,8
ENSDARG00000004979,0
ENSDARG00000004988,24
ENSDARG00000005002,6
ENSDARG00000005004,0
ENSDARG00000005010,0
ENSDARG00000005015,26
ENSDARG00000005023,6
ENSDARG00000005026,55
ENSDARG00000005034,5
ENSDARG00000005049,5
ENSDARG00000005050,0
ENSDARG00000005057,6
ENSDARG00000005058,37
ENSDARG00000005078,8
ENSDARG00000005085,12
ENSDARG00000005092,29
ENSDARG00000005095,3
ENSDARG00000005098,3
ENSDARG00000005104,12
ENSDARG00000005108,14
ENSDARG00000005112,83
ENSDARG00000005115,2
ENSDARG00000005122,35
ENSDARG00000005126,4
ENSDARG00000005128,0
ENSDARG00000005134,14
ENSDARG00000005139,15
ENSDARG00000005141,10
ENSDARG00000005150,0
ENSDARG00000005154,3
ENSDARG00000005159,9
ENSDARG00000005162,91
ENSDARG00000005163,6
ENSDARG00000005172,4
ENSDARG00000005176,2
ENSDARG00000005179,6
ENSDARG00000005185,74
ENSDARG00000005186,9
ENSDARG00000005191,152
ENSDARG00000005210,10
ENSDARG00000005216,1
ENSDARG00000005218,0
ENSDARG00000005220,2
ENSDARG00000005221,6
ENSDARG00000005230,21
ENSDARG00000005232,14
ENSDARG00000005236,92
ENSDARG00000005246,4
ENSDARG00000005251,8
ENSDARG00000005254,8
ENSDARG00000005271,0
ENSDARG00000005274,1
ENSDARG00000005284,3
ENSDARG00000005314,0
ENSDARG00000005315,41
ENSDARG00000005318,7
ENSDARG00000005320,3
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,5
ENSDARG00000005350,28
ENSDARG00000005355,10
ENSDARG00000005356,10
ENSDARG00000005359,62
ENSDARG00000005364,0
ENSDARG00000005368,56
ENSDARG00000005371,0
ENSDARG00000005372,6
ENSDARG00000005374,9
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,12
ENSDARG00000005397,29
ENSDARG00000005414,0
ENSDARG00000005416,15
ENSDARG00000005423,7
ENSDARG00000005425,7
ENSDARG00000005448,1
ENSDARG00000005451,63
ENSDARG00000005453,14
ENSDARG00000005454,14
ENSDARG00000005456,28
ENSDARG00000005458,13
ENSDARG00000005462,13
ENSDARG00000005463,16
ENSDARG00000005464,0
ENSDARG00000005468,23
ENSDARG00000005476,37
ENSDARG00000005479,61
ENSDARG00000005481,2
ENSDARG00000005482,38
ENSDARG00000005485,26
ENSDARG00000005500,0
ENSDARG00000005510,1
ENSDARG00000005513,238
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,5
ENSDARG00000005526,28
ENSDARG00000005536,93
ENSDARG00000005540,46
ENSDARG00000005541,5
ENSDARG00000005544,2
ENSDARG00000005547,0
ENSDARG00000005549,7
ENSDARG00000005551,9
ENSDARG00000005559,3
ENSDARG00000005560,29
ENSDARG00000005561,1
ENSDARG00000005565,26
ENSDARG00000005574,6
ENSDARG00000005576,19
ENSDARG00000005578,33
ENSDARG00000005586,8
ENSDARG00000005590,3
ENSDARG00000005595,0
ENSDARG00000005606,16
ENSDARG00000005612,0
ENSDARG00000005616,0
ENSDARG00000005619,0
ENSDARG00000005625,5
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,34
ENSDARG00000005640,0
ENSDARG00000005643,6
ENSDARG00000005645,32
ENSDARG00000005648,2
ENSDARG00000005651,9
ENSDARG00000005652,26
ENSDARG00000005670,15
ENSDARG00000005673,2
ENSDARG00000005675,15
ENSDARG00000005679,8
ENSDARG00000005690,4
ENSDARG00000005699,30
ENSDARG00000005704,22
ENSDARG00000005713,15
ENSDARG00000005716,6
ENSDARG00000005738,2
ENSDARG00000005739,3
ENSDARG00000005749,4
ENSDARG00000005754,80
ENSDARG00000005762,11
ENSDARG00000005772,4
ENSDARG00000005774,79
ENSDARG00000005775,60
ENSDARG00000005776,9
ENSDARG00000005780,0
ENSDARG00000005783,10
ENSDARG00000005786,8
ENSDARG00000005789,9
ENSDARG00000005791,129
ENSDARG00000005799,5
ENSDARG00000005800,11
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,21
ENSDARG00000005827,32
ENSDARG00000005828,1
ENSDARG00000005834,23
ENSDARG00000005840,45
ENSDARG00000005841,6
ENSDARG00000005842,5
ENSDARG00000005853,2
ENSDARG00000005861,51
ENSDARG00000005865,0
ENSDARG00000005867,15
ENSDARG00000005870,4
ENSDARG00000005883,2
ENSDARG00000005891,25
ENSDARG00000005894,0
ENSDARG00000005897,0
ENSDARG00000005908,8
ENSDARG00000005913,11
ENSDARG00000005915,36
ENSDARG00000005916,1
ENSDARG00000005924,49
ENSDARG00000005926,24
ENSDARG00000005927,20
ENSDARG00000005941,42
ENSDARG00000005942,0
ENSDARG00000005943,1
ENSDARG00000005945,18
ENSDARG00000005948,2
ENSDARG00000005972,0
ENSDARG00000005980,9
ENSDARG00000005989,23
ENSDARG00000005993,4
ENSDARG00000006003,13
ENSDARG00000006008,15
ENSDARG00000006010,5
ENSDARG00000006011,0
ENSDARG00000006019,31
ENSDARG00000006025,4
ENSDARG00000006029,5
ENSDARG00000006031,131
ENSDARG00000006038,2
