E11,Counts
ENSDARG00000003968,0
ENSDARG00000003970,22
ENSDARG00000003971,36
ENSDARG00000003973,17
ENSDARG00000003974,186
ENSDARG00000003977,14
ENSDARG00000003984,75
ENSDARG00000003989,142
ENSDARG00000003991,27
ENSDARG00000003994,28
ENSDARG00000003998,40
ENSDARG00000004015,5
ENSDARG00000004017,38
ENSDARG00000004018,6
ENSDARG00000004023,343
ENSDARG00000004034,144
ENSDARG00000004037,19
ENSDARG00000004046,69
ENSDARG00000004049,30
ENSDARG00000004051,27
ENSDARG00000004055,127
ENSDARG00000004059,3
ENSDARG00000004060,1000
ENSDARG00000004074,245
ENSDARG00000004078,100
ENSDARG00000004082,70
ENSDARG00000004094,294
ENSDARG00000004105,141
ENSDARG00000004109,0
ENSDARG00000004111,3
ENSDARG00000004114,17
ENSDARG00000004115,59
ENSDARG00000004130,4
ENSDARG00000004131,30
ENSDARG00000004132,400
ENSDARG00000004150,20
ENSDARG00000004151,40
ENSDARG00000004154,1
ENSDARG00000004158,31
ENSDARG00000004160,79
ENSDARG00000004161,128
ENSDARG00000004167,1
ENSDARG00000004169,93
ENSDARG00000004171,22
ENSDARG00000004173,349
ENSDARG00000004174,928
ENSDARG00000004176,72
ENSDARG00000004177,53
ENSDARG00000004184,193
ENSDARG00000004187,53
ENSDARG00000004189,95
ENSDARG00000004196,120
ENSDARG00000004199,6
ENSDARG00000004204,0
ENSDARG00000004211,93
ENSDARG00000004218,33
ENSDARG00000004219,9
ENSDARG00000004227,92
ENSDARG00000004232,65
ENSDARG00000004243,15
ENSDARG00000004246,278
ENSDARG00000004251,15
ENSDARG00000004256,0
ENSDARG00000004260,9
ENSDARG00000004261,125
ENSDARG00000004262,27
ENSDARG00000004270,32
ENSDARG00000004274,6
ENSDARG00000004280,31
ENSDARG00000004282,70
ENSDARG00000004291,138
ENSDARG00000004296,40
ENSDARG00000004297,422
ENSDARG00000004301,13
ENSDARG00000004302,27
ENSDARG00000004305,34
ENSDARG00000004306,15
ENSDARG00000004307,23
ENSDARG00000004308,30
ENSDARG00000004311,42
ENSDARG00000004318,30
ENSDARG00000004322,21
ENSDARG00000004325,2
ENSDARG00000004328,4
ENSDARG00000004336,147
ENSDARG00000004343,22
ENSDARG00000004358,80
ENSDARG00000004363,21
ENSDARG00000004372,179
ENSDARG00000004377,347
ENSDARG00000004378,84
ENSDARG00000004386,185
ENSDARG00000004392,13
ENSDARG00000004396,4
ENSDARG00000004402,25
ENSDARG00000004405,2
ENSDARG00000004406,4
ENSDARG00000004415,421
ENSDARG00000004427,2
ENSDARG00000004433,0
ENSDARG00000004436,9
ENSDARG00000004445,46
ENSDARG00000004447,0
ENSDARG00000004451,22
ENSDARG00000004452,605
ENSDARG00000004455,0
ENSDARG00000004459,15
ENSDARG00000004460,1
ENSDARG00000004470,191
ENSDARG00000004472,74
ENSDARG00000004473,16
ENSDARG00000004492,19
ENSDARG00000004497,11
ENSDARG00000004498,0
ENSDARG00000004502,60
ENSDARG00000004517,46
ENSDARG00000004525,39
ENSDARG00000004527,12
ENSDARG00000004529,1
ENSDARG00000004537,967
ENSDARG00000004539,63
ENSDARG00000004561,0
ENSDARG00000004574,50
ENSDARG00000004576,39
ENSDARG00000004580,62
ENSDARG00000004581,80
ENSDARG00000004586,4
ENSDARG00000004587,6
ENSDARG00000004588,694
ENSDARG00000004592,20
ENSDARG00000004594,107
ENSDARG00000004597,96
ENSDARG00000004598,0
ENSDARG00000004616,20
ENSDARG00000004618,3
ENSDARG00000004621,604
ENSDARG00000004627,1
ENSDARG00000004632,6
ENSDARG00000004633,1
ENSDARG00000004634,69
ENSDARG00000004635,193
ENSDARG00000004636,84
ENSDARG00000004643,76
ENSDARG00000004647,9
ENSDARG00000004648,26
ENSDARG00000004658,88
ENSDARG00000004672,178
ENSDARG00000004680,11
ENSDARG00000004687,36
ENSDARG00000004692,83
ENSDARG00000004695,45
ENSDARG00000004696,47
ENSDARG00000004697,25
ENSDARG00000004702,208
ENSDARG00000004706,112
ENSDARG00000004712,62
ENSDARG00000004713,16
ENSDARG00000004714,206
ENSDARG00000004721,12
ENSDARG00000004724,77
ENSDARG00000004726,157
ENSDARG00000004735,413
ENSDARG00000004745,24
ENSDARG00000004748,58
ENSDARG00000004753,114
ENSDARG00000004754,167
ENSDARG00000004757,3064
ENSDARG00000004763,12
ENSDARG00000004771,32
ENSDARG00000004774,90
ENSDARG00000004782,639
ENSDARG00000004785,280
ENSDARG00000004789,149
