C7,Counts
ENSDARG00000004774,121
ENSDARG00000004782,570
ENSDARG00000004785,211
ENSDARG00000004789,284
ENSDARG00000004794,13
ENSDARG00000004796,250
ENSDARG00000004806,34
ENSDARG00000004823,0
ENSDARG00000004830,164
ENSDARG00000004836,208
ENSDARG00000004840,56
ENSDARG00000004843,77
ENSDARG00000004851,5
ENSDARG00000004861,159
ENSDARG00000004864,0
ENSDARG00000004866,64
ENSDARG00000004869,23
ENSDARG00000004870,30
ENSDARG00000004871,2
ENSDARG00000004874,1
ENSDARG00000004875,22
ENSDARG00000004877,378
ENSDARG00000004880,25
ENSDARG00000004889,0
ENSDARG00000004891,112
ENSDARG00000004898,0
ENSDARG00000004904,36
ENSDARG00000004906,182
ENSDARG00000004925,31
ENSDARG00000004930,662
ENSDARG00000004931,71
ENSDARG00000004932,19
ENSDARG00000004937,26
ENSDARG00000004939,111
ENSDARG00000004948,238
ENSDARG00000004952,0
ENSDARG00000004953,1
ENSDARG00000004954,5
ENSDARG00000004956,53
ENSDARG00000004964,52
ENSDARG00000004979,12
ENSDARG00000004988,207
ENSDARG00000005002,71
ENSDARG00000005004,0
ENSDARG00000005010,12
ENSDARG00000005015,340
ENSDARG00000005023,45
ENSDARG00000005026,516
ENSDARG00000005034,26
ENSDARG00000005049,11
ENSDARG00000005050,0
ENSDARG00000005057,13
ENSDARG00000005058,134
ENSDARG00000005078,74
ENSDARG00000005085,64
ENSDARG00000005092,96
ENSDARG00000005095,20
ENSDARG00000005098,38
ENSDARG00000005104,247
ENSDARG00000005108,19
ENSDARG00000005112,249
ENSDARG00000005115,22
ENSDARG00000005122,231
ENSDARG00000005126,197
ENSDARG00000005128,17
ENSDARG00000005134,49
ENSDARG00000005139,56
ENSDARG00000005141,134
ENSDARG00000005150,29
ENSDARG00000005154,39
ENSDARG00000005159,86
ENSDARG00000005162,336
ENSDARG00000005163,41
ENSDARG00000005172,33
ENSDARG00000005176,21
ENSDARG00000005179,69
ENSDARG00000005185,91
ENSDARG00000005186,201
ENSDARG00000005191,845
ENSDARG00000005210,29
ENSDARG00000005216,40
ENSDARG00000005218,2
ENSDARG00000005220,18
ENSDARG00000005221,32
ENSDARG00000005230,52
ENSDARG00000005232,167
ENSDARG00000005236,1322
ENSDARG00000005246,11
ENSDARG00000005251,16
ENSDARG00000005254,50
ENSDARG00000005271,1
ENSDARG00000005274,20
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,327
ENSDARG00000005318,53
ENSDARG00000005320,2
ENSDARG00000005327,0
ENSDARG00000005332,16
ENSDARG00000005335,0
ENSDARG00000005343,74
ENSDARG00000005350,195
ENSDARG00000005355,78
ENSDARG00000005356,86
ENSDARG00000005359,289
ENSDARG00000005364,21
ENSDARG00000005368,136
ENSDARG00000005371,3
ENSDARG00000005372,68
ENSDARG00000005374,77
ENSDARG00000005382,43
ENSDARG00000005392,0
ENSDARG00000005394,209
ENSDARG00000005397,530
ENSDARG00000005414,3
ENSDARG00000005416,187
ENSDARG00000005423,48
ENSDARG00000005425,43
ENSDARG00000005448,25
ENSDARG00000005451,281
ENSDARG00000005453,252
ENSDARG00000005454,34
ENSDARG00000005456,184
ENSDARG00000005458,64
ENSDARG00000005462,172
ENSDARG00000005463,97
ENSDARG00000005464,0
ENSDARG00000005468,199
ENSDARG00000005476,421
ENSDARG00000005479,1406
ENSDARG00000005481,77
ENSDARG00000005482,1088
ENSDARG00000005485,186
ENSDARG00000005500,28
ENSDARG00000005510,1
ENSDARG00000005513,1893
ENSDARG00000005518,2
ENSDARG00000005522,13
ENSDARG00000005525,25
ENSDARG00000005526,100
ENSDARG00000005536,190
ENSDARG00000005540,336
ENSDARG00000005541,0
ENSDARG00000005544,39
ENSDARG00000005547,23
ENSDARG00000005549,130
ENSDARG00000005551,34
ENSDARG00000005559,45
ENSDARG00000005560,300
ENSDARG00000005561,42
ENSDARG00000005565,40
ENSDARG00000005574,55
ENSDARG00000005576,259
ENSDARG00000005578,106
ENSDARG00000005586,166
ENSDARG00000005590,117
