A4,Counts
ENSDARG00000005561,15
ENSDARG00000005565,76
ENSDARG00000005574,32
ENSDARG00000005576,322
ENSDARG00000005578,228
ENSDARG00000005586,41
ENSDARG00000005590,27
ENSDARG00000005595,8
ENSDARG00000005606,92
ENSDARG00000005612,2
ENSDARG00000005616,4
ENSDARG00000005619,0
ENSDARG00000005625,119
ENSDARG00000005626,6
ENSDARG00000005627,0
ENSDARG00000005629,40
ENSDARG00000005640,14
ENSDARG00000005643,21
ENSDARG00000005645,146
ENSDARG00000005648,20
ENSDARG00000005651,49
ENSDARG00000005652,243
ENSDARG00000005670,70
ENSDARG00000005673,15
ENSDARG00000005675,84
ENSDARG00000005679,80
ENSDARG00000005690,33
ENSDARG00000005699,75
ENSDARG00000005704,79
ENSDARG00000005713,59
ENSDARG00000005716,19
ENSDARG00000005738,24
ENSDARG00000005739,22
ENSDARG00000005749,83
ENSDARG00000005754,479
ENSDARG00000005762,67
ENSDARG00000005772,42
ENSDARG00000005774,286
ENSDARG00000005775,294
ENSDARG00000005776,38
ENSDARG00000005780,1
ENSDARG00000005783,95
ENSDARG00000005786,9
ENSDARG00000005789,56
ENSDARG00000005791,1025
ENSDARG00000005799,19
ENSDARG00000005800,45
ENSDARG00000005814,0
ENSDARG00000005821,4
ENSDARG00000005823,173
ENSDARG00000005827,117
ENSDARG00000005828,2
ENSDARG00000005834,105
ENSDARG00000005840,130
ENSDARG00000005841,67
ENSDARG00000005842,28
ENSDARG00000005853,3
ENSDARG00000005861,337
ENSDARG00000005865,0
ENSDARG00000005867,106
ENSDARG00000005870,51
ENSDARG00000005883,36
ENSDARG00000005891,140
ENSDARG00000005894,19
ENSDARG00000005897,35
ENSDARG00000005908,55
ENSDARG00000005913,9
ENSDARG00000005915,206
ENSDARG00000005916,32
ENSDARG00000005924,215
ENSDARG00000005926,50
ENSDARG00000005927,103
ENSDARG00000005941,215
ENSDARG00000005942,1
ENSDARG00000005943,22
ENSDARG00000005945,121
ENSDARG00000005948,31
ENSDARG00000005972,9
ENSDARG00000005980,103
ENSDARG00000005989,28
ENSDARG00000005993,3
ENSDARG00000006003,45
ENSDARG00000006008,215
ENSDARG00000006010,26
ENSDARG00000006011,29
ENSDARG00000006019,244
ENSDARG00000006025,74
ENSDARG00000006029,17
ENSDARG00000006031,685
ENSDARG00000006038,52
ENSDARG00000006040,32
ENSDARG00000006044,12
ENSDARG00000006052,25
ENSDARG00000006060,312
ENSDARG00000006062,232
ENSDARG00000006065,36
ENSDARG00000006074,24
ENSDARG00000006079,4
ENSDARG00000006092,546
ENSDARG00000006093,17
ENSDARG00000006094,190
ENSDARG00000006109,0
ENSDARG00000006110,22
ENSDARG00000006112,114
ENSDARG00000006120,138
ENSDARG00000006124,344
ENSDARG00000006125,102
ENSDARG00000006128,955
ENSDARG00000006137,11
ENSDARG00000006151,8
ENSDARG00000006169,101
ENSDARG00000006174,0
ENSDARG00000006181,54
ENSDARG00000006192,144
ENSDARG00000006196,34
ENSDARG00000006200,803
ENSDARG00000006202,164
ENSDARG00000006206,8
ENSDARG00000006207,13
ENSDARG00000006215,202
ENSDARG00000006219,125
ENSDARG00000006220,431
ENSDARG00000006225,173
ENSDARG00000006235,42
ENSDARG00000006240,34
ENSDARG00000006242,615
ENSDARG00000006251,54
ENSDARG00000006253,30
ENSDARG00000006257,283
ENSDARG00000006260,863
ENSDARG00000006266,229
ENSDARG00000006272,86
ENSDARG00000006279,24
ENSDARG00000006283,236
ENSDARG00000006288,7
ENSDARG00000006290,38
ENSDARG00000006292,0
ENSDARG00000006299,54
ENSDARG00000006300,27
ENSDARG00000006301,114
ENSDARG00000006307,30
ENSDARG00000006308,3
ENSDARG00000006314,290
ENSDARG00000006316,726
ENSDARG00000006332,157
ENSDARG00000006341,9
ENSDARG00000006345,37
ENSDARG00000006350,0
ENSDARG00000006353,51
ENSDARG00000006356,45
ENSDARG00000006368,3
ENSDARG00000006370,48
ENSDARG00000006372,0
ENSDARG00000006383,87
ENSDARG00000006385,15
ENSDARG00000006389,123
ENSDARG00000006392,64
ENSDARG00000006395,300
ENSDARG00000006396,170
ENSDARG00000006397,161
ENSDARG00000006399,157
ENSDARG00000006408,105
ENSDARG00000006409,0
ENSDARG00000006413,105
ENSDARG00000006420,106
ENSDARG00000006422,45
ENSDARG00000006427,947
ENSDARG00000006434,12
ENSDARG00000006447,6
ENSDARG00000006456,10
ENSDARG00000006467,9
ENSDARG00000006468,17
ENSDARG00000006474,9
ENSDARG00000006477,91
ENSDARG00000006487,249
ENSDARG00000006491,20
ENSDARG00000006494,52
ENSDARG00000006497,449
ENSDARG00000006501,0
ENSDARG00000006508,37
ENSDARG00000006514,40
ENSDARG00000006522,4
ENSDARG00000006524,441
ENSDARG00000006526,1491
ENSDARG00000006527,143
ENSDARG00000006544,0
ENSDARG00000006545,65
ENSDARG00000006546,84
ENSDARG00000006553,45
ENSDARG00000006560,0
ENSDARG00000006566,122
ENSDARG00000006567,6
ENSDARG00000006568,3
ENSDARG00000006577,10
ENSDARG00000006580,0
ENSDARG00000006584,205
ENSDARG00000006585,53
ENSDARG00000006588,104
ENSDARG00000006598,23
ENSDARG00000006600,100
ENSDARG00000006601,58
ENSDARG00000006602,4
ENSDARG00000006603,245
ENSDARG00000006604,32
ENSDARG00000006607,35
ENSDARG00000006609,34
ENSDARG00000006615,81
ENSDARG00000006617,40
ENSDARG00000006621,87
ENSDARG00000006624,80
ENSDARG00000006636,69
ENSDARG00000006639,34
ENSDARG00000006640,41
ENSDARG00000006642,33
ENSDARG00000006666,36
ENSDARG00000006672,56
ENSDARG00000006677,104
ENSDARG00000006678,8
ENSDARG00000006683,56
ENSDARG00000006691,814
ENSDARG00000006712,32
