	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000101032	5.976579284	5.909877602	6.095379494	5.800507322	5.443968218	6.096943425	5.721224563	5.885804232	5.990256089	5.011559446	5.812130044	5.402352755	5.661552088	5.626343797	5.772718137
ENSDARG00000101034	5.500641861	5.699746952	5.031146759	5.235960624	5.443968218	4.851384662	5.748813226	5.063388185	5.040222921	5.118722575	5.571999638	4.89800534	5.73958514	5.30541125	5.228470996
ENSDARG00000101036	6.578432781	6.598979648	6.532976226	6.54197762	6.466618073	6.363061043	6.374759631	6.650404573	6.674660384	6.764711586	6.441806221	6.492267878	6.689919223	6.588023573	6.49438692
ENSDARG00000101037	7.081361244	7.292355971	7.197750155	6.215779876	6.600008317	6.789097761	6.656609517	6.610956402	6.982432469	6.404943351	6.740614959	6.710918258	7.019735168	6.770589127	6.972507158
ENSDARG00000101039	4.666855285	4.705533046	4.994521299	4.710911812	4.245177068	4.799168972	4.027196006	4.383183042	4.757934587	4.89800534	4.600859113	4.582538476	4.258238415	4.62508167	4.340903836
ENSDARG00000101040	4.011175051	4.784564168	4.258238415	3.244203596	5.24405377	4.94245487	4.142161425	5.642894458	4.015867673	5.175267539	5.431539895	2.880203019	4.642085052	6.315037725	3.469564855
ENSDARG00000101043	11.88850051	11.67575082	11.29797624	11.56677449	11.84089514	11.43180209	11.82551384	11.46321365	11.72351495	11.84679067	11.57090002	11.47020232	12.06611053	11.68591797	11.83621751
ENSDARG00000101044	8.228928164	8.376442569	8.40222967	8.257293486	8.557419179	8.300787758	8.135318934	8.303098694	8.291684727	8.357948904	8.414668755	8.406692845	8.409827898	8.381461352	8.229058313
ENSDARG00000101047	9.545198031	9.270977985	9.152174201	9.272684327	9.151831093	9.020253697	9.249727825	9.240931393	9.199524036	9.412474066	9.115801454	9.342546164	9.350359451	9.134216045	9.199338986
ENSDARG00000101048	4.423045285	4.784564168	5.10478241	4.578064196	3.873951134	4.94245487	4.477101761	4.166239113	4.340903836	4.406572428	4.253963059	4.332438978	4.522046803	3.382831371	4.901058919
ENSDARG00000101049	5.222920732	5.606864257	5.624804889	5.362172024	4.895440397	5.429222201	5.440952732	4.792754618	5.721224563	6.099949285	5.045882181	5.897305715	6.267040257	5.140149316	5.443968218
ENSDARG00000101050	4.188782815	4.332438978	4.453672803	4.262164661	3.452029228	3.917890887	3.700894413	4.574910482	4.477101761	3.673680516	3.981070826	3.562564292	3.922824259	4.103168294	4.901058919
ENSDARG00000101051	10.78855958	10.14832841	10.39663608	10.74508393	10.37015647	10.45800539	10.65981518	10.30773906	10.55455635	10.97364993	10.29958457	10.59540099	11.17592443	10.15837444	10.58387785
ENSDARG00000101054	9.046044559	9.944032324	9.918699618	9.396744037	9.786036003	9.88288433	9.361920088	9.80694393	9.618570337	9.216200818	9.643494853	9.850126024	8.691655049	9.933712946	9.505110648
ENSDARG00000101056	4.666855285	4.085851009	4.62508167	4.262164661	3.244203596	4.522046803	3.821678548	4.89800534	4.895440397	4.574910482	4.182575521	4.746821455	4.332438978	4.736117449	4.628135249
ENSDARG00000101057	8.587073188	8.134079384	8.16505418	8.421314876	8.242600783	8.380308298	8.172365869	8.336328999	8.247174185	8.180567045	8.230782803	8.108863538	8.487971025	8.325156124	8.492923865
ENSDARG00000101060	5.770985124	5.431539895	5.50586334	5.235960624	5.183005072	5.333902423	5.10478241	5.338405273	5.531122312	5.219531901	5.344883504	5.897305715	5.399564743	5.34267238	5.904801909
ENSDARG00000101061	9.593434234	9.470284401	9.539770155	9.616464746	9.551752807	9.578579613	9.673725309	9.433551038	9.5067385	9.623570178	9.494384116	9.551863902	9.746565648	9.467087717	9.575761145
ENSDARG00000101062	7.404692005	7.58755952	7.297394884	7.308074933	7.468438567	6.982432469	7.251654574	7.547312656	7.273203611	7.515399101	7.336618371	7.533469541	7.110176591	7.510128534	7.558656301
ENSDARG00000101063	8.462506006	7.957872428	8.054426745	8.216707598	8.11278945	8.218138322	8.268973318	8.183162798	8.12964529	8.037448977	8.043646028	7.768928584	8.228258932	8.127634431	8.068276148
ENSDARG00000101072	7.795410078	8.074347738	7.792392237	7.70181389	7.911943681	7.768928584	7.933173655	7.848782046	7.628899922	7.747103379	7.90554086	7.768928584	7.725837897	7.850419924	7.948394908
ENSDARG00000101073	5.737601984	5.978004194	5.624804889	5.858891359	5.777891012	5.78963499	6.158746319	6.31160421	6.118255268	5.766113829	5.7916599	5.699746952	5.628606952	6.116599202	5.806925645
ENSDARG00000101074	13.85391042	13.92710449	13.73159234	13.91638678	14.07927885	13.71619245	14.01063845	13.93714964	13.80407238	13.83450467	13.94569431	14.11713047	13.75198374	13.97387578	13.97387578
ENSDARG00000101077	4.906266698	4.62508167	4.574910482	5.362172024	5.183005072	5.10478241	5.283435667	5.375423093	5.365600678	5.728223546	5.511765073	4.846114214	5.661552088	4.332438978	5.228470996
ENSDARG00000101079	7.580677238	8.424312367	8.349985272	8.032459049	7.818546158	8.012366854	8.1212303	8.469401625	8.172365869	8.011531462	8.557419179	8.532865452	7.879101939	8.219022728	8.245860758
ENSDARG00000101080	9.586712489	9.694452381	9.840359068	9.961404913	9.791294922	9.787819604	9.854785248	9.935498929	9.854432433	9.880885224	9.728413297	9.712011285	9.809665697	9.812804943	9.849178059
ENSDARG00000101081	8.111138063	9.003893559	8.9274437	8.548555905	8.571387191	8.898750696	8.623545023	8.692269157	8.817754265	8.433253718	8.817754265	8.819172572	8.357137435	9.009540162	8.548555905
ENSDARG00000101082	12.07222938	11.87747278	12.10230433	12.1927457	12.28856021	12.1361726	12.1927457	12.10648923	12.15505223	12.23086516	12.08005789	12.20611722	12.31367159	12.02516868	12.17100138
ENSDARG00000101085	7.369058972	6.994189395	7.030345488	7.151282326	7.153343905	7.117606678	7.175260014	7.007548268	6.68463463	6.994189395	7.269641825	7.221487156	7.525250483	6.85612737	6.814733558
