Williams Trend Test
Data Source: no_log_quant_fastbmd_input_SANT_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:15.26
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000096269"			0.04	0.6255732725892179	-1.67803	1.67803	-1.4012232	-1.2528187	-1.2124121	-1.67803	0.3705229	0.19299886	0.34881657	0.054949667			
"ENSDARG00000082968"			0.031746031746031744	0.6255732725892179	2.6491797	2.6491797	1.0619289	1.6189114	1.9134369	2.6491797	0.89985204	0.05289023	0.05324979	0.0014579314	0.3	3.0	
"ENSDARG00000060413"			0.03571428571428571	0.6255732725892179	1.7179077	1.7179077	1.6549478	1.2398176	1.3991785	1.7179077	0.24112311	0.54563844	0.37544566	0.20340334			
"ENSDARG00000002241"			0.017543859649122806	0.6255732725892179	-2.3018866	2.3018866	-1.2179451	-1.3120813	-2.3018866	-1.436356	0.52675956	0.1415771	0.045684904	0.07102631	0.03	0.3	
"ENSDARG00000079860"			0.043478260869565216	0.6284171344886502	-1.6065084	1.6065084	-1.0765678	-1.2889682	-1.1254126	-1.6065084	0.7610946	0.057737533	0.24744324	0.1816283			
"ENSDARG00000097928"			0.01818181818181818	0.6255732725892179	-1.6766329	1.6766329	1.0438486	-1.0843929	-1.3240182	-1.6766329	0.70467424	0.6763199	0.24766451	0.021883698			
"ENSDARG00000017653"			0.041666666666666664	0.6284171344886502	1.7619908	1.7619908	1.2104234	1.2736008	1.2937126	1.7619908	0.46887735	0.30827224	0.28596357	0.0666221			
"ENSDARG00000114516"			0.01818181818181818	0.6255732725892179	1.5238101	1.5238101	-1.0003583	1.1801473	1.1732354	1.5238101	0.99764174	0.30487186	0.27385968	0.072123386			
"ENSDARG00000039979"			0.041666666666666664	0.6284171344886502	1.7311358	1.7311358	1.205546	1.2118028	1.0985609	1.7311358	0.39887285	0.37511173	0.6380416	0.07728238			
"ENSDARG00000062024"			0.03773584905660377	0.6255732725892179	-1.7828574	1.7828574	1.0366299	-1.3524618	-1.3801907	-1.7828574	0.85620344	0.21972392	0.107437395	0.20841675			
