Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:55.08
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000104973"			0.018867924528301886	0.9332578673307674	2.0243871	2.0243871	1.829124	1.3297223	1.3933731	2.0243871	8.460505E-4	0.15862717	0.115329646	0.04528455	0.3	3.0	
"ENSDARG00000106158"			0.038461538461538464	0.9332578673307674	1.5009784	1.5009784	1.1409466	1.3045692	1.1096275	1.5009784	0.563524	0.25321656	0.6392842	0.13576134			
"ENSDARG00000091585"			0.019230769230769232	0.9332578673307674	1.6011335	1.6011335	1.3114383	1.5475342	1.2963793	1.6011335	0.11958235	0.040208668	0.13063061	0.051208917			
"ENSDARG00000094627"			0.03773584905660377	0.9332578673307674	1.7540255	1.7540255	1.6098461	1.6941137	1.290155	1.7540255	0.13868907	0.13822007	0.3439939	0.10639222			
"ENSDARG00000041952"			0.03636363636363636	0.9332578673307674	-1.815953	1.815953	-1.3664619	-1.3337954	-1.341337	-1.815953	0.225041	0.24744016	0.2865209	0.06169602			
"ENSDARG00000036968"			0.02040816326530612	0.9332578673307674	1.5076399	1.5076399	1.5076399	1.3691645	1.1924132	1.1587093	0.040406458	0.076607555	0.211732	0.27318946			
"ENSDARG00000102490"			0.020833333333333332	0.9332578673307674	1.6710734	1.6710734	1.6710734	1.540324	1.4338098	1.2955577	0.015678657	0.009797607	0.033334352	0.06766942			
"ENSDARG00000091321"			0.0425531914893617	0.9332578673307674	1.8877331	1.8877331	1.868247	1.8081717	1.6434975	1.8877331	0.03715383	0.056153566	0.10355692	0.034870386			
"ENSDARG00000103019"			0.017857142857142856	0.9332578673307674	-2.3455172	2.3455172	-1.6010861	-1.3334141	-1.4981889	-2.3455172	0.19989298	0.43055984	0.22956716	0.046077553	0.3	3.0	
"ENSDARG00000102076"			0.0392156862745098	0.9332578673307674	1.5142643	1.5142643	1.4661222	1.2651443	1.5142643	1.2567977	0.0027366322	0.0069984226	0.062221978	0.053126443			
"ENSDARG00000092889"			0.018867924528301886	0.9332578673307674	1.5327863	1.5327863	1.4163214	1.3136469	1.3334692	1.5327863	0.10386867	0.16831014	0.2350857	0.0686035			
"ENSDARG00000052565"			0.02040816326530612	0.9332578673307674	-1.6185652	1.6185652	-1.4949623	-1.6185652	-1.3090544	-1.1115036	0.00252705	0.009341594	0.12876667	0.04978388			
"ENSDARG00000104739"			0.02	0.9332578673307674	-1.9906218	1.9906218	-1.6129866	-1.4185033	-1.9906218	-1.5583998	0.07303703	0.0978658	0.009761416	0.021316595			
