Williams Trend Test
Data Source: wt_fastbmd_input_DHEC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 12:00.06
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 0 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000038703"			0.017241379310344827	0.040711947626841244	-1.7083522	1.7083522	-1.316319	-1.3294096	-1.7083522	-1.5183047	0.12659694	0.10235797	0.045410506	0.051627323			
"ENSDARG00000078285"			0.04918032786885246	0.04993308798929408	-1.798198	1.798198	-1.1312295	-1.1281416	-1.0432371	-1.798198	0.40663445	0.3991439	0.8087978	0.049787343			
"ENSDARG00000039273"			0.0392156862745098	0.044628840547207886	-1.6771046	1.6771046	-1.578455	-1.2902904	-1.1682905	-1.6771046	0.11312295	0.28343278	0.47579026	0.14248386			
"ENSDARG00000087911"			0.01818181818181818	0.040711947626841244	1.7308332	1.7308332	1.4559797	1.2012082	1.3272477	1.7308332	0.1445918	0.43698126	0.18035991	0.038101867			
"ENSDARG00000007561"			0.019230769230769232	0.040711947626841244	2.0937376	2.0937376	2.0937376	1.274652	1.4250834	1.7058966	0.035164073	0.2928726	0.15575746	0.08143338	3.0E-4	0.003	
"ENSDARG00000112419"			0.03773584905660377	0.044628840547207886	-1.5564548	1.5564548	-1.2375816	-1.1060921	-1.2493829	-1.5564548	0.29762936	0.5801637	0.28252196	0.08914027			
"ENSDARG00000098597"			0.017857142857142856	0.040711947626841244	-2.0943172	2.0943172	-1.7354274	-1.3364532	-1.819888	-2.0943172	0.045852493	0.4385395	0.03922295	0.1932361			
"ENSDARG00000101159"			0.019230769230769232	0.040711947626841244	-1.899132	1.899132	-1.5137354	-1.2352442	-1.4623932	-1.899132	0.14468414	0.4093514	0.040715273	0.0094456235			
"ENSDARG00000063019"			0.03773584905660377	0.044628840547207886	1.6648846	1.6648846	1.4327197	1.4178412	1.6648846	1.3523555	0.15062019	0.018435936	0.0027697126	0.025739059			
"ENSDARG00000074721"			0.03125	0.044628840547207886	2.0684469	2.0684469	1.2238493	1.3754843	-1.047668	2.0684469	0.42045182	0.28166047	0.85279214	0.048109397	0.3	3.0	
