Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DHEP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:04.25
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000007221"			0.02040816326530612	0.9497729654208872	-1.5991495	1.5991495	-1.5991495	-1.4972998	-1.4859645	-1.3010508	0.008454279	0.109750085	0.014793171	0.049760062			
"ENSDARG00000031683"			0.017543859649122806	0.9497729654208872	3.381417	3.381417	1.4871187	1.8261756	1.8803394	3.381417	0.041489318	0.1271262	0.006434581	0.010788844	0.3	3.0	
"ENSDARG00000098478"			0.0392156862745098	0.9497729654208872	1.7422884	1.7422884	1.4336013	1.3250295	1.3240427	1.7422884	0.32587984	0.41888234	0.4281696	0.18221992			
"ENSDARG00000091859"			0.01818181818181818	0.9497729654208872	1.6823215	1.6823215	1.411152	1.3088834	1.1242734	1.6823215	0.03839471	0.14311323	0.41648132	0.016677633			
"ENSDARG00000043569"			0.0425531914893617	0.9497729654208872	1.8697593	1.8697593	1.25577	1.2355647	1.2389728	1.8697593	0.49089378	0.49927363	0.5043372	0.11991515			
"ENSDARG00000017884"			0.020833333333333332	0.9497729654208872	1.6099869	1.6099869	1.1338986	1.1826941	1.2678838	1.6099869	0.5995528	0.40236014	0.21002258	0.029554825			
"ENSDARG00000001686"			0.03636363636363636	0.9497729654208872	-1.6002878	1.6002878	-1.1140612	-1.3563273	-1.1628563	-1.6002878	0.59135973	0.19863686	0.5007636	0.085848235			
"ENSDARG00000029473"			0.03773584905660377	0.9497729654208872	-1.5532876	1.5532876	-1.2023935	-1.2519565	-1.4995741	-1.5532876	0.49735934	0.18818386	0.029446071	0.03958856			
"ENSDARG00000032234"			0.021739130434782608	0.9497729654208872	-1.5092937	1.5092937	-1.073918	1.0466096	-1.5092937	-1.3480722	0.5017028	0.60914695	0.011262067	0.057833586			
"ENSDARG00000019096"			0.038461538461538464	0.9497729654208872	2.0077717	2.0077717	1.3775474	1.670466	1.8595588	2.0077717	0.56144005	0.36229256	0.29058334	0.25247556			
