Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 10:01.50
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 6 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000087390"			0.017857142857142856	0.3572977889728519	1.8698192	1.8698192	-1.0985606	-1.1086366	-1.0918833	1.8698192	0.585343	0.45768422	0.62162256	0.16073085			
"ENSDARG00000089124"			0.016666666666666666	0.3572977889728519	1.7253226	1.7253226	-1.0843968	-1.1418203	-1.3165835	1.7253226	0.74722433	0.63370687	0.3042064	0.091692634			
"ENSDARG00000079305"			0.017241379310344827	0.3572977889728519	1.6515151	1.6515151	-1.0602378	-1.1334467	-1.1385605	1.6515151	0.7477858	0.5209761	0.48404214	0.068484396			
"ENSDARG00000099841"			0.01818181818181818	0.3572977889728519	-1.8976662	1.8976662	-1.4703771	-1.2886653	-1.1454101	-1.8976662	0.1853307	0.19602413	0.4895189	0.021415295			
"ENSDARG00000025428"			0.037037037037037035	0.4764081632653061	2.5715394	2.5715394	1.4253759	2.0473607	2.3506231	2.5715394	0.41967115	0.18311608	0.11148935	0.09391924			
"ENSDARG00000036846"			0.02	0.3572977889728519	-1.5752809	1.5752809	-1.0042747	1.0450907	-1.0382593	-1.5752809	0.9805182	0.8251101	0.85228586	0.06610802			
"ENSDARG00000074669"			0.02	0.3572977889728519	-1.6672513	1.6672513	-1.3204072	-1.3663791	-1.1952697	-1.6672513	0.1348911	0.11274459	0.27702934	0.04985165			
"ENSDARG00000006544"			0.038461538461538464	0.4764081632653061	1.703126	1.703126	1.4599432	1.00528	1.2616497	1.703126	0.10447329	0.98050344	0.41242287	0.05163283			
"ENSDARG00000112895"			0.04	0.4764081632653061	-1.8725989	1.8725989	-1.5923178	-1.170593	-1.2573462	-1.8725989	0.0010108826	0.30797458	0.3430028	0.054971784			
"ENSDARG00000063257"			0.03571428571428571	0.4764081632653061	-1.8431141	1.8431141	-1.7406428	-1.3129555	-1.3876139	-1.8431141	0.07331579	0.20687371	0.113997474	0.020192275			
