Williams Trend Test
Data Source: no_log_quant_fastbmd_input_P1400_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:07.12
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
"ENSDARG00000052176"			0.03333333333333333	0.9748910365738108	-1.6878085	1.6878085	-1.2595377	-1.0728672	-1.2876176	-1.236461	-1.6878085	0.27010453	0.7191757	0.3126861	0.28383902	0.07908643			
"ENSDARG00000025428"			0.020833333333333332	0.9748910365738108	2.5907216	2.5907216	-1.0703886	1.0186611	1.9080467	1.8244181	2.5907216	0.733076	0.9241523	0.13886377	0.17159937	0.034614265	0.3	3.0	
"ENSDARG00000107534"			0.019230769230769232	0.9748910365738108	1.7273391	1.7273391	1.1582656	1.137222	1.2752895	-1.0180961	1.7273391	0.2891507	0.36985138	0.24084745	0.93017757	0.015933866			
"ENSDARG00000071198"			0.018518518518518517	0.9748910365738108	1.6023668	1.6023668	1.1736714	1.1359129	1.1421895	1.3683999	1.6023668	0.43276447	0.5281997	0.57638437	0.25408006	0.083929345			
"ENSDARG00000044528"			0.01818181818181818	0.9748910365738108	-1.538774	1.538774	-1.1341617	-1.0570725	-1.0078387	-1.2299545	-1.538774	0.17817171	0.58393985	0.9170607	0.31387088	0.14211729			
"ENSDARG00000111107"			0.031746031746031744	0.9748910365738108	1.5158392	1.5158392	-1.0847564	-1.0150113	-1.1281395	1.0802169	1.5158392	0.76301414	0.9516577	0.6255554	0.80007255	0.16832817			
"ENSDARG00000096269"			0.019230769230769232	0.9748910365738108	-1.8774815	1.8774815	1.1038731	1.0007015	1.0526022	-1.1015358	-1.8774815	0.35389152	0.9962225	0.58179355	0.63814825	0.080558725			
"ENSDARG00000009094"			0.019230769230769232	0.9748910365738108	1.9818016	1.9818016	1.4880931	1.5193363	1.6178014	1.2140386	1.9818016	0.2751142	0.2649834	0.20891295	0.61737573	0.1151387			
"ENSDARG00000005565"			0.01818181818181818	0.9748910365738108	-1.565111	1.565111	-1.0791866	-1.0700804	-1.0614614	-1.1543936	-1.565111	0.51613057	0.5948875	0.6179584	0.38070822	0.2265307			
"ENSDARG00000077473"			0.019230769230769232	0.9748910365738108	1.7597269	1.7597269	1.0656403	1.0178427	1.4026549	1.2889929	1.7597269	0.7138415	0.89406174	0.17922698	0.13767682	0.088763565			
"ENSDARG00000070404"			0.02	0.9748910365738108	1.5251439	1.5251439	1.2580183	1.127384	1.2081931	1.2151501	1.5251439	0.18616523	0.4607424	0.25242424	0.30615127	0.054687347			
"ENSDARG00000030896"			0.02127659574468085	0.9748910365738108	2.0548198	2.0548198	1.3777851	1.4647964	2.0548198	1.5687509	1.908246	0.036343854	0.15931115	0.06461116	0.18607827	0.0021435928			
