"#NAME"	"SANT_10-1_A"	"SANT_10-1_B"	"SANT_10-1_C"	"SANT_10-2_A"	"SANT_10-2_B"	"SANT_10-2_C"	"SANT_10-3_B"	"SANT_10-3_C"	"SANT_10-4_A"	"SANT_10-4_B"	"SANT_10-4_C"	"SANT_3uM_A"	"SANT_3uM_B"	"SANT_3uM_C"
"ENSDARG00000056030"	7.48102113233524	7.37567303432882	7.65822957386037	7.21158490035072	7.38203582284256	7.61215456916636	7.36401909760397	7.45722292650771	7.25827502693379	7.02501847098914	7.41245155776816	7.95082427144274	7.95037503943771	7.61740831793036
"ENSDARG00000097595"	4.81245376246096	5.06191957717753	5.40988304739345	4.76509040052335	4.59659853848644	4.7030162814353	4.81245376246096	4.99263195689316	4.65383038908995	4.47540957140495	5.04667297882158	5.8129795231375	5.45402770805834	5.15418115015788
"ENSDARG00000102366"	5.64611629484499	5.33639155433073	5.58294559352216	5.6151530252216	5.34867654477471	5.44577453548508	5.6151530252216	5.4642443099907	5.00909010838017	4.87270350763202	5.51894945569544	5.69986133310639	5.85999267062951	5.6151530252216
"ENSDARG00000074362"	3.67639362752783	4.275601288766	4.01697997242333	4.30384282669417	3.79241325580008	3.80934462703585	4.51125538835115	3.57658158342176	3.99324569655909	4.34381144295153	4.5719002770147	3.76325550915723	2.96594489574145	3.56444408331874
"ENSDARG00000077915"	5.03173408342874	4.92067285057955	4.56424283170918	4.83059046306877	5.11598178902986	5.33860776116077	5.88148486443406	5.23134025054134	4.71055150492439	6.05121161703905	5.3783741607893	3.76325550915723	4.5227301874836	4.64293121166028
"ENSDARG00000018393"	7.04600287216556	7.06816109945052	6.63889565920821	7.03045370938417	6.89464174969884	6.98095914835955	7.61266418605125	7.08099337217449	7.11170025847513	7.92113750979626	7.30611689656391	6.3637486205532	7.00901233342437	6.61310128231302
"ENSDARG00000089291"	6.28084888387136	6.61677151840539	6.52527886471357	6.38610153928122	6.30045898493509	6.72602036119781	6.55929876264455	6.07302140602278	6.31753533362347	5.69986133310639	6.32123480738622	6.87277325664502	6.58262888265095	7.01170829331762
"ENSDARG00000087210"	4.06269368400499	3.25297338937185	4.19589631015996	4.54659334156884	3.79241325580008	3.56444408331874	3.799522946768	3.8390058983455	2.31723882668936	4.04893332129482	3.67639362752783	5.11598178902986	4.5227301874836	4.44598454723237
"ENSDARG00000101169"	6.03073580861234	6.12169644300355	5.66981632627357	6.47719107769207	5.56437653900346	5.75712503127756	5.48688551958601	5.71526467718697	5.87614576537039	5.55503262395817	5.3783741607893	6.85865206459366	5.97385012977304	6.37454064361756
"ENSDARG00000101131"	6.78753808673218	7.091405904944	7.00754084150621	6.58343711931008	7.09584192720559	7.12723403132691	7.61266418605125	7.11555856193218	7.20246901498387	7.63742090057799	7.19909665392021	6.22917485470113	7.2322272051715	6.65303142968677
"ENSDARG00000117673"	4.49505684435546	4.87972287259683	4.26763274519953	4.45591638212939	4.05558399303707	4.25635759026084	5.08360463541386	4.41376785560473	4.65383038908995	5.24112124226897	4.63904208423011	3.65364953637853	4.47012381558754	4.13293662289443
"ENSDARG00000099547"	8.58008617733156	8.64783251463357	8.35324897735515	8.48490029134151	8.43122475246381	8.34598157519044	8.91097682883759	8.68213677081972	8.7285288855755	9.12316843599222	8.73427620043772	7.95082427144274	8.46747354984493	8.28198432200741
