	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
ENSDARG00000001817	4.075591702	4.823530327	4.639042084	4.511255388	4.953790178	4.014034895	4.200924119	4.452971305	3.375161074	4.121760713	3.557334392	3.763255509	4.116732904	4.132936623
ENSDARG00000001818	9.24996004	9.067140905	8.748033092	8.785511648	8.827529169	9.781299561	8.999994821	8.964435607	9.327371219	9.008195277	8.98483164	9.078056839	8.48050734	8.362391539
ENSDARG00000001825	5.344108908	5.086876328	5.093123673	5.215642008	5.46424431	5.36604756	4.996521084	5.932375211	5.079715508	5.212818554	5.409883047	5.394680598	5.256326472	5.4845697
ENSDARG00000001829	10.42550364	10.5283233	10.52206211	10.41203751	10.61088638	10.64116123	10.26488588	10.45695062	10.5601828	10.40506888	10.45888034	10.54147036	10.72349585	10.53272727
ENSDARG00000001835	9.319610197	9.5728008	9.390992874	9.733144275	9.440276086	8.862948321	9.303295992	9.409149887	9.138263067	9.20889428	9.485149259	8.54425393	9.586518476	9.382649616
ENSDARG00000001857	9.115413752	9.440415857	8.903840192	9.239470712	8.883302499	8.94764807	8.988697688	8.675449697	8.760302567	9.008195277	8.606685151	8.220148133	8.787091011	8.563279171
ENSDARG00000001859	6.739727395	6.556082429	6.932661564	6.909457826	6.998218432	6.326178754	6.580628419	6.841583809	6.051211617	6.518237698	6.845353312	6.740659977	6.813503276	7.097020688
ENSDARG00000001870	13.35804551	13.51805786	12.90848569	12.77243065	13.06438983	13.25843973	13.38546486	13.03572353	13.56678779	13.02774472	12.97378653	13.08840078	12.32760989	12.65781056
ENSDARG00000001873	9.645022542	9.268060608	9.912518956	9.584352003	9.596918985	9.596918985	9.58658834	9.644446769	9.48680373	9.773323536	9.663960912	9.781299561	9.630612144	9.916290689
ENSDARG00000001879	9.005040327	9.146092099	9.250938867	8.706944662	9.083099792	9.287603697	8.937656855	8.968441754	9.167989603	8.952800202	9.024851343	9.205777246	8.910976829	9.098502658
ENSDARG00000001880	9.093780914	9.059301995	8.931469461	9.098502658	8.977625497	8.993661755	9.079967205	8.968441754	9.069043291	9.264925764	9.046008952	8.953402225	9.269337813	9.090788664
ENSDARG00000001881	5.307806756	6.280848884	4.961375849	6.158105736	5.771233438	4.703016281	4.872703508	5.147939454	4.812453762	5.15418115	5.115981789	3.220718863	5.826369037	4.642931212
ENSDARG00000001882	9.656050027	9.634011399	9.347087873	9.438757005	9.426637022	9.950769647	9.397724676	9.46538646	9.822572193	9.520499826	9.508869603	10.19019525	9.743862832	9.643857904
ENSDARG00000001888	8.517651119	8.862336813	8.635711828	8.785511648	8.733217073	8.41179029	8.744905236	8.645043054	8.583095392	8.50554733	8.560965435	8.570375432	8.81815479	8.472608207
ENSDARG00000001889	11.56620201	11.57283054	11.99181442	12.16342093	11.78458413	11.26567744	11.97173588	12.05309919	11.37447328	11.87930132	11.84430664	11.42611336	12.00646801	11.97403573
ENSDARG00000001890	11.03577799	10.98077895	11.16034498	11.05869134	11.15278902	11.07186255	11.19894677	11.08178914	10.96624703	11.19440357	11.01114145	11.11166362	11.05242855	11.16785695
ENSDARG00000001891	7.47177048	7.58955165	7.15178738	7.502542187	7.19276226	7.462506765	7.396337641	7.504030594	7.2115849	7.367665528	7.502542187	6.991696716	7.72933767	7.373899506
ENSDARG00000001897	10.17913931	9.821498356	10.1179837	9.811053607	10.09063881	10.51125915	9.807107179	10.08119718	10.21503308	9.949616565	9.92525189	10.0763682	9.362376328	9.856169111
ENSDARG00000001898	7.250238194	6.943463624	7.176693315	6.856780766	7.296734879	7.189493238	7.136336122	7.284815503	7.384579976	7.111700258	7.297428818	7.985433097	7.291744036	7.593119011
ENSDARG00000001906	4.887997753	5.006665299	4.961375849	5.043401287	4.841627271	4.703016281	5.115981789	5.219431102	5.122139953	4.976948121	5.15418115	4.710551505	5.215642008	5.209831398
ENSDARG00000001909	7.242860223	7.367665528	7.232517487	7.502542187	7.212544101	7.221965769	7.184386796	7.187438144	7.612154569	7.574054315	7.630516538	7.63798248	7.70005563	7.253019138
ENSDARG00000001910	11.52575925	11.24233242	11.12423422	11.39804291	11.17440202	11.4327065	11.3518744	11.18108012	11.50581968	11.32672922	11.24302361	11.28727235	11.44891414	11.22357534
ENSDARG00000001912	7.242860223	7.711518959	7.199096654	7.502542187	7.374525949	7.164107058	7.46926132	7.231113801	7.344204938	7.349821587	7.427831479	6.907217054	7.443573233	7.261553813
ENSDARG00000001913	8.331720058	8.624562454	8.705995419	8.737388553	8.607574335	7.719832256	8.975511333	8.607574335	8.203581038	8.47242186	8.95515959	7.827761563	8.507387693	8.698903781
ENSDARG00000001930	8.988384205	8.779220079	9.019931638	8.879646933	8.851304006	8.516627426	8.862948321	8.869771698	8.687677951	8.88736485	8.91818045	8.503368655	9.100652076	8.91818045
ENSDARG00000001933	7.800506954	7.412831816	7.482572783	7.253694876	7.769708194	7.983944914	7.192007314	7.67633332	7.889233771	7.706572332	7.696326382	8.166414423	7.605527819	7.593119011
ENSDARG00000001937	7.138030014	7.685087313	7.419417515	8.010309475	7.543567708	6.326178754	7.998581571	7.653701485	6.555399971	7.068161099	7.800968027	6.049881926	7.150481765	7.253019138
ENSDARG00000001939	8.341108919	8.580478708	8.639759144	8.494164588	8.403936322	8.194254309	8.577687807	8.304369935	8.240863351	8.359294615	8.457185923	8.220148133	8.524303904	8.38294501
ENSDARG00000001940	10.05101662	9.91048013	9.816556728	9.871474142	9.844326859	10.09471423	9.800445132	9.957511726	10.15135215	9.851527813	9.868709054	10.09463683	9.896453016	9.876671674
ENSDARG00000001950	15.49420333	15.49420333	15.3381405	15.5794515	15.50736619	15.60744571	15.15606332	15.60744571	15.5794515	15.41459206	15.46715452	15.79608556	15.83993004	15.5794515
ENSDARG00000001953	11.15278902	10.92957124	10.07904939	10.90707728	10.49677992	11.13081887	10.62648558	10.25860893	11.06159328	10.81685254	10.34963199	11.34101888	10.88964625	10.56626714
ENSDARG00000001968	6.490011931	6.299146233	6.464621922	6.029060168	5.850074914	6.477191078	5.854990116	5.884880138	6.117813552	6.276102869	5.858465981	5.652652565	5.454027708	5.330854944
