C3,Counts
ENSDARG00000006260,385
ENSDARG00000006266,91
ENSDARG00000006272,71
ENSDARG00000006279,30
ENSDARG00000006283,72
ENSDARG00000006288,19
ENSDARG00000006290,30
ENSDARG00000006292,0
ENSDARG00000006299,56
ENSDARG00000006300,16
ENSDARG00000006301,65
ENSDARG00000006307,44
ENSDARG00000006308,0
ENSDARG00000006314,103
ENSDARG00000006316,338
ENSDARG00000006332,108
ENSDARG00000006341,3
ENSDARG00000006345,49
ENSDARG00000006350,0
ENSDARG00000006353,4
ENSDARG00000006356,32
ENSDARG00000006368,0
ENSDARG00000006370,40
ENSDARG00000006372,0
ENSDARG00000006383,70
ENSDARG00000006385,19
ENSDARG00000006389,98
ENSDARG00000006392,13
ENSDARG00000006395,247
ENSDARG00000006396,167
ENSDARG00000006397,92
ENSDARG00000006399,147
ENSDARG00000006408,73
ENSDARG00000006409,0
ENSDARG00000006413,58
ENSDARG00000006420,186
ENSDARG00000006422,28
ENSDARG00000006427,61
ENSDARG00000006434,0
ENSDARG00000006447,0
ENSDARG00000006456,13
ENSDARG00000006467,48
ENSDARG00000006468,4
ENSDARG00000006474,15
ENSDARG00000006477,55
ENSDARG00000006487,142
ENSDARG00000006491,0
ENSDARG00000006494,24
ENSDARG00000006497,453
ENSDARG00000006501,0
ENSDARG00000006508,24
ENSDARG00000006514,25
ENSDARG00000006522,2
ENSDARG00000006524,225
ENSDARG00000006526,325
ENSDARG00000006527,88
ENSDARG00000006544,5
ENSDARG00000006545,27
ENSDARG00000006546,37
ENSDARG00000006553,25
ENSDARG00000006560,0
ENSDARG00000006566,58
ENSDARG00000006567,0
ENSDARG00000006568,4
ENSDARG00000006577,4
ENSDARG00000006580,0
ENSDARG00000006584,197
ENSDARG00000006585,37
ENSDARG00000006588,28
ENSDARG00000006598,0
ENSDARG00000006600,65
ENSDARG00000006601,27
ENSDARG00000006602,8
ENSDARG00000006603,29
ENSDARG00000006604,20
ENSDARG00000006607,11
ENSDARG00000006609,12
ENSDARG00000006615,33
ENSDARG00000006617,16
ENSDARG00000006621,94
ENSDARG00000006624,67
ENSDARG00000006636,59
ENSDARG00000006639,51
ENSDARG00000006640,27
ENSDARG00000006642,13
ENSDARG00000006666,0
ENSDARG00000006672,80
ENSDARG00000006677,40
ENSDARG00000006678,0
ENSDARG00000006683,58
ENSDARG00000006691,382
ENSDARG00000006712,23
ENSDARG00000006719,32
