E4,Counts
ENSDARG00000005616,2
ENSDARG00000005619,40
ENSDARG00000005625,246
ENSDARG00000005626,8
ENSDARG00000005627,4
ENSDARG00000005629,112
ENSDARG00000005640,17
ENSDARG00000005643,85
ENSDARG00000005645,301
ENSDARG00000005648,35
ENSDARG00000005651,20
ENSDARG00000005652,747
ENSDARG00000005670,154
ENSDARG00000005673,19
ENSDARG00000005675,121
ENSDARG00000005679,124
ENSDARG00000005690,126
ENSDARG00000005699,170
ENSDARG00000005704,126
ENSDARG00000005713,134
ENSDARG00000005716,63
ENSDARG00000005738,37
ENSDARG00000005739,41
ENSDARG00000005749,64
ENSDARG00000005754,1205
ENSDARG00000005762,258
ENSDARG00000005772,34
ENSDARG00000005774,725
ENSDARG00000005775,761
ENSDARG00000005776,64
ENSDARG00000005780,16
ENSDARG00000005783,124
ENSDARG00000005786,83
ENSDARG00000005789,228
ENSDARG00000005791,2452
ENSDARG00000005799,41
ENSDARG00000005800,133
ENSDARG00000005814,0
ENSDARG00000005821,9
ENSDARG00000005823,263
ENSDARG00000005827,375
ENSDARG00000005828,20
ENSDARG00000005834,264
ENSDARG00000005840,396
ENSDARG00000005841,245
ENSDARG00000005842,66
ENSDARG00000005853,15
ENSDARG00000005861,816
ENSDARG00000005865,1
ENSDARG00000005867,303
ENSDARG00000005870,81
ENSDARG00000005883,98
ENSDARG00000005891,313
ENSDARG00000005894,50
ENSDARG00000005897,84
ENSDARG00000005908,183
ENSDARG00000005913,43
ENSDARG00000005915,430
ENSDARG00000005916,65
ENSDARG00000005924,542
ENSDARG00000005926,118
ENSDARG00000005927,258
ENSDARG00000005941,521
ENSDARG00000005942,10
ENSDARG00000005943,134
ENSDARG00000005945,216
ENSDARG00000005948,68
ENSDARG00000005972,100
ENSDARG00000005980,424
ENSDARG00000005989,232
ENSDARG00000005993,19
ENSDARG00000006003,119
ENSDARG00000006008,455
ENSDARG00000006010,111
ENSDARG00000006011,40
ENSDARG00000006019,625
ENSDARG00000006025,72
ENSDARG00000006029,71
ENSDARG00000006031,1528
ENSDARG00000006038,112
ENSDARG00000006040,87
ENSDARG00000006044,36
ENSDARG00000006052,0
ENSDARG00000006060,788
ENSDARG00000006062,421
ENSDARG00000006065,42
ENSDARG00000006074,36
