	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
ENSDARG00000001829	10.40243049	10.44565754	10.13038758	10.41211641	10.40445017	10.25621232	10.41898083	10.39491007	10.41086485	10.44995148	10.22737473	10.2370425	10.5178866	10.4440474	10.35497042
ENSDARG00000001835	9.204256128	8.900723202	9.233024217	8.909804123	8.822223635	8.945019503	9.260055228	8.757690398	8.815694293	9.079983508	9.119403974	8.834750746	8.827512333	8.960472541	8.960559112
ENSDARG00000001857	8.711541604	8.775067507	9.072023726	8.433222483	9.15906187	8.846543256	8.865739939	8.764893125	8.974326045	8.697690172	8.778453737	9.012386657	8.626783431	8.702379117	8.698004577
ENSDARG00000001859	6.345715442	6.464119498	6.898731302	6.863472739	6.649520902	6.135877162	6.171512872	6.345715442	6.634867315	6.172552662	6.770064717	6.392977604	6.369921845	6.672778324	6.816601792
ENSDARG00000001870	12.99587806	12.88902824	12.74307451	13.10792466	12.88574213	12.58051907	13.31293851	12.91244121	12.29666239	13.29717931	12.99587806	12.48637329	12.65556518	11.9349843	11.76031794
ENSDARG00000001873	9.671903952	9.407539314	9.786938884	9.407800381	9.685806204	9.861924122	9.161230935	9.498738571	9.905246662	9.274365012	9.702545714	9.832098399	9.672539773	9.697875237	9.983218644
ENSDARG00000001879	8.822879922	9.038777922	8.840675152	8.917978717	8.948046674	8.968184716	8.9765147	8.922700721	8.898848814	8.833683824	8.612280353	9.097487719	8.897838015	8.79384026	8.841623935
ENSDARG00000001881	5.116661631	5.262158589	5.503485694	4.023698178	4.711967777	3.94350887	5.349544769	4.577279545	4.240691476	5.225773896	5.057609248	4.770580705	4.796632388	4.402646182	5.153041838
ENSDARG00000001882	9.36119474	9.756580326	9.286985588	9.60771468	9.697875237	9.39982964	9.484698781	9.639571229	9.447523899	9.556000418	9.637441052	9.440601313	9.723311223	9.716575175	9.571154489
ENSDARG00000001888	8.746761949	8.437012987	8.69923839	8.415829576	8.598204912	8.684806381	8.402546391	8.597420621	8.650995518	8.682387318	8.532834674	8.45572273	8.446063923	8.419484368	8.502802285
ENSDARG00000001889	11.74978833	11.39629752	11.81432106	11.54384682	11.46424652	11.5389236	11.43531738	11.36923682	11.66922998	11.39122266	11.65326376	11.57972563	11.6592442	11.90530188	11.79749263
ENSDARG00000001890	10.92366909	10.98176218	11.00412382	10.87244041	10.9349089	11.01673675	10.74309231	10.98874785	11.10320295	10.87942751	10.92944078	10.96088386	11.01427244	11.01367639	11.10774142
ENSDARG00000001891	7.162180234	7.038493526	7.025239016	7.055723857	7.040135171	7.093709743	7.363948924	7.079564308	7.000407978	7.457804513	7.220893106	7.181802427	7.204629219	7.483978323	7.313520021
ENSDARG00000001897	10.01259061	9.962590265	9.77580812	10.00747704	10.19230514	10.09262759	9.846732083	9.8110595	10.04913273	10.01140465	9.800572638	10.1880993	9.74007512	9.529604899	9.749540409
ENSDARG00000001898	7.28556925	7.02723168	7.183040288	7.344794273	7.374924307	7.336426667	7.172266121	7.395822896	7.311177895	7.13768962	7.260950587	7.311177895	7.27451072	7.410802488	7.356641992
ENSDARG00000001906	5.244801227	4.585466284	5.19628253	4.534807196	5.013330848	4.835950643	5.242818071	4.732498119	4.876653108	4.670019205	4.76742699	4.835950643	4.711967777	5.367476705	4.218222477
ENSDARG00000001909	7.194350923	7.251140883	7.06527773	7.245372637	6.85957965	7.23983383	7.484205699	7.232590921	7.101722921	7.179365726	7.138329669	7.049569762	7.577136621	7.356641992	7.056363457
ENSDARG00000001910	11.08132999	11.37913417	11.42795111	11.13282795	11.48062531	11.45531786	11.19882884	11.47480543	11.36412278	11.32390231	11.35854428	11.39344404	11.20317922	11.49004468	11.47027168
ENSDARG00000001912	7.021789773	6.707308121	7.233802757	7.19401812	6.702952567	6.883967269	7.256045033	6.482556219	6.787924951	6.989752973	7.103655125	6.655604024	7.052880672	6.980256812	6.917260142
ENSDARG00000001913	8.112633847	8.337456224	8.14542633	8.224974052	8.042350159	8.047295153	8.092729516	8.227705028	8.342964361	8.383414493	8.450022249	8.123405405	7.947882413	7.995923681	7.915506443
ENSDARG00000001929	8.900518307	9.062489522	8.926194074	9.17796464	9.271325707	8.926025586	9.271250859	9.378284518	9.276971862	9.030380003	9.245879781	9.093376058	9.004843233	9.181503056	8.925847969
