gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000052207	Lin	-0.404685121853262	NA	9.70815487346803	NA	NA	0.415301151790542	20.06	0.813898474219502	9.523475588	FALSE	1.48258587965967	1.05492906629749	2.49704631518583	9.10817443620946	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000053620	Lin	-0.298774683745999	NA	8.00509982613277	NA	NA	0.217933403364827	0.71	0.451637531442846	8.11712546333333	FALSE	0.354473686272707	0.275078585254416	0.498353149516979	7.89919205996851	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000054202	Poly2	5.46512680369002	1.6930790912238	-0.680288283382932	NA	NA	0.418734341274702	21.11	0.63371711448974	5.60200612	FALSE	2.64538584409041	2.52781787546006	2.7538134560913	5.1832717787253	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000055752	Exp4	65.3849609272298	1.13725022274369	NA	7.68814562875317	NA	0.474827678221721	24.88	0.929154052597428	7.762214869	TRUE	0.0112311827540511	0.00543143670142065	0.0214980912172763	8.23704254722172	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000056226	Poly2	6.78098814646641	0.582961588618644	-0.312652282832137	NA	NA	0.223454592161319	2.26	0.716382270035739	6.780505079	FALSE	2.19141304989579	2.03633990197624	2.32935766051893	6.55705048683868	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000056744	Exp2	-0.0407360967501378	NA	NA	10.5995532009246	NA	0.425304605322413	20.77	0.831323860658617	10.540550304	FALSE	1.14807486097601	0.603136715675881	1.6811692239384	10.1152456986776	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000056765	Exp2	-0.0332161883572491	NA	NA	12.1250435060972	NA	0.368894292405869	16.5	0.904942396895417	12.1182909766667	FALSE	0.947463666919469	0.444278830373924	1.44237047033921	11.7493966842608	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000058053	Poly2	6.22334318416987	1.13853925563877	-0.509821796491356	NA	NA	0.394744390829717	19.34	0.393422504397181	6.05509191133333	FALSE	2.64993675998603	2.51449679702293	2.77433461931426	5.66034752050362	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000060671	Lin	-0.449243333581292	NA	9.6936491443653	NA	NA	0.385428425712311	17.82	0.970961097016534	9.63385557933333	FALSE	0.991048626859381	0.740114806156732	1.50066852310853	9.24842715362102	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000060879	Lin	-0.476314758427589	NA	8.47842198618667	NA	NA	0.292829068643617	9.58	0.673965574322657	8.303250295	FALSE	0.982545168031922	0.790347445241282	1.29848138156423	8.01042122635638	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000062077	Lin	-0.356497416810803	NA	5.50065046082442	NA	NA	0.294379837417953	9.74	0.375889482309183	5.538015884	FALSE	0.720943270141073	0.543519276243662	1.07100509491866	5.24363604658205	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000068680	Exp2	-0.0370715273389982	NA	NA	11.0726283140291	NA	0.467386703891171	23.6	0.991843348273957	11.1290772766667	FALSE	1.02016700368349	0.391183192937	1.63480691516956	10.6616905727755	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000069377	Exp4	3.25998991105922	1.10734719824806	NA	7.3283913893327	NA	0.411798156534668	20.6	0.198502210924261	7.019596171	TRUE	0.0430478058405924	NA	0.157026071716175	7.43139432753467	FALSE	TRUE	NA	NA	FALSE
