#NAME	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
ENSDARG00000006545	75	51	68	8	79	5	71	51	74	2	53	11	4	7	61	39	8	60
ENSDARG00000006546	49	147	56	2	92	14	90	67	112	12	97	18	12	19	39	32	41	42
ENSDARG00000006553	39	98	53	1	33	11	65	26	36	12	48	0	7	6	26	34	11	13
ENSDARG00000006560	3	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSDARG00000006566	151	162	253	22	134	53	261	156	172	37	128	37	11	68	125	95	53	140
ENSDARG00000006567	6	12	0	0	1	0	10	7	0	0	22	0	0	9	19	16	0	13
ENSDARG00000006568	0	3	6	0	4	0	4	0	0	5	6	0	0	0	10	0	0	2
ENSDARG00000006577	2	0	4	5	28	3	17	23	22	0	19	7	1	4	23	12	0	14
ENSDARG00000006580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000006584	210	179	274	2	234	36	303	204	316	52	256	37	29	71	198	128	79	172
ENSDARG00000006585	29	57	73	2	84	4	79	93	119	12	105	14	14	14	51	17	26	48
ENSDARG00000006588	23	44	61	0	91	0	48	118	103	9	61	3	2	0	37	8	5	6
ENSDARG00000006598	5	0	4	0	23	4	19	33	27	0	6	0	1	5	17	5	7	0
ENSDARG00000006600	46	101	113	0	96	20	97	55	54	18	89	17	3	14	92	69	46	76
ENSDARG00000006601	30	92	95	0	69	5	103	28	76	3	72	13	12	9	62	18	16	65
ENSDARG00000006602	6	18	0	0	7	2	8	3	0	0	0	0	0	0	0	12	8	7
ENSDARG00000006603	70	132	138	0	200	4	200	55	60	45	66	24	0	39	50	33	2	85
ENSDARG00000006604	8	19	49	1	51	0	38	53	15	9	20	8	6	9	63	31	1	3
ENSDARG00000006607	9	11	43	0	30	0	38	19	24	0	16	3	2	10	7	10	26	14
ENSDARG00000006609	43	44	79	3	14	5	97	61	31	8	56	6	6	31	48	19	28	25
ENSDARG00000006615	45	77	114	0	80	12	68	33	65	19	50	11	2	12	21	52	42	13
ENSDARG00000006617	30	31	105	1	65	8	57	40	50	0	68	0	3	19	64	40	15	30
ENSDARG00000006621	71	113	136	1	130	2	147	75	150	19	73	13	21	55	123	89	21	76
ENSDARG00000006624	60	97	76	0	87	5	54	40	90	9	150	14	4	11	70	39	16	26
ENSDARG00000006636	25	43	83	0	89	20	73	48	50	18	57	22	2	20	48	42	30	27
ENSDARG00000006639	20	10	96	3	26	18	97	33	22	2	26	8	3	15	19	10	33	105
ENSDARG00000006640	44	36	101	0	62	20	61	26	71	5	38	10	7	42	24	39	31	39
ENSDARG00000006642	40	2	28	0	55	17	87	13	29	3	20	31	2	6	36	15	39	25
ENSDARG00000006666	8	0	0	0	14	0	0	0	0	0	39	0	20	0	23	0	0	6
ENSDARG00000006672	55	32	87	14	23	6	87	79	83	20	43	5	9	34	26	41	35	19
ENSDARG00000006677	46	57	55	0	105	19	52	31	84	0	41	2	11	14	56	36	18	23
ENSDARG00000006678	4	0	0	0	4	0	0	4	0	2	6	0	0	0	2	3	0	1
ENSDARG00000006683	58	112	146	0	58	21	112	62	95	14	170	8	27	30	69	46	65	26
ENSDARG00000006691	459	525	838	0	600	60	704	431	852	87	682	59	76	184	537	277	126	275
ENSDARG00000006712	49	30	40	0	67	6	29	55	65	0	42	11	13	13	40	19	19	19
ENSDARG00000006719	92	90	241	0	100	9	84	108	121	22	86	0	0	0	83	75	19	19
ENSDARG00000006747	208	272	414	11	414	83	303	159	270	20	236	43	48	53	384	161	122	215
ENSDARG00000006754	54	126	107	0	146	15	161	115	165	4	78	2	4	24	93	48	50	88
ENSDARG00000006757	300	469	513	12	501	62	519	345	636	46	510	84	40	105	341	165	124	286
ENSDARG00000006758	16	32	54	0	65	6	53	41	45	12	59	5	0	30	70	29	10	64
ENSDARG00000006760	52	51	93	0	58	0	133	44	54	9	41	4	0	7	59	15	29	98
ENSDARG00000006766	473	696	1146	22	861	53	742	440	677	140	664	89	43	289	522	372	93	383
ENSDARG00000006773	141	98	153	6	172	35	214	112	161	15	107	29	29	29	116	89	44	125
ENSDARG00000006775	0	14	5	0	11	5	15	16	9	0	4	0	0	0	0	0	0	3
ENSDARG00000006782	32	68	54	0	47	2	66	30	42	1	54	7	22	11	68	34	2	13
ENSDARG00000006786	15	121	54	0	42	1	45	47	24	1	29	4	11	14	10	8	25	42
ENSDARG00000006791	31	36	64	0	69	13	64	59	68	2	48	4	1	11	29	45	25	38
ENSDARG00000006797	26	5	35	0	15	9	35	29	19	3	16	8	5	0	5	1	8	22
ENSDARG00000006811	12	66	43	0	40	11	34	18	35	1	19	13	0	11	46	3	14	16
ENSDARG00000006812	154	106	191	0	155	21	125	133	167	18	109	10	24	39	101	92	69	95
ENSDARG00000006816	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000006818	5	26	21	13	12	0	5	29	20	0	10	5	8	0	7	2	6	12
ENSDARG00000006832	38	107	88	2	123	36	185	155	113	8	188	38	6	94	117	100	19	83
ENSDARG00000006837	168	207	357	7	318	51	336	193	402	23	292	44	27	65	283	135	83	186
ENSDARG00000006838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ENSDARG00000006840	9	26	19	0	26	0	4	13	3	8	16	0	1	7	22	24	1	14
ENSDARG00000006848	3	5	10	0	2	0	18	11	11	0	13	4	0	9	18	13	3	14
ENSDARG00000006849	43	19	62	8	34	4	28	23	29	0	2	0	0	0	19	24	2	34
ENSDARG00000006859	63	44	110	0	133	16	118	33	89	0	66	10	7	26	24	47	41	45
