Chemical,Dose,estimate,SE.x,df.x,t.ratio,p.value,adj.p.value,Group_1,contrast_1,Group,emmean,SE.y,df.y,lower.CL,upper.CL,.group,mean_flu,percent15,sd,legacy_group,keep,percent_difference,percent_difference_mean_flu
1-Decanol,Dose_6,2.8866666666666663,2.807298094715379,6,1.028272228054689,0.5877100366058708,0.6460729256052673,A,C,A,7.224,1.9850595195853187,6,0.7252153354157063,13.722784664584294,a,7.126888888888889,4.5328,3.808694443127607, a,TRUE,39.959394610557396,40.503882011786345
1-Decanol,Dose_6,5.481999999999999,2.8072980947153785,6,1.9527673282433509,0.2047819903621887,0.6143459710865661,B,C,C,4.3373333333333335,1.9850595195853193,6,-2.1614513312509622,10.83611799791763,a,7.126888888888889,4.5328,3.808694443127607, a,TRUE,126.39102367045803,76.9199588413208
1-Decanol,Dose_6,5.481999999999999,2.8072980947153785,6,1.9527673282433509,0.2047819903621887,0.6143459710865661,B,C,B,9.819333333333333,1.9850595195853187,6,3.320548668749039,16.318117997917625,a,7.126888888888889,4.5328,3.808694443127607, a,TRUE,55.82863738203544,76.9199588413208
1-Decanol,Dose_6,2.5953333333333335,2.807298094715378,6,0.924495100188662,0.6460729256052673,0.6460729256052673,B,A,A,7.224,1.9850595195853187,6,0.7252153354157063,13.722784664584294,a,7.126888888888889,4.5328,3.808694443127607, a,TRUE,35.9265411590993,36.416076829534475
1-Decanol,Dose_6,2.5953333333333335,2.807298094715378,6,0.924495100188662,0.6460729256052673,0.6460729256052673,B,A,B,9.819333333333333,1.9850595195853187,6,3.320548668749039,16.318117997917625,a,7.126888888888889,4.5328,3.808694443127607, a,TRUE,26.430850702695363,36.416076829534475
1-Octanol,Dose_1,0.9360000000000008,1.8734162891873747,6,0.49962200361031683,0.8741769598362722,0.9872315102488378,C,A,A,2.2706666666666666,1.3247053620697304,6,-2.0662183522317963,6.607551685565129,a,2.990111111111111,1.1840000000000002,2.0627463152581584, a,TRUE,41.22137404580156,31.303184571364895
1-Octanol,Dose_1,0.9360000000000008,1.8734162891873747,6,0.49962200361031683,0.8741769598362722,0.9872315102488378,C,A,C,3.2066666666666674,1.3247053620697309,6,-1.1302183522317972,7.543551685565133,a,2.990111111111111,1.1840000000000002,2.0627463152581584, a,TRUE,29.189189189189207,31.303184571364895
1-Octanol,Dose_1,1.2223333333333337,1.8734162891873742,6,0.6524622105552105,0.7979289825100226,0.9872315102488378,B,A,A,2.2706666666666666,1.3247053620697304,6,-2.0662183522317963,6.607551685565129,a,2.990111111111111,1.1840000000000002,2.0627463152581584, a,TRUE,53.83147386964182,40.87919438147971
1-Octanol,Dose_1,1.2223333333333337,1.8734162891873742,6,0.6524622105552105,0.7979289825100226,0.9872315102488378,B,A,B,3.4930000000000003,1.3247053620697304,6,-0.8438850188984626,7.829885018898463,a,2.990111111111111,1.1840000000000002,2.0627463152581584, a,TRUE,34.99379711804562,40.87919438147971
1-Octanol,Dose_1,0.2863333333333329,1.8734162891873745,6,0.15284020694489356,0.9872315102488378,0.9872315102488378,B,C,C,3.2066666666666674,1.3247053620697309,6,-1.1302183522317972,7.543551685565133,a,2.990111111111111,1.1840000000000002,2.0627463152581584, a,TRUE,8.929313929313913,9.576009810114808
1-Octanol,Dose_1,0.2863333333333329,1.8734162891873745,6,0.15284020694489356,0.9872315102488378,0.9872315102488378,B,C,B,3.4930000000000003,1.3247053620697304,6,-0.8438850188984626,7.829885018898463,a,2.990111111111111,1.1840000000000002,2.0627463152581584, a,TRUE,8.197347075102572,9.576009810114808
1-Octanol,Dose_2,1.5895000000000015,1.9018145940127806,5,0.8357807354113298,0.6993533555100002,0.9998397746137522,C,A,A,2.9174999999999978,1.4731392500371436,5,-2.2652339541841746,8.10023395418417,a,4.1205,3.12795,1.9109413536639102, a,TRUE,54.4815766923737,38.575415604902354
