	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000068290	6.30066632756794	5.27417488127055	5.75895142604964	5.13798788385487	5.88919181810834	5.23596062417487	6.24567723050616	6.19719148893059	5.06565134025643	5.76611382878321	6.0103322046592	6.01311457583208	6.60570124341452	6.77058912726554	6.60199064321352
ENSDARG00000068380	4.10866577167879	3.87395113390962	4.51711343103885	3.39969675401403	3.4520292279493	3.63626717013558	4.25396305949387	4.3231454413691	4.27786226153461	4.23457952917917	3.64815001403304	3.70089441278536	4.45367280336999	4.6250816697391	4.42751956503774
ENSDARG00000068738	8.12303083163729	7.91694921455646	8.01413975606935	7.34828785948929	7.45691495623127	7.3558892251606	7.35672408721924	7.99212461243249	7.80762866213481	7.46127945231907	7.49013647832167	7.4704547219715	7.80967519625101	7.98020250834102	7.52488753869518
ENSDARG00000068830	5.94785399736198	5.65781683737287	5.66652065059797	5.80050732194962	6.31623251864768	6.42383895002351	6.18018753377582	6.02475047539056	6.29559471504393	6.42490171961478	5.93278224676075	6.27578563828023	6.60570124341452	6.60199064321352	5.97949538146786
ENSDARG00000069377	7.31924354510634	7.32060291706144	7.16329462091715	7.89766901063896	7.74364907520027	7.23402817149256	7.86609431359537	8.0964955660951	7.1024008305615	7.80169601486376	7.62080563834473	7.38441899388653	8.43272611388975	8.02924137676596	7.72830377771662
ENSDARG00000069706	7.26231372401987	7.15128232640807	7.227641563753	6.95712453079866	6.50810642265773	6.71821835636416	6.87198422710497	6.82140828089568	6.69305118697314	6.86086494653852	6.54288072216097	6.4261589880982	7.21116435798457	6.8329312067636	6.81473355786881
ENSDARG00000070092	5.18029560641566	5.49169772545004	5.20816282310687	4.84127296372094	4.50904573764143	5.20545335747371	4.71934301250606	5.30541124958819	5.17526753875039	4.23457952917917	4.86946369204072	4.79916897212093	4.85585894209062	4.73611744851905	4.57491048198068
ENSDARG00000070157	9.50928685145849	9.82581108382115	9.6337119928095	8.78853264667157	9.1907219047226	9.14614765485458	9.12415202862148	9.17626557670083	9.34577798410874	8.96787367390667	9.4055359249916	9.28109668373129	9.16825186404495	9.29004166086733	9.34702941822867
ENSDARG00000071198	5.18029560641566	5.82524031031892	6.02166000036832	5.50586333972901	5.74101005041916	5.71091328439222	5.28343566711454	5.06338818479488	5.62860695225157	5.42922220076157	5.08013338800448	5.64365179402315	5.1025712860046	5.01155944576177	5.14226323968285
ENSDARG00000074505	6.21577987597673	6.60706551691851	6.45004943158952	5.95615402732443	5.85167200765759	5.6534917891287	6.06000187582387	5.93976161601421	6.23648334911078	5.76611382878321	6.16753375465852	6.34787327550241	5.20545335747371	5.76611382878321	5.47712808377117
