	B4	B5	B6	B1	B2	B3	A10	A11	A12	A7	A8	A9	A4	A5	A6	A1	A2	A3
368923	6.29580198961447	7.06712727555216	6.92647383854885	6.8287734373879	7.46290235613585	6.58945495176898	5.77505720940915	5.52994145019495	3.69272697272039	7.46427740273479	7.00830117851643	7.27367849683966	7.51414248654805	6.41238008225668	7.08498568328219	6.84815623290883	7.11860092561863	6.84723862794888
100005300	5.45755305961108	1.70957527093408	1.97227752816197	2.43645601460914	5.40061807788151	3.95718673626946	3.900588091493	3.9449789494738	5.80820419014033	6.09343970736648	4.0926933658068	0.307894212177576	6.40878948640182	5.70877308503691	2.99752284203185	1.80376211355037	0.743561494271704	5.09721688095723
368916	6.78819837159955	7.32428511504929	6.89510966763951	6.91758270434576	7.42167969340934	7.70134783183988	7.67317759538993	7.64541866761489	7.31721783762819	6.18965502262578	8.14896158545355	7.0760785369545	7.55421992592338	6.80830875858782	7.24545035547544	7.78104203705029	6.80965068472948	7.25249510643514
30117	5.9050120365823	7.97636181162898	7.04552651019261	5.80568982427486	5.70547265940993	7.18984749305974	6.95948178054657	8.03244179072414	6.01465506760776	7.50224525293381	4.88118926061309	7.04936119857872	5.06483508518446	4.82741758153552	8.92826017959474	6.66174310867795	6.29815034594934	6.59198157270681
431720	6.67994548094753	8.11896620707178	7.73604318167189	7.64590938023809	6.06804273879464	8.1109920723485	7.07051309293532	7.85186954508231	6.86265197416271	7.61049814358583	8.14896158545355	6.7508377080263	7.66817611522047	8.17194710536002	6.69796256017295	7.35835096522801	7.86250256699521	6.68217938167839
751594	6.29580198961447	5.41001498907517	6.45340421789859	6.52391885585948	5.22004583223969	5.88318615482569	6.01606530891294	6.7523338715314	6.500081894778	6.36474172918387	5.76254476411447	4.9517504019523	6.97910521115857	5.86489228695419	7.75241034419532	5.71065270915889	5.49844899643517	3.95971335720729
777634	6.75300894313725	7.13584002563618	6.86304845840721	6.34334661021766	7.04107569119437	1.6352586413821	6.40308843202219	3.9449789494738	7.59961756832891	1.23545871223891	0.633261747169506	0.307894212177576	6.31859167743024	7.52200457343118	2.99752284203185	6.66174310867795	5.60154248939928	7.7463097190981
368424	8.42996722793918	8.92874379139624	9.0490931252128	8.03140260390292	8.93520705608755	8.71207423843293	8.14851560493659	8.33729637225256	9.11899172742249	8.08094876318328	8.26988636771316	9.10555573803133	9.52930229371905	8.06330584535619	8.61223268614706	8.92270318627388	8.55734268548874	8.73581734528046
402922	8.86024216646228	8.88948436094901	9.09121860088548	8.25237295017017	8.20797299993911	8.50562336096551	7.67317759538993	8.80295994460137	9.55897558383157	8.75115855052295	8.49744789182379	8.13444269946849	8.41967780254455	8.73430817714404	9.50531748223055	8.76954639821246	8.65645083050167	8.11351869328633
65237	7.4018436270248	8.0494252738187	7.64470287013347	6.8287734373879	7.78888866759757	7.61253856488202	6.95948178054657	5.52994145019495	8.17385366245701	6.59301071685699	7.00830117851643	6.87774982050852	7.51414248654805	7.02243356394067	8.2829250608941	7.95350923305506	6.93338605315172	7.78753238182461
