	dose_3.dose_0	dose_30.dose_0	dose_300.dose_0	dose_30000.dose_0	AveExpr	F	P.Value	adj.P.Val
114418	-0.380832757916664	-0.54733247625	-0.940207812249998	-0.816077024249996	13.2229460575556	1.62211158870364	0.211082615814584	0.50367017061784
790943	-0.130156103749998	-0.0573334952500009	-0.309629413749998	-0.533764155583331	6.18180663594445	1.62151900936903	0.211227369731512	0.503826604334689
794891	0.0130426749166661	0.374583338749998	0.489491661583333	0.398545841416666	4.32727200027778	1.62147010734737	0.211239319939917	0.503826604334689
436979	-0.16491098825	-0.0304904872500007	0.532935245416668	0.00452753708333375	5.62097826155556	1.62129496838726	0.211282124398418	0.503826604334689
570007	-0.0569486828333323	0.0847664609999992	-0.307868519833334	-0.421850915	6.58253191738889	1.62077748508186	0.211408650631263	0.503906429413052
565677	-0.192132255666665	0.195299566499999	-0.323260721333332	-0.357432430666665	4.88693618077778	1.62064868530372	0.211440154610945	0.503906429413052
565106	-0.0624652080833323	-0.178763063750001	-0.366477958416666	-0.423650140916664	6.50058113772222	1.62052944133351	0.211469325554027	0.503906429413052
565773	0.0318891358333353	0.213175467499998	0.0415456665000011	-0.207218783166665	6.49289110655556	1.62042766618985	0.211494226311611	0.503906429413052
555331	-0.0801335810833326	-0.057614245249999	-0.254497004416665	-0.354661998249998	7.01041747461111	1.61978328221195	0.211651953772285	0.504175775040418
561879	0.0368090916666679	0.265102818999999	-0.213545473333332	-0.276433399166665	5.99137212477778	1.61917376838999	0.211801256699692	0.504424943140423
798657	-0.121364137999998	-0.400477518	-0.494925145666665	-0.587033198499999	5.31695362955556	1.61836029164542	0.212000689014515	0.504696541692645
565122	0.102689784166669	0.249593036499999	-0.0527386858333312	-0.184404424333331	7.59637200272222	1.61834373205749	0.212004750764192	0.504696541692645
560030	-0.0649490227499987	-0.0493716917500011	-0.117472450083332	-0.281295611749998	6.4646278085	1.61805342033319	0.212075971596916	0.504734016820534
378720	0.0694061286666665	0.162372409999998	0.0731239926666669	-0.168954089500001	6.75146215927778	1.61791494049929	0.212109952832592	0.504734016820534
101885757	-0.0316699549166666	-0.630059380250001	0.00513580941666802	-0.243622167249999	5.32500232377778	1.61744264895913	0.212225889207748	0.504825198074218
503772	-0.214704156583332	-0.324314540250001	-0.339495404249998	-0.178384854249998	5.79334681377778	1.61739435767901	0.212237747222979	0.504825198074218
557556	-0.138610643166666	0.165907725499997	-0.282889291166667	-0.398327893833334	5.53375949255556	1.61709410324677	0.212311490469985	0.50487884375108
799387	-0.0384341313333323	0.0847674049999982	-0.293720831666666	-0.361786391833331	7.15129010311111	1.61693821788637	0.212349786639722	0.50487884375108
100333695	-0.329270671166666	-0.4961570155	-0.408771070166666	-0.443807496666665	3.65521111511111	1.61674847706664	0.212396409570376	0.504883312743232
793701	0.0816449159166677	0.173478445249999	-0.332973765083332	-0.400197540083332	6.136912085	1.61582927664831	0.212622422819521	0.505314115226512
559917	0.107818786833334	0.565780946499999	0.353621043166667	0.196440831833334	4.87880256472222	1.61512408052363	0.212795983303976	0.505620104359248
30176	-0.346527799999999	-0.467729866000002	-0.251806826333332	-0.303782472999998	6.44904093883333	1.61435068557849	0.212986495179035	0.505966234021101
393234	-0.271434961583332	-0.27765986625	-0.183353649583332	-0.341683873083332	6.57316451377778	1.61398113087946	0.213077589855366	0.506076094280773
561595	-0.317701027833333	-0.209037594000002	-0.2513253755	-0.431302100499999	4.97369843844444	1.61355310058735	0.213183148454938	0.506220254033148
100126029	-0.176796497916666	-0.130202957750002	-0.22297106625	-0.35612306375	7.28271873266667	1.61335223187922	0.213232704074934	0.506231397597633
100000122	-0.210454373083332	-0.15406572025	-0.232715870416666	-0.272961828249998	7.33151248405556	1.61201848193378	0.213562047648644	0.50684012703657
550399	-0.3285169195	-0.210506585500001	-0.495167412833333	-0.402945603166667	3.64174766377778	1.6119501131194	0.213578943996711	0.50684012703657
568410	-0.0375584084166656	-0.00157037125000059	-0.272247784083333	-0.408605136416665	6.1640885645	1.61111208825892	0.213786160560343	0.507218934449195
561162	-0.0351043681666638	0.144636262500001	-0.417562502833331	-0.486459855833328	9.70386958955556	1.61094107692106	0.213828471390892	0.507218934449195
436644	-0.06649571675	0.096331834249999	-0.115970042749999	-0.461355770583333	3.76167331111111	1.61042895624911	0.213955229094981	0.507412947689736
550326	-0.127760724416671	-0.286092550250005	-0.0274818377500026	-0.240715164583334	7.99463793305556	1.60889223163362	0.214336053001592	0.508209292302997
571219	0.13929521525	0.342633841749999	0.546920337583333	0.545463471750001	3.67024661366667	1.60841397298767	0.21445471406818	0.508383822173392
555910	-0.171832811583331	-0.18417249025	-0.325504206249998	-0.480522609916664	4.23671187194445	1.60779495665079	0.214608398268246	0.508641286716842
492768	0.248697484333334	0.147790216	-0.0603187083333312	0.390907131500001	4.44784419394444	1.6075039762288	0.214680679321785	0.508705750833058
570076	-0.210576148666666	-0.0376264270000011	-0.521326942333333	-0.535264983166665	4.30589274033333	1.60670855534073	0.214878392939853	0.509067349555597
570159	-0.164452347833332	-0.302741234500001	-0.156785138166666	-0.410025611833333	5.00155639361111	1.60612493265758	0.215023579268967	0.509182200578763
