	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
553687	0.40374737	1.356313579	1.643500723	1.446144032	0.829085991	1.140902662	0.472874543	1.277811716	1.16129599	-0.207828273	1.147281351	0.80656217	0.598999224	0.214136115	0.428594806	0.488936814	0.458206107	1.242090537
553688	4.712743795	4.570902735	4.084220351	4.068806241	4.536621743	4.150713309	4.017506673	3.931161564	4.107386204	4.930653871	4.233043821	3.961491083	4.463065999	4.077718708	4.051116505	4.618464291	3.323435075	3.922573645
553689	1.509237748	1.878315782	1.387831935	1.981577565	1.946368492	1.708322242	1.723791488	1.764686917	1.558134479	1.015461379	1.69151764	1.324291816	1.594242653	1.768297553	1.490413006	0.759510092	2.120931158	1.475576467
553690	4.588414495	4.472251179	4.735963931	4.548045247	4.233568515	4.167872881	4.524513844	4.000592758	4.175787644	4.035498772	4.098031179	3.983405193	4.009589057	4.05164637	4.009197196	3.947080986	3.839212546	4.169091275
553691	6.658814578	6.86355989	6.961907191	7.058544615	6.853272685	6.986255258	6.935106189	7.197529352	6.904736409	6.056504999	6.857983186	6.801556584	6.424880345	6.688741605	6.679542508	5.790097666	7.047822204	6.588492994
553693	2.82716762	2.91092252	2.968830952	3.14520172	2.704898822	2.81777051	2.978330309	2.951136772	2.760253431	2.515969803	2.966240643	2.659728921	2.210710733	2.778772903	2.766679084	2.707478729	3.191733996	2.902366005
553695	4.014224933	3.547972396	3.321481832	3.510196897	4.019256443	3.59798077	3.45465997	3.748527795	3.239824656	4.348672838	3.882152427	3.580414269	4.178021004	3.765769022	3.625737189	4.358309467	3.677201883	3.555392386
553697	5.131089699	4.829776472	4.72342377	4.613011565	4.928165541	4.590666937	4.433883698	4.534407379	4.69818862	5.105495733	4.850499985	4.659647248	5.032467757	4.782056183	4.42775623	5.2465527	4.255495145	4.563213287
553698	2.403939876	1.894447312	2.844638914	2.034279803	2.270086033	2.128599159	3.036980531	2.78513419	2.718530829	2.302739484	2.487992413	2.566021795	2.199763337	2.594989014	2.98424576	2.813131929	2.860161446	2.987976747
553699	4.546947466	4.469561761	4.574980189	4.688940798	3.949838618	3.791966518	3.859346733	3.6804652	3.992466583	4.114628992	4.152993837	3.818461057	3.993831556	3.837281464	4.115093982	3.919744069	2.667949544	3.620204487
