	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
777746	29	6	6	1	0	5	2	0	0	6	0	0	0	13	3	0	14	2
777747	101	31	75	50	35	39	21	28	2	47	19	8	20	131	43	0	42	85
777750	173	15	54	62	57	37	28	40	4	43	20	5	5	53	30	0	42	24
777751	24	1	0	2	3	2	0	1	0	14	4	3	0	5	10	0	0	1
777754	46	0	18	11	0	19	0	6	0	0	28	0	16	49	0	0	0	18
777755	15	0	1	0	4	7	4	4	0	0	4	0	0	15	22	0	15	1
777756	532	113	393	106	119	150	72	131	1	299	182	44	93	397	140	0	255	141
777758	41	10	30	17	7	16	0	17	0	18	13	0	6	46	3	0	19	10
777759	25	11	25	12	1	0	1	18	3	2	9	0	0	10	1	0	4	2
777760	64	8	31	27	18	12	14	5	0	45	26	1	5	57	29	0	25	25
777765	43	7	37	19	9	16	4	16	5	18	56	3	9	58	37	0	62	35
777766	1608	400	1119	677	372	703	422	400	35	960	576	112	217	1678	554	0	1094	610
777767	252	28	60	96	58	68	65	72	6	59	69	13	8	204	70	0	94	93
777768	409	104	253	173	74	106	65	117	13	232	151	12	71	354	163	0	267	168
777792	54	12	30	17	0	12	6	9	1	35	17	0	7	82	29	0	48	23
777793	336	75	169	249	69	126	47	84	1	178	170	31	41	389	160	0	322	160
780836	40	19	50	22	18	18	32	5	3	22	2	0	7	68	8	0	30	15
780837	7	2	0	0	4	0	0	4	0	13	0	1	3	6	0	0	3	10
780838	32	0	6	6	4	14	0	0	0	3	0	1	1	10	9	0	1	0
780839	3	1	0	9	0	8	2	2	0	2	0	0	4	0	2	0	0	9
780841	13	14	27	7	1	8	0	8	0	24	0	5	0	17	4	0	4	9
780844	67	2	33	10	9	14	10	5	0	11	19	1	3	9	18	0	4	10
790908	204	73	566	140	72	85	15	55	3	86	55	21	25	230	130	0	222	207
790916	267	74	250	107	81	80	31	103	10	121	82	22	20	220	106	0	219	153
790917	848	142	991	333	166	276	121	108	3	351	190	76	114	739	247	0	565	544
790919	11	0	13	5	0	26	3	5	0	6	16	0	0	18	6	0	9	0
790921	70	4	10	38	8	20	5	19	0	19	33	0	4	56	0	0	24	30
790923	11	0	0	5	9	2	0	0	0	9	22	0	9	0	5	0	3	2
790924	39	14	49	32	23	31	10	7	0	25	17	3	13	45	19	0	33	47
790927	90	12	17	18	24	21	9	14	4	28	6	0	3	92	9	0	69	19
790928	50	11	24	36	2	21	19	24	0	23	15	9	8	60	15	0	48	22
790929	2	4	3	0	2	1	0	1	0	14	1	9	0	18	4	0	16	0
790931	27	2	6	18	0	11	2	16	0	6	2	0	7	10	3	0	15	2
790933	108	13	60	79	13	39	28	35	7	73	39	13	17	96	51	0	96	73
790934	54	9	46	74	10	34	12	24	0	18	8	3	13	60	33	0	25	8
790935	206	25	96	82	32	40	16	17	8	88	119	32	23	107	32	0	124	106
790936	16	1	17	0	0	4	4	7	0	16	7	0	5	35	15	0	8	18
790937	89	14	63	62	35	22	9	14	1	77	28	9	11	78	26	0	41	10
790938	12	0	33	15	35	16	0	7	0	29	30	0	8	32	14	0	37	16
790939	20	1	6	5	7	13	2	5	0	15	21	2	0	24	4	0	10	25
790940	77	7	40	40	24	26	17	31	0	47	62	6	34	72	17	0	73	23
790942	175	31	90	55	35	58	71	72	7	198	95	22	20	197	43	0	141	51
790943	48	0	10	5	3	11	2	6	0	34	35	0	10	60	31	0	21	28
790944	67	15	19	36	23	35	8	22	0	40	25	1	21	62	30	0	25	49
790945	13	7	20	15	2	17	0	9	0	20	2	0	7	13	18	0	19	8
790957	18	0	3	2	1	1	1	0	0	13	1	0	1	1	0	0	8	3
790965	34	2	1	14	0	11	0	0	0	0	2	0	1	10	1	0	0	0
791107	196	11	81	14	31	72	17	57	0	96	20	20	13	111	53	0	10	51
791130	16	5	20	8	7	15	1	6	0	9	13	0	10	20	4	0	1	8
791132	28	1	4	10	5	33	23	1	0	4	6	0	7	19	6	0	15	4
791133	94	26	58	10	10	28	11	9	1	88	30	15	11	28	52	0	28	45
791134	117	34	76	51	11	54	64	57	3	103	33	15	24	80	57	0	85	43
791135	5	3	24	13	0	13	8	2	0	14	51	0	14	58	5	0	124	12
791138	22	5	28	15	10	5	2	6	0	6	6	0	2	30	23	0	8	22
791139	84	4	32	21	9	21	22	16	0	27	42	0	4	66	70	0	54	38
791140	54	3	14	33	10	10	17	4	10	7	16	0	9	63	22	0	17	20
791141	139	29	102	22	15	26	35	38	10	21	88	3	12	167	6	0	136	43
791142	170	36	89	99	39	48	44	23	1	90	40	3	14	131	70	0	90	89
791143	117	8	38	36	22	18	11	24	0	65	45	10	10	75	48	0	61	12
791144	401	88	313	217	128	118	106	119	7	214	193	12	69	310	165	0	254	113
791145	71	14	44	14	32	30	19	18	0	44	8	0	30	37	15	0	18	9
791146	200	82	115	86	32	70	68	91	6	108	72	48	59	166	51	0	139	127
791148	140	8	87	19	44	45	26	35	3	59	30	15	8	64	42	0	38	23
791149	13	2	20	7	0	1	3	4	0	6	0	0	0	12	0	0	13	0
791150	376	67	123	74	36	242	32	77	3	118	55	33	27	265	68	0	169	98
791152	6	1	21	2	6	7	4	6	0	13	7	0	1	18	9	0	5	3
791153	42	4	12	24	3	9	7	5	0	8	8	4	0	32	6	0	4	6
791154	411	63	217	148	65	167	68	56	6	154	103	28	26	298	126	0	170	217
791155	53	15	19	18	9	17	29	20	27	23	9	11	12	62	9	0	35	15
791156	3	0	3	11	0	16	0	3	0	0	0	0	0	4	1	0	6	0
791157	331	91	205	124	84	140	49	56	4	137	76	15	22	347	107	0	182	116
791158	50	4	15	18	2	12	27	17	0	8	4	2	4	41	12	0	19	13
791159	40	3	19	12	7	28	0	24	4	11	7	8	3	15	8	0	10	6
791160	235	40	154	82	41	74	66	69	1	144	76	5	33	168	43	0	160	67
791161	0	0	8	0	0	2	5	0	0	3	0	0	0	0	4	0	12	30
791162	176	31	50	40	19	42	40	30	4	115	29	11	28	134	40	0	83	62
791164	8	0	9	0	0	4	1	1	0	5	0	0	0	0	0	0	1	3
791165	84	20	111	23	13	41	34	37	0	53	32	7	31	100	29	0	47	29
791166	17	0	3	6	3	12	12	8	0	0	7	0	0	11	0	0	11	4
791167	17	0	18	18	0	14	15	8	0	33	13	0	1	19	12	0	17	12
791169	289	41	225	306	43	100	55	113	8	177	170	32	212	662	82	0	185	93
