#NAME	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6
#CLASS:DOSE	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	100	100	100	0	0	0
ENSDARG00000001930	0	32	40	7	41	11	25	10	0	12	8	0	21	16	17	77	11	35
ENSDARG00000001933	0	21	4	13	25	12	10	3	1	5	5	0	24	5	14	28	0	24
ENSDARG00000001937	0	10	12	7	6	0	11	2	2	8	1	0	3	5	2	26	5	14
ENSDARG00000001939	0	68	37	24	30	19	16	24	2	14	3	2	25	8	25	96	22	19
ENSDARG00000001940	0	66	34	15	141	54	65	103	48	28	48	1	43	25	38	171	30	78
ENSDARG00000001950	0	2020	1098	536	2572	1203	1528	955	235	615	801	48	1420	623	777	2840	657	1851
ENSDARG00000001953	0	80	35	14	137	82	75	21	7	25	69	9	27	20	16	81	11	50
ENSDARG00000001968	0	269	146	57	301	119	317	182	36	78	147	7	169	90	140	467	103	264
ENSDARG00000001969	0	71	19	32	57	26	36	28	11	32	26	0	60	21	48	135	14	59
ENSDARG00000001971	0	24	25	4	34	20	20	3	0	24	12	11	11	8	12	63	10	25
ENSDARG00000001975	0	25	25	7	30	25	22	15	1	5	6	4	24	5	19	49	13	25
ENSDARG00000001976	0	33	12	5	43	20	22	19	2	7	12	0	9	4	9	57	16	30
ENSDARG00000001993	0	510	428	143	991	347	427	346	56	151	225	18	319	201	285	523	141	465
ENSDARG00000001994	0	340	375	86	692	159	277	116	54	166	105	13	222	236	174	603	168	381
ENSDARG00000001999	0	80	52	16	54	23	45	37	5	17	35	0	159	16	39	92	13	138
ENSDARG00000002002	0	2	9	14	31	8	15	18	3	5	7	0	9	4	28	11	8	14
ENSDARG00000002006	0	112	34	40	106	46	89	30	0	3	84	3	52	72	49	124	7	88
ENSDARG00000002013	0	99	51	27	181	56	157	65	19	47	28	0	83	48	92	219	25	104
ENSDARG00000002016	0	23	5	7	51	15	4	3	0	0	15	0	16	1	4	104	14	51
ENSDARG00000002020	0	102	25	11	69	28	70	23	13	30	28	25	74	21	20	202	22	47
ENSDARG00000002021	0	42	48	27	137	53	62	70	4	27	30	0	44	29	64	119	2	12
ENSDARG00000002026	0	84	17	13	172	35	52	25	57	26	25	3	42	15	41	93	37	91
ENSDARG00000002031	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
ENSDARG00000002037	0	21	20	22	28	12	19	20	0	12	18	0	48	6	122	54	4	54
ENSDARG00000002060	0	5	4	0	8	11	1	0	0	0	0	0	0	6	0	5	4	10
ENSDARG00000002071	0	323	128	65	270	122	138	64	22	72	82	0	145	80	109	329	60	264
ENSDARG00000002077	0	35	24	9	32	20	18	4	4	8	5	0	19	11	28	40	9	21
ENSDARG00000002082	0	182	164	64	180	132	150	72	45	43	65	10	106	48	108	303	40	228
ENSDARG00000002084	0	360	238	45	427	143	266	177	27	71	107	11	191	132	181	385	90	275
ENSDARG00000002097	0	16	22	12	12	0	33	3	0	0	8	0	6	0	13	27	8	24
ENSDARG00000002127	0	158	118	14	296	96	86	56	25	87	55	14	96	68	101	215	67	152
ENSDARG00000002128	0	30	19	6	64	22	21	36	10	23	11	0	23	9	32	80	10	49
ENSDARG00000002131	0	360	159	70	363	154	178	76	8	80	91	10	150	154	129	381	92	266
