	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
ENSDARG00000001777	9.628824411	9.618328101	9.631269448	9.485198023	9.414701883	9.469254107	9.488139659	9.590219079	9.527134649	9.53733392	9.200071595	9.389918882	9.510942481	9.258810939
ENSDARG00000001781	6.565875987	7.162555727	7.068253349	7.088746368	7.223237095	6.829652944	7.105797631	7.012987556	6.878543259	7.174903065	7.031070201	7.046220613	7.053003953	6.983357632
ENSDARG00000001785	8.633287305	9.054859466	8.758159169	8.921313628	9.135128615	8.668597079	8.91175769	8.850575006	8.930945719	8.972392505	9.051541916	8.703781916	8.905853704	9.162546185
ENSDARG00000001788	13.18342812	13.00099686	13.01240077	12.88530188	12.87255067	13.05727953	13.01240077	13.05909986	13.01848415	12.93847238	12.97404285	13.10260248	12.83319149	12.97931668
ENSDARG00000001803	7.361438448	7.670618117	7.18331966	7.982932366	7.916196722	7.374598001	7.777160638	7.751670662	7.369872568	7.781300027	7.817816637	7.403716728	7.819767297	7.792540775
ENSDARG00000001804	6.291559804	6.523851644	6.588864443	6.259424846	6.205107948	6.259424846	6.042268432	6.567386709	6.20635705	6.349236809	6.734695001	5.68248611	5.938075023	6.523851644
ENSDARG00000001807	9.193530212	9.268479244	9.084996582	9.245183954	9.512814674	9.176392205	9.20237459	9.143058981	9.358748845	9.301870394	9.2968768	9.334126647	9.295533297	9.252056511
ENSDARG00000001817	3.828977473	2.518585295	4.441027231	4.884266456	4.568850573	4.109017218	4.184217829	3.576440965	4.339242142	3.576440965	3.856723809	4.520562275	4.664518397	3.991881404
ENSDARG00000001818	9.799553444	8.79842761	9.187163018	9.069150725	8.783154154	9.585975936	9.109755596	9.162972629	9.506104999	9.050456276	9.187513228	9.58439125	9.22789885	8.925127584
ENSDARG00000001825	5.60017293	6.004747741	5.217228888	4.932303502	5.388083993	5.763948635	5.053917167	5.810907927	5.363735495	5.114664611	5.466752699	6.004747741	5.756001427	5.703854743
ENSDARG00000001829	10.63303297	10.82775583	10.6429403	10.72436243	10.85962861	10.862818	10.58704187	10.55549867	10.79000971	10.70788456	10.81818639	10.77665696	10.7264988	10.98264296
ENSDARG00000001835	9.352849519	9.588624323	9.453323943	9.685057233	9.868286538	9.509531355	9.458843103	9.412328283	9.387620651	9.580215988	9.658387481	9.484405501	9.695858789	9.651073633
ENSDARG00000001857	8.828138735	8.819376765	8.98486431	9.144998521	9.17136862	9.144465076	9.076245943	8.567519394	8.846974226	8.98486431	8.468247893	8.696601641	8.908951706	8.772466152
ENSDARG00000001859	6.915514882	7.054156744	6.641158474	6.931535294	7.17706796	6.404321762	6.523851644	6.509097242	6.901731974	6.718018805	7.420671159	6.651745006	7.041295026	7.2535748
ENSDARG00000001870	12.87803348	12.82794004	13.23286964	12.70720795	12.62796183	13.01848415	12.93847238	12.56070079	13.0332948	12.60433869	12.94631235	12.94813883	12.82619894	12.7843746
ENSDARG00000001873	10.03843927	9.651576353	9.581177555	9.367814644	9.613014578	9.745793027	9.426918693	9.806627933	9.663327864	9.53542108	9.383670706	9.741450712	9.551342038	9.365690221
ENSDARG00000001879	9.370137313	8.904195662	9.019348507	8.831674564	8.775222776	9.227985373	9.172526375	8.934779772	9.113065368	9.007240343	8.956484129	9.149456305	8.927456903	8.724997349
ENSDARG00000001880	9.07453138	9.047299748	9.136983729	9.322833584	9.097215222	9.082217315	9.113796019	9.026991457	9.177109293	9.246305661	9.422479493	9.196691555	9.173022986	9.386659573
ENSDARG00000001881	5.16161802	4.988235993	5.258560713	5.68248611	5.852947996	5.468793353	4.506372989	4.99418445	4.672449205	5.443895554	4.407028937	5.528921983	5.363735495	5.20408863
ENSDARG00000001882	9.394281493	9.55535887	9.508082031	9.69242449	9.711426499	9.432583003	9.809747252	9.679562205	9.3391189	9.58291937	9.592600114	9.633878855	9.705957887	9.610538444
ENSDARG00000001888	8.895900865	8.736073997	8.574491163	8.997876964	8.757924417	8.685919763	8.64845145	8.521746957	8.732705956	8.701809611	8.884622421	8.43797834	8.778653432	8.74713108
ENSDARG00000001889	11.71504964	11.87515685	11.75205593	11.49550641	11.77892467	11.50481476	11.50226206	12.06395055	11.72796403	11.61765607	11.6824658	11.60999924	11.62522733	11.70637588
ENSDARG00000001890	11.17234537	10.999983	11.12742491	10.91938006	10.89062	10.92841431	10.98027413	10.99334541	10.96989494	11.01214926	10.92666953	10.94754097	11.02291982	10.83812744
ENSDARG00000001891	7.308729673	7.605651262	7.796992521	8.000454508	7.685801196	7.805763944	7.828026865	7.56819933	7.440904799	7.938767101	7.862851716	7.568466992	7.76778779	7.562709627
ENSDARG00000001897	10.11589962	10.23282888	10.01151354	9.920268462	9.716914636	10.08556844	9.959050125	10.0147669	10.02035127	9.923188079	10.07666191	10.09672397	9.949152576	10.08037133
ENSDARG00000001898	7.308729673	7.131526627	7.192428591	7.058368149	7.080300593	7.294328727	7.277160318	7.537648822	7.103660566	6.777523303	7.496513621	7.118338916	7.221471986	7.383037594
ENSDARG00000001906	5.000532479	4.860585168	4.890608473	4.884266456	5.155966868	5.532925546	4.73153163	4.99418445	4.425035039	4.506372989	4.564269834	4.938758819	5.310843267	5.310843267
ENSDARG00000001909	7.462928451	7.915111872	7.505609501	7.562439155	7.818055732	7.758390937	7.250744327	7.561029689	7.623990158	7.491989545	7.739916617	7.857597549	7.512562457	7.778552839
ENSDARG00000001910	11.28472376	11.76849964	11.35777165	11.80645152	11.79892206	11.40520657	11.70789711	11.70196352	11.37328909	11.81217241	11.81993355	11.44520118	11.76937861	11.84987721
ENSDARG00000001912	7.299541374	7.42648141	7.21476319	7.658048061	7.349431333	7.473486929	7.203627689	7.48153237	7.281077839	7.611220899	7.469464197	7.494337585	7.628884654	7.241186779
ENSDARG00000001913	8.727758352	8.64036023	8.596101167	8.617996912	8.625164129	8.74966864	8.170740918	8.585261951	8.643131339	8.292558155	8.535333305	8.738759002	8.416597897	8.466803168
ENSDARG00000001929	9.53746122	9.2826054	9.340575662	9.069150725	9.272334153	9.453180917	9.252876507	9.26402852	9.287200182	9.228057892	9.339918951	9.594482479	9.273247733	9.2619227
ENSDARG00000001930	8.80666378	8.872771012	8.9760566	9.039603468	9.162546185	8.984965241	8.871382684	8.721562867	8.865312539	8.952769379	9.145318555	8.801326229	9.08433537	8.913437276
ENSDARG00000001933	7.592756304	7.499683492	7.553368619	7.411027258	7.72359412	7.805763944	7.369539073	7.537648822	7.638645186	7.660031351	7.441445743	7.83022456	7.366948937	7.61804804
ENSDARG00000001937	7.069923164	6.963026349	6.872237568	6.881864054	7.248000714	6.933149616	6.207861451	7.071430939	7.071036111	6.929801857	6.548002564	6.708419815	7.231853487	6.68354421
ENSDARG00000001939	8.436871899	8.319717215	8.401452409	8.548671861	8.506054786	8.501661602	8.491711913	8.563166231	8.3671812	8.652968851	8.361282467	8.301995997	8.60502265	8.458486393
ENSDARG00000001950	15.5787488	15.68582819	15.73039545	15.84389236	15.76445509	15.65688969	15.81964954	15.63330305	15.78716678	15.91912697	15.78716678	15.84389236	15.88421101	16.03585467
ENSDARG00000001953	10.37373568	10.91483449	10.77786923	10.85149232	11.05801387	10.48642178	11.12971063	11.1921885	10.7422125	11.08978295	11.09542188	10.73351179	10.91895486	11.14183218
ENSDARG00000001968	5.981909549	5.730810437	5.847632632	5.940999695	5.260929775	5.627034957	6.236608175	4.938758819	5.823105854	6.001306698	5.424354601	6.347533471	5.678403201	6.021828926
ENSDARG00000001969	8.98103476	8.885486731	8.917925446	8.86339767	8.917714466	9.005995598	8.993535876	8.934779772	8.882255268	9.03231752	9.035757996	8.920089633	9.034684644	9.011745072
ENSDARG00000001971	5.567031186	3.959791888	4.606112865	4.581238227	3.985230732	4.560063142	3.828977473	3.708850792	3.36735775	3.807427757	4.249767689	4.062239067	3.856723809	3.991881404
ENSDARG00000001975	9.365411443	9.129612426	9.318611802	9.306803797	8.914244098	9.26402852	9.390891134	9.123206429	9.376995517	9.439651477	8.912166731	9.518921474	9.540093261	9.056172186
ENSDARG00000001976	8.44828844	8.922119753	8.518235343	9.133249526	9.120391611	8.646489836	9.088822688	8.974458588	8.44828844	9.106640724	9.150859352	8.703781916	8.899963852	9.09892902
