Identifier,BPAF-1ug/L-B
ENSDARG00000028982,19
ENSDARG00000055839,0
ENSDARG00000060477,10
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,21
ENSDARG00000026771,10
ENSDARG00000096632,70
ENSDARG00000099758,34
ENSDARG00000093065,2
ENSDARG00000074302,0
ENSDARG00000003142,13
ENSDARG00000096668,31
ENSDARG00000042688,2
ENSDARG00000060559,3
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,58
ENSDARG00000092278,0
ENSDARG00000019715,8
ENSDARG00000017174,2
ENSDARG00000069946,27
ENSDARG00000074575,29
ENSDARG00000069951,17
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,7
ENSDARG00000039616,4
ENSDARG00000095941,0
ENSDARG00000018611,2
ENSDARG00000053269,11
ENSDARG00000039615,4
ENSDARG00000060501,4
ENSDARG00000039613,1
ENSDARG00000029751,2
ENSDARG00000027572,4
ENSDARG00000078733,9
ENSDARG00000058231,20
ENSDARG00000053248,16
ENSDARG00000012896,32
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,6
ENSDARG00000107292,0
ENSDARG00000079455,41
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,17
ENSDARG00000074815,13
ENSDARG00000033380,0
ENSDARG00000051975,40
ENSDARG00000079280,21
ENSDARG00000053586,41
ENSDARG00000002190,50
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,46
ENSDARG00000012763,18
ENSDARG00000013023,1
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,11
ENSDARG00000081597,0
ENSDARG00000032056,22
ENSDARG00000074860,36
ENSDARG00000053542,25
ENSDARG00000094556,0
ENSDARG00000053535,8
ENSDARG00000111052,0
ENSDARG00000015312,21
ENSDARG00000015506,13
ENSDARG00000013006,3
ENSDARG00000108956,0
ENSDARG00000058287,24
ENSDARG00000069910,24
ENSDARG00000109513,0
ENSDARG00000092693,1098
ENSDARG00000084532,0
ENSDARG00000085301,1
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,1
ENSDARG00000105033,0
ENSDARG00000102858,5
ENSDARG00000093282,0
