	dose_0.00003.dose_0.0003	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000045814	-0.0218593696666645	-0.0130400073333323	-0.00881296733333237	-0.0677074773333359	0.128530216333335	9.83272926952941	0.409410457429437	0.834484153281481	0.999980941698775
ENSDARG00000093572	-0.0482124063333345	-0.10987078	0.0472537156666668	0.0369102126666636	-0.0503560730000014	9.52420005958824	0.409236354922342	0.834602698253686	0.999980941698775
ENSDARG00000055470	0.0554598273333351	-0.0775385003333326	0.0627254636666663	0.0365444428333292	0.0699883386666658	7.58574829123529	0.409218321011484	0.834614976559229	0.999980941698775
ENSDARG00000101295	-0.10995767266667	-0.0270418533333352	-0.0375641170000041	0.0372071994999956	0.0612051859999969	9.625264864	0.409173442540359	0.834645531178171	0.999980941698775
ENSDARG00000069250	0.0805593183333322	0.118410818666668	0.313043163666666	0.149389332999997	0.150368746333333	8.46837644811765	0.409093186601956	0.834700169417074	0.999980941698775
ENSDARG00000040712	-0.181410108000001	-0.00512287399999778	-0.0220372473333317	0.0527420701666657	0.0498407196666673	8.02365871482353	0.409069650988738	0.834716191870365	0.999980941698775
ENSDARG00000004227	0.128099075666667	0.0456074573333343	-0.036454699666665	0.224707021666666	0.0347628753333344	7.48948542935294	0.409019662867175	0.834750221636045	0.999980941698775
ENSDARG00000010727	-0.0223033523333367	-0.0372247443333347	-0.107345622666669	-0.0992974023333382	-0.113229067333336	8.58052505347059	0.408898192697204	0.834832908264178	0.999980941698775
ENSDARG00000088083	0.0193740466666696	0.0305573133333361	0.0772217400000024	0.0319362433333303	-0.0897506599999982	11.0356409223529	0.408845585767089	0.834868716397042	0.999980941698775
ENSDARG00000038990	-0.0521776173333333	-0.197392820666666	-0.291833882666667	0.101471014666665	-0.140350106333334	5.492831799	0.408716879662647	0.834956317542642	0.999980941698775
ENSDARG00000071164	-0.0523901353333347	0.0745170076666675	0.0780292463333323	0.0543461901666635	0.228780600333333	6.41222298205882	0.408692754885929	0.834972736677028	0.999980941698775
ENSDARG00000070683	0.0880390523333325	0.0461526706666673	0.0869252143333332	-0.0578603950000023	-0.158787104333333	6.812063045	0.408633535896563	0.835013039458514	0.999980941698775
ENSDARG00000058734	-0.137239873666665	-0.123876423333334	-0.0324336206666676	-0.00540764700000196	-0.0135088576666682	8.75162827252941	0.408624204114465	0.835019390251871	0.999980941698775
ENSDARG00000035633	0.155878192000002	0.133425542333335	0.299528187000001	0.156738612833333	0.0988760206666681	6.49545307352941	0.408571134048312	0.835055506558819	0.999980941698775
ENSDARG00000086892	0.224800717	0.0939029473333335	0.0115026900000004	-0.0317312151666691	0.13034488	7.15725946176471	0.408441605942053	0.835143649869474	0.999980941698775
ENSDARG00000045749	-0.00336406699999969	-0.0367209963333313	-0.0797543839999975	-0.125718681166669	-0.165639281666664	8.78403601435294	0.408411124370232	0.835164391257935	0.999980941698775
ENSDARG00000042630	-0.230131616666666	0.00705596599999936	0.0828116463333348	-0.104130672833337	-0.00280850166666724	9.12394569664706	0.408379586608787	0.835185850860894	0.999980941698775
ENSDARG00000062222	-0.199158729666666	-0.121236576666667	-0.113207336333334	-0.160442099500002	-0.0341211043333329	7.11660504811765	0.408296438109225	0.835242426228385	0.999980941698775
ENSDARG00000038583	-0.163817716666671	-0.191194796666666	-0.111047503333333	-0.0471511233333359	-0.0613786766666653	10.7442961758824	0.408252949809935	0.835272014913576	0.999980941698775
ENSDARG00000055647	-0.013210970333331	0.0271042316666659	0.000248012666666853	-0.109050499833335	-0.129110369666666	9.57733142682353	0.408237689401244	0.835282397612318	0.999980941698775
ENSDARG00000019815	-0.015567030999998	-0.0659906603333322	0.0767960083333339	0.0986465561666652	-0.0252282343333334	9.43129605217647	0.40818520615599	0.835318104681796	0.999980941698775
ENSDARG00000004529	-0.361247330333335	0.0632261776666665	-0.0147599399999994	-0.135559250500002	-0.193511898	4.826278569	0.407898382289707	0.835513222012416	0.999980941698775
ENSDARG00000073881	0.00796190633333183	0.0307987023333354	0.119652295000002	0.0522993774999971	-0.0181784516666639	8.09552950017647	0.407896784962585	0.835514308511448	0.999980941698775
ENSDARG00000077986	0.253909499333331	0.222851470333334	-0.0203951709999997	-0.0549262023333359	0.0277941866666662	7.61474735458824	0.407890653372899	0.835518479196093	0.999980941698775
ENSDARG00000009524	0.0379545140000008	0.080270870333333	0.149304430000001	0.144815893666664	0.121462149666666	8.522037368	0.407861679426674	0.835538186917934	0.999980941698775
ENSDARG00000031511	-0.114580186666666	-0.102007439999998	-0.0290190066666653	-0.0908562050000015	-0.0173670966666641	10.2586769658824	0.40775424319678	0.835611260126063	0.999980941698775
ENSDARG00000034080	-0.118870194333333	-0.0439595263333334	0.0745851359999996	0.0592903301666645	-0.107168268666667	8.83530573411765	0.407711577696041	0.835640277676131	0.999980941698775
ENSDARG00000093313	-0.259419196666666	-0.164027803333331	0.0438242333333339	-0.131540326666672	-0.09631978	11.5587069229412	0.407661269647455	0.835674491907529	0.999980941698775
