plate_id,dose,Dose_mg_L,Group,endpoint,endpoint_value_norm
4TPP,Dose3,0.01,C,ld_pearson,3.930848338597386
4TPP,Dose3,0.01,C,ld_pearson,36.868325198044204
4TPP,Dose3,0.01,C,ld_pearson,8.139524321903153
4TPP,Dose3,0.01,A,ld_pearson,2.3467692801566926
4TPP,Dose3,0.01,A,ld_pearson,5.904338795129931
4TPP,Dose3,0.01,A,ld_pearson,36.84294102324142
4TPP,Dose3,0.01,B,ld_pearson,-27.210837992413587
4TPP,Dose3,0.01,B,ld_pearson,-1.4938121667101
4TPP,Dose3,0.01,B,ld_pearson,-58.982868170067995
4TPP,Dose4,0.001,C,ld_pearson,8.52193298705022
4TPP,Dose4,0.001,C,ld_pearson,31.47128784253985
4TPP,Dose4,0.001,C,ld_pearson,30.96928235309298
4TPP,Dose4,0.001,A,ld_pearson,5.981621757765794
4TPP,Dose4,0.001,A,ld_pearson,37.35692432763503
4TPP,Dose4,0.001,A,ld_pearson,17.92016839032948
4TPP,Dose4,0.001,B,ld_pearson,-2.9177205976368867
4TPP,Dose4,0.001,B,ld_pearson,-10.354325583425378
4TPP,Dose4,0.001,B,ld_pearson,10.954142767223459
4TPP,Dose5,1e-4,C,ld_pearson,-22.384777998471748
4TPP,Dose5,1e-4,C,ld_pearson,16.896737294487238
4TPP,Dose5,1e-4,C,ld_pearson,-0.3672882716524555
4TPP,Dose5,1e-4,A,ld_pearson,43.76932580435201
4TPP,Dose5,1e-4,A,ld_pearson,0.9780536004901421
4TPP,Dose5,1e-4,A,ld_pearson,8.843934784189969
4TPP,Dose5,1e-4,B,ld_pearson,36.61715978362605
4TPP,Dose5,1e-4,B,ld_pearson,-22.619775222650304
4TPP,Dose5,1e-4,B,ld_pearson,34.824330960691185
4TPP,Control,0,C,ld_pearson,28.910620937732347
4TPP,Control,0,C,ld_pearson,0
4TPP,Control,0,C,ld_pearson,-7.019774840848541
4TPP,Control,0,A,ld_pearson,-89.6494449206868
4TPP,Control,0,A,ld_pearson,20.53031509064948
4TPP,Control,0,A,ld_pearson,30.085017731707495
4TPP,Control,0,B,ld_pearson,-57.32211473057659
4TPP,Control,0,B,ld_pearson,10.97329353367131
4TPP,Control,0,B,ld_pearson,-37.17642073028917
4TPP,Dose1,1,C,ld_pearson,-39.507228609875654
4TPP,Dose1,1,C,ld_pearson,36.95509867327445
4TPP,Dose1,1,C,ld_pearson,-70.54498748408697
Aniline,Dose1,10,A,ld_pearson,6.880424687507912
Aniline,Dose1,10,A,ld_pearson,6.0999949141753405
Aniline,Dose1,10,A,ld_pearson,-3.094028992468864
Aniline,Dose1,10,B,ld_pearson,10.555943884266924
Aniline,Dose1,10,B,ld_pearson,20.264044652803676
Aniline,Dose1,10,B,ld_pearson,3.095539828671164
