	dose_0.0003.dose_0.00003	dose_0.003.dose_0.00003	dose_0.03.dose_0.00003	dose_0.3.dose_0.00003	dose_3.dose_0.00003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000055395	0.298765457680331	0.506203514305789	0.657602687011182	0.553942534811282	0.855022833795675	8.03971190367139	4.04827256771692	0.0112349464565854	0.0456724997256843
ENSDARG00000035438	-0.738767898470099	-0.359870567184533	-0.639440726432699	-0.209922531174419	-0.191908040484964	11.1708114999615	4.02064305003842	0.0115716720262567	0.0460404823172343
ENSDARG00000070078	-0.173087156221335	-0.0357820142529999	-0.0781475971023671	-0.140915428948004	-0.73712401392754	10.0777252121054	3.98614597825851	0.0120076106419206	0.0467796497924822
ENSDARG00000098145	0.746743611685934	0.45389024649415	0.751061493218594	0.596510725149312	0.312659781149391	4.63071882954186	3.95767283725289	0.0123809081711223	0.047249588326528
ENSDARG00000105477	0.651446103589764	0.125121128855053	0.821488636920817	0.501504823079185	0.699853439673428	5.35367648188341	3.90557413818865	0.0130970810783571	0.0472889224234777
ENSDARG00000003041	-0.615125847798658	-0.40753155615804	-0.199591230847268	0.116627216275628	-0.628542389675397	6.27061417931781	3.88784155777538	0.0133510274976769	0.0472889224234777
ENSDARG00000074719	0.786642743724563	0.08641407370121	0.699214533446478	0.28743983220028	0.644586261757844	5.82342401252718	3.8399558204374	0.0140639577002366	0.0472889224234777
ENSDARG00000045038	0.668319969574967	0.181552659285358	0.784876930063364	0.152721440507253	0.790095680483887	4.92629180587165	3.82736848468373	0.0142581615387016	0.0472889224234777
ENSDARG00000111246	0.185418680203481	0.741184463896001	0.617775274263791	0.40661587767368	0.831192655805737	4.60496663966047	3.81855059543472	0.014395945050307	0.0472889224234777
ENSDARG00000099134	0.448830671931734	0.68201084588613	0.595664323156182	0.632181735230029	1.21977176126037	4.87349317341115	3.81456759903331	0.0144586553538681	0.0472889224234777
ENSDARG00000090629	-0.786425294506434	-0.59969278360607	-0.2930218885774	-0.794377631589643	-0.432636233524677	3.84762995847578	3.81436795731668	0.0144618064226424	0.0472889224234777
ENSDARG00000105355	1.43053444128455	0.912701033814517	1.05641034416372	0.435206290728848	0.88087089088462	4.39171082095834	3.79187452865214	0.0148216621691011	0.0472889224234777
ENSDARG00000093043	-0.0680127711161793	-0.156800866018022	0.206621891333894	-0.102965068632906	-0.652707507815643	7.76201743455197	3.79182476490234	0.0148224690165054	0.0472889224234777
ENSDARG00000036912	0.066420272513569	-0.123353526952984	0.191810221552056	-0.0136591105027977	0.613025469096748	6.21269065104651	3.78582886187816	0.0149200343475143	0.0472889224234777
ENSDARG00000079497	0.0759339959958893	0.144490930705157	0.609022458426836	0.431755345483046	0.641756050809633	8.69189175855961	3.75533067795401	0.0154272292466722	0.0476413500684093
ENSDARG00000095301	-0.99726798232829	-0.449743164115129	-0.432693443489106	-0.0692595566457657	-0.717292477061773	4.21477212576029	3.72916761164472	0.0158772804406179	0.0476413500684093
ENSDARG00000098609	0.229660917863463	0.480403575874053	-0.20338297621387	0.330014336205382	0.661070700052754	3.79022896281367	3.72048793146823	0.0160297224424088	0.0476413500684093
ENSDARG00000100892	0.605344526922234	0.105226807218829	0.722083079832325	0.464985749960588	0.826447865517768	5.54017596001628	3.71050795710617	0.0162069700222446	0.0476413500684093
ENSDARG00000094560	0.353098024980118	0.853338433910668	0.691439675462898	0.965456823019216	0.310667477404721	3.82090900552878	3.69611919841338	0.0164662781152282	0.0476413500684093
ENSDARG00000038069	-0.0940773042571008	-0.212429920356532	0.0603596061947398	-0.0983490455128244	-0.71506131151291	5.81631003055019	3.68879659660079	0.016599970636254	0.0476413500684093
ENSDARG00000107534	0.211966094135554	0.185513634483454	0.350825425598638	-0.0258735479169925	0.788551517386608	5.71822387384255	3.67717418979436	0.0168145941417915	0.0476413500684093
ENSDARG00000103518	-0.533467758410761	-0.309278982738327	-0.920510255125905	-0.917425597134226	-0.986592877848755	5.0932995465576	3.65981702301539	0.0171407497374262	0.0478406000134134
ENSDARG00000077504	-0.0425053203329178	-0.377169732898044	-0.736254209264478	-0.0630375479369736	0.640661912509626	5.81815548163392	3.6152819258386	0.0180094573226757	0.04907440007364
ENSDARG00000056587	-0.429370065547628	-0.147403181967061	0.144507297025297	0.0547312616178619	1.0219431447465	5.88164311272365	3.59314472727	0.0184589546538756	0.04907440007364
ENSDARG00000038792	0.361688652588277	0.14957269696936	0.470147609076174	0.234145161755803	0.948212180177744	7.11494834245614	3.5875090428956	0.0185753223017398	0.04907440007364
ENSDARG00000091560	-0.131775995188265	-0.0544908884155966	0.0696932429279027	-0.229610919763552	-0.671373118781831	11.3398082665068	3.58418141634418	0.0186444059871133	0.04907440007364
ENSDARG00000044755	0.788886452532626	0.528963619806793	1.12807327858263	1.13668991803949	0.866842387579259	4.27773930329652	3.56663053396163	0.0190134171329959	0.04907440007364
ENSDARG00000069196	0.29190602623035	0.321941026917488	0.215469147278768	0.307513653569698	0.743560078768188	6.31353560378738	3.55452801180326	0.0192724883751036	0.04907440007364
ENSDARG00000097931	0.582074778443832	0.262243454205831	0.488002079156622	0.420169253379646	0.604016983700335	5.45837614724696	3.54772406400476	0.0194198160719217	0.04907440007364
ENSDARG00000105389	-0.813606010926225	-0.464442482917659	-0.507027379915153	-0.835921784141378	-0.753316961390069	4.6958585594312	3.49948995409168	0.0204999346629005	0.0507438907147149
ENSDARG00000079293	0.208947507847994	0.0464187242000671	-0.0122016693250595	0.47490524976485	0.717678333985851	4.98083877356088	3.48396342513336	0.0208613485417215	0.0507438907147149
ENSDARG00000019207	-0.457886332453898	-0.525063360107497	-0.10615677655841	-0.305161193348698	-1.12378809921073	4.61590506022555	3.48067149187353	0.0209388595522982	0.0507438907147149
ENSDARG00000062122	-0.9881619506222	-0.5143033336907	-0.729052648875127	-0.6507117463225	-0.923791867883807	5.38847236789589	3.47110441435709	0.0211659009398276	0.0507438907147149
ENSDARG00000031875	-0.0910178826431292	-0.159678749770847	-0.0726598022163198	-0.14282255078981	-0.696208426710067	6.18010489881738	3.44404040664518	0.0218227466178676	0.051086443522897
ENSDARG00000089123	0.682959661716433	0.284396828347587	0.56553271462135	0.34244903596773	0.628808514610186	6.82757298902122	3.43603792083395	0.022021174267178	0.051086443522897
ENSDARG00000046091	0.00768755995858772	0.100475202984614	0.271971273239892	-0.144565129409016	-0.640282725651779	6.39664510313465	3.4317479078798	0.0221283525420035	0.051086443522897
ENSDARG00000060877	-0.291721307132871	-0.424326596970991	-0.388213196705674	-0.471619155817359	-0.792251105866544	6.03522712736558	3.3727335508466	0.0236615024536778	0.053434193919977
ENSDARG00000074064	-0.682671595856455	-0.571001699418284	-0.493628837425574	-0.149608852421938	-0.203972363679511	6.52061482969423	3.37068375284589	0.0237167812585994	0.053434193919977
ENSDARG00000100315	-0.161909562522895	-0.114744718719697	0.00109921932930312	-0.260989688065967	-0.665302069685131	10.706397669161	3.3329311001565	0.0247602940868481	0.0547981141182286
ENSDARG00000087388	-0.43153265010696	0.0732821595857533	0.0965142120937736	0.124006465983308	-0.590969226071673	3.73610523846686	3.31860295536815	0.0251692535171683	0.0547981141182286
ENSDARG00000045371	0.547994148583624	0.35763611972983	0.438355249183564	0.211385407621704	0.845470694766347	4.09915463185181	3.30749472173072	0.0254913376927467	0.0547981141182286
