E5,Counts
ENSDARG00000005559,11
ENSDARG00000005560,53
ENSDARG00000005561,12
ENSDARG00000005565,10
ENSDARG00000005574,15
ENSDARG00000005576,33
ENSDARG00000005578,63
ENSDARG00000005586,22
ENSDARG00000005590,22
ENSDARG00000005595,16
ENSDARG00000005606,40
ENSDARG00000005612,11
ENSDARG00000005616,10
ENSDARG00000005619,1
ENSDARG00000005625,40
ENSDARG00000005626,1
ENSDARG00000005627,0
ENSDARG00000005629,54
ENSDARG00000005640,0
ENSDARG00000005643,13
ENSDARG00000005645,80
ENSDARG00000005648,14
ENSDARG00000005651,10
ENSDARG00000005652,73
ENSDARG00000005670,34
ENSDARG00000005673,10
ENSDARG00000005675,4
ENSDARG00000005679,32
ENSDARG00000005690,20
ENSDARG00000005699,28
ENSDARG00000005704,56
ENSDARG00000005713,3
ENSDARG00000005716,24
ENSDARG00000005738,11
ENSDARG00000005739,10
ENSDARG00000005749,10
ENSDARG00000005754,207
ENSDARG00000005762,22
ENSDARG00000005772,5
ENSDARG00000005774,198
ENSDARG00000005775,147
ENSDARG00000005776,18
ENSDARG00000005780,0
ENSDARG00000005783,80
ENSDARG00000005786,0
ENSDARG00000005789,3
ENSDARG00000005791,470
ENSDARG00000005799,6
ENSDARG00000005800,15
ENSDARG00000005814,0
ENSDARG00000005821,1
ENSDARG00000005823,45
ENSDARG00000005827,34
ENSDARG00000005828,0
ENSDARG00000005834,85
ENSDARG00000005840,92
ENSDARG00000005841,40
ENSDARG00000005842,5
ENSDARG00000005853,3
ENSDARG00000005861,145
ENSDARG00000005865,0
ENSDARG00000005867,69
ENSDARG00000005870,12
ENSDARG00000005883,12
ENSDARG00000005891,39
ENSDARG00000005894,5
ENSDARG00000005897,5
ENSDARG00000005908,19
ENSDARG00000005913,1
ENSDARG00000005915,57
ENSDARG00000005916,17
ENSDARG00000005924,93
ENSDARG00000005926,28
ENSDARG00000005927,68
ENSDARG00000005941,93
ENSDARG00000005942,2
ENSDARG00000005943,17
ENSDARG00000005945,63
ENSDARG00000005948,12
ENSDARG00000005972,41
ENSDARG00000005980,36
ENSDARG00000005989,26
ENSDARG00000005993,3
ENSDARG00000006003,35
ENSDARG00000006008,56
ENSDARG00000006010,17
ENSDARG00000006011,10
ENSDARG00000006019,50
ENSDARG00000006025,32
ENSDARG00000006029,0
ENSDARG00000006031,260
ENSDARG00000006038,20
ENSDARG00000006040,16
ENSDARG00000006044,4
ENSDARG00000006052,3
ENSDARG00000006060,145
ENSDARG00000006062,101
ENSDARG00000006065,2
ENSDARG00000006074,2
ENSDARG00000006079,0
ENSDARG00000006092,255
ENSDARG00000006093,2
ENSDARG00000006094,80
ENSDARG00000006109,0
ENSDARG00000006110,11
ENSDARG00000006112,69
ENSDARG00000006120,33
ENSDARG00000006124,145
ENSDARG00000006125,69
ENSDARG00000006128,102
ENSDARG00000006137,8
ENSDARG00000006151,1
ENSDARG00000006169,68
ENSDARG00000006174,0
ENSDARG00000006181,29
ENSDARG00000006192,85
ENSDARG00000006196,26
ENSDARG00000006200,403
ENSDARG00000006202,135
ENSDARG00000006206,6
ENSDARG00000006207,1
ENSDARG00000006215,61
ENSDARG00000006219,85
ENSDARG00000006220,128
