TXID,GENEID,GENENAME,BIOTYPE,Malathion_0.001_B
ENSDART00000153601,ENSDARG00000009612,chia.3,protein_coding,325
ENSDART00000154337,ENSDARG00000009612,chia.3,protein_coding,325
ENSDART00000156017,ENSDARG00000009612,chia.3,protein_coding,325
ENSDART00000067817,ENSDARG00000009612,chia.3,protein_coding,325
ENSDART00000191783,ENSDARG00000009612,chia.3,protein_coding,325
ENSDART00000170531,ENSDARG00000009612,chia.3,protein_coding,325
ENSDART00000066290,ENSDARG00000009624,CABZ01027646.1,protein_coding,38
ENSDART00000128943,ENSDARG00000009626,nrbp2b,protein_coding,112
ENSDART00000019907,ENSDARG00000009629,unc119.1,protein_coding,383
ENSDART00000130686,ENSDARG00000009629,unc119.1,protein_coding,383
ENSDART00000128721,ENSDARG00000009637,rcvrn3,protein_coding,5605
ENSDART00000151808,ENSDARG00000009637,rcvrn3,protein_coding,5605
ENSDART00000151235,ENSDARG00000009637,rcvrn3,protein_coding,5605
ENSDART00000007231,ENSDARG00000009640,psmb1,protein_coding,658
ENSDART00000150913,ENSDARG00000009653,lhfpl2a,protein_coding,69
ENSDART00000151613,ENSDARG00000009653,lhfpl2a,protein_coding,69
ENSDART00000021139,ENSDARG00000009657,fgfr1op2,protein_coding,292
ENSDART00000144356,ENSDARG00000009657,fgfr1op2,protein_coding,292
ENSDART00000105460,ENSDARG00000009673,si:ch211-197g15.6,protein_coding,28
ENSDART00000151569,ENSDARG00000009677,dlg1,protein_coding,735
ENSDART00000132170,ENSDARG00000009677,dlg1,protein_coding,735
ENSDART00000137198,ENSDARG00000009677,dlg1,protein_coding,735
ENSDART00000028406,ENSDARG00000009677,dlg1,protein_coding,735
ENSDART00000169687,ENSDARG00000009677,dlg1,protein_coding,735
ENSDART00000166782,ENSDARG00000009677,dlg1,protein_coding,735
ENSDART00000005140,ENSDARG00000009681,med27,protein_coding,96
ENSDART00000138111,ENSDARG00000009681,med27,protein_coding,96
ENSDART00000160183,ENSDARG00000009685,ppa2,protein_coding,152
ENSDART00000023904,ENSDARG00000009685,ppa2,protein_coding,152
ENSDART00000171614,ENSDARG00000009685,ppa2,protein_coding,152
ENSDART00000167489,ENSDARG00000009685,ppa2,protein_coding,152
ENSDART00000169642,ENSDARG00000009685,ppa2,protein_coding,152
