	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
406289	9.9120361499	9.5474544339	10.0157624419	9.9980832469	9.6958252709	9.2883770849	9.5850288779	9.1465165979	9.2481447649	9.3687239899	9.1191722149	9.3524804089	9.3359020359	9.2732421619	9.0065218499	9.3520574599	9.1645295649	8.9721343559
324781	6.6131554309	6.2730459179	6.6816933509	6.8789174829	6.8269688289	6.7403213789	6.7809661359	6.4860517189	6.2527341339	6.7072439049	6.4843607429	6.7461977509	6.5841697939	6.5247530419	6.6559519419	6.6787617549	6.3764838449	6.7025959639
565440	7.7551595249	7.6376623299	8.0284192169	8.0246622749	7.8899817289	7.7586219609	7.8148848179	7.4122051819	7.7400353579	7.8904435029	7.4129947289	7.7122816699	7.8198281559	7.5146216629	7.4957314659	7.9280206379	7.7610765599	7.5187098949
664769	7.3210706769	7.3647605429	7.4978422319	7.6425457249	7.4761936849	7.2880255479	7.1935572409	7.1016909409	7.2005225199	7.2011327669	7.4404001379	7.0445820819	7.2248422399	7.0417451489	7.3030422039	7.2825439179	7.1380572399	6.9388076429
449615	7.0848454939	6.9117535519	7.2641343029	6.6460891179	6.5133809099	6.1328946279	6.1794103859	6.1810586489	5.9285237419	6.3897571159	6.5360863619	6.4119729069	6.1818608629	6.0880221979	6.4079206319	6.1666085459	6.1742335329	6.2727831379
678614	8.7243770009	8.7253447859	8.8267671029	9.0668492399	8.1234753659	7.3952265529	7.7616914199	6.8597690539	6.7954535369	7.6595711579	7.3920935309	7.6248426469	7.8036198459	6.6681167559	7.4026014429	7.2639231399	6.9100423119	6.6576533069
492467	6.9389756339	7.2922829329	7.3595690979	7.2015953969	6.7923944909	6.9288503719	6.7809661359	6.7923719029	7.0735082879	6.9106860109	6.7700869399	6.4733343449	6.6671368259	6.8964148149	6.3026886759	6.5514715509	6.9506360749	6.4091840959
550396	6.7852440109	6.7942017689	6.6496834169	6.8392849459	7.1609448499	6.7010608529	6.9234051359	6.9924837959	6.8407340909	7.0520296239	7.0623848889	6.9470136609	6.9800025859	7.0084471289	7.1428925709	7.2000586609	7.1439039659	7.0191741559
571372	4.8756120309	4.8180153009	5.8852418889	5.2765773209	4.9477622769	4.4182344209	4.9623659919	5.2405715219	5.2209284849	5.4117608439	4.4406730229	4.3508257739	4.5469368229	4.6970810379	4.8328852919	4.6195404999	4.8161991269	4.6022889009
100537398	6.9079444439	7.8418916389	7.7041203039	7.5225599579	8.1679835569	6.4400069059	7.5268254459	6.9449974259	6.6921801229	8.0146235929	6.8437758009	6.4327180589	8.4154397749	6.9949097099	6.6271818029	8.3752837049	6.9237008719	6.9237020919
562465	8.3760331959	8.2769803829	8.4375152509	8.4401234289	7.9617491279	7.9847001829	7.8661864739	7.9058926619	8.1042127519	7.8350095859	7.8304904989	7.8840485299	7.8157931179	7.8664597459	7.7437078139	7.8003148569	7.9990071349	7.7244790449
562601	6.5642372929	6.4276643609	6.6388536419	6.6345582239	6.3916251369	6.3816079069	6.4543457959	6.5048876119	6.2527341339	6.3044183389	6.0586508729	5.8737288129	6.3021128559	6.3655550169	5.9622716819	5.9965771669	6.2735764679	6.1352998299
407679	7.0568276169	7.1491410209	7.0272413719	7.2477369549	7.2591620929	7.2062629919	7.2968828639	6.9100953999	7.1293175379	7.0594903249	6.8126545699	7.1857017109	7.1043056489	6.9465026479	6.8838387139	7.1803347049	6.9237008719	6.8852314239
563089	7.1459644129	7.1896091579	7.3329400629	7.3985162249	6.7747915579	7.0146149359	6.8021959959	6.7846852139	6.8918255399	7.0369914699	6.8126545699	6.9470136609	6.7624605809	7.0016942979	6.7389722509	6.4342328639	6.8753192319	6.5337955299
100001665	6.6227431189	7.2354305339	6.8969584879	7.0793402749	6.4811807119	6.3616041719	6.5156079499	6.3778145239	6.6504043179	6.2137124339	6.1936164959	6.3369216029	6.2311708279	6.5527414439	6.2022358129	6.4452934489	6.5182672619	6.2964311189
406416	6.4717740949	7.2224865389	7.0272413719	7.5717580709	6.8354844819	6.5677261789	6.2532100299	6.4378571399	7.0220201039	6.5035277559	6.0762283899	6.8267757499	6.7791352629	6.6160104879	6.3966001429	6.5204304869	6.9237008719	6.4199894789
571148	7.4068092949	7.7858014429	7.4978422319	7.7155050549	7.6837932949	7.5926329379	7.6913691899	7.8031109029	7.3952047169	7.8565831239	7.7341241589	7.6604566809	7.9247151169	7.4663896259	7.6467040879	7.8961309669	7.6949136029	7.5534732839
