	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
562762	2.644866082	2.886871153	2.844545749	3.088085461	2.993751823	2.40555403	3.195208255	2.235911052	2.062363569	3.092943984	2.432903038	1.965385468	3.032347356	2.220052125	2.766896042	2.726972284	2.400427286	2.641872142
562763	1.607140769	1.742074982	1.509348317	1.888952151	2.221036028	2.264440211	1.814562262	1.900589536	2.170903281	2.188830035	1.604377215	2.30099162	1.651560027	1.782512752	2.13780399	1.941300748	1.802216037	1.804843617
562764	3.307918798	3.43669573	3.347819138	3.657406956	3.189275666	3.225563134	2.992289373	3.387322783	3.385419557	3.162695756	3.203917731	3.085560593	3.025495055	3.04295866	3.019897384	3.052572755	3.413555473	3.001380591
562769	4.600431859	5.038397988	5.230152168	5.414220134	5.23941043	4.6647213	5.041208773	4.839335909	4.794238548	5.26198633	4.610199693	4.745415792	5.12320519	4.755142026	4.775887738	5.098386206	4.729993604	4.593317709
562771	4.211370571	4.504180074	4.322377838	4.391869808	4.36456983	3.833467745	4.009222315	3.823177321	4.032146687	4.012588825	3.905634925	4.039477026	4.025350453	3.917594176	3.732165612	3.998479247	3.894553868	3.80868412
562772	2.26628304	2.582803567	2.378321703	2.783946885	2.844170777	2.37645567	2.507761615	2.412974741	2.64237768	2.747370045	2.523850702	2.516889986	2.491288258	2.773630612	2.817837451	2.59652199	2.466121036	2.721298367
562774	3.514389721	3.812771188	3.730273018	3.534732535	3.429361834	3.198108011	3.063147968	3.160923731	3.128562732	3.064070791	3.10638868	3.283755954	3.125011449	3.269829789	2.945492818	3.059664399	2.898818473	3.056871179
562777	2.743183836	3.679469707	3.472959833	3.950354799	3.094823553	2.834341399	2.705297634	2.72863985	3.572934716	2.682361506	2.67890127	3.26113295	2.925980038	3.207742928	2.659277149	2.709043286	3.053366186	3.022440469
562779	4.730333218	4.91532584	5.090646677	5.007233664	4.754877302	4.795050725	4.844037392	4.832023592	4.991311532	4.863733884	4.745929287	4.641958507	4.75606231	4.678141485	4.624347785	4.790565727	4.80263223	4.602670451
562780	4.393054041	4.532805145	4.59991068	4.580885086	4.278176022	4.235739426	4.183669185	4.226004084	4.369858875	4.383635976	4.213406704	3.950370161	4.238863003	4.090203056	3.855133752	4.175384119	4.246668762	3.824758124
562782	1.768655938	2.074962648	2.016542164	2.42464537	1.685785288	1.654079466	1.608893676	1.706321552	2.238976555	1.941419919	1.740630575	1.233912382	1.218862925	1.652953872	0.905427828	1.744120798	1.802216037	1.458467797
562784	2.588273032	2.345257454	2.656810952	2.710279057	2.456298313	1.717334577	2.384055183	2.008315509	2.345746742	2.266921916	2.119589654	2.161368168	2.052994875	1.857950477	1.808981897	1.941300748	2.149351134	2.199409133
562786	4.681571978	4.593355698	4.768091655	4.438239674	4.440605084	4.410982017	4.346399677	4.264537844	4.302525761	4.406818209	4.447143449	4.427602475	4.347249626	4.302214727	4.216401036	4.347506863	4.265241543	4.168092533
562791	3.073770595	3.124258622	3.166999562	3.037345509	2.499074157	2.684116498	3.063147968	2.913201844	2.731720497	2.663236601	2.712433767	2.82521456	2.651185224	2.718026518	2.705097802	2.788025212	2.638843555	2.458293083
562793	1.529111105	1.332464794	1.437457725	1.445762616	0.398181176	0.736467955	0.598935653	0.610217212	0.309792379	0.559679536	0.46907754	0.673027135	0.068095769	0.201984901	0.739194595	0.384816122	0.636880342	-0.34801387
562796	2.743183836	3.151363112	3.210783698	3.274885015	2.509572843	3.230992013	3.016297683	3.392302958	3.537330939	3.092943984	2.67890127	2.573073214	3.092596106	3.178613458	2.990594405	2.718035636	3.181818653	2.906392239
562797	1.336392326	1.531269562	1.82323019	1.191089314	1.570180516	2.108012229	1.6401317	1.814164355	1.771974883	1.925455978	1.783331395	2.161368168	1.771082022	1.797919167	2.097139742	1.878521533	1.914051439	2.070530938
562798	3.127715891	3.322097229	3.217953587	3.079751762	3.355628188	3.550485206	3.476208406	3.774418782	3.620498043	3.725073097	3.841411719	3.511677388	3.486096166	3.642622773	3.687210039	3.567281707	3.579641445	3.548085944
562799	3.483690122	3.532585876	3.424198247	3.339137141	2.758737473	2.699862743	2.590049	2.498598349	2.483078863	2.614284855	2.49844538	2.609348845	2.686365619	2.253961322	1.611392287	2.59652199	2.351601446	2.110417431
562801	4.554395391	4.634758266	4.748419898	4.638760793	4.846756573	4.615759469	4.737943792	4.599881191	4.692706066	4.617718636	4.508879089	4.771662391	4.530230752	4.646578008	4.53075206	4.682163865	4.604332993	4.583903939
562805	4.64735487	4.767689721	4.768091655	4.797099116	4.481177166	4.727521508	4.536861591	4.852043955	4.722734804	4.418271115	4.574173762	4.506661878	4.603378826	4.673972707	4.43881981	4.640204232	4.651487237	4.590970019
562808	4.003465261	3.8912394	4.250776581	4.174302956	4.196060081	3.903135493	4.101888355	4.194988583	4.025737308	4.03135595	3.971743478	3.985296354	3.972888389	3.903420234	3.94571538	4.105147615	4.109499798	3.947283082
562810	5.145929478	4.736706372	5.439385996	5.119222249	5.48395186	4.499113654	5.002670248	4.636020184	4.592185078	5.039030474	4.613161637	4.939565291	4.969246976	4.489399175	4.533294516	4.857201645	4.729993604	4.274328789
