Chemical,Dose,Dose(mg/L),Animal,Group,control_mean,control_sd,Norm_Fluorescence,z_score,Outlier
34-DCA,Dose_6,0,47,A,17.156666666666666,7.830871215899289,21.433,0.5460865356399868,FALSE
34-DCA,Dose_6,0,48,A,17.156666666666666,7.830871215899289,25.68,1.088427213057484,FALSE
34-DCA,Dose_1,1,4,B,17.156666666666666,7.830871215899289,21.189,0.5149278058801872,FALSE
34-DCA,Dose_1,1,5,B,17.156666666666666,7.830871215899289,10.791,-0.8128938008509491,FALSE
34-DCA,Dose_1,1,6,B,17.156666666666666,7.830871215899289,27.919,1.3743468685172853,FALSE
34-DCA,Dose_2,0.1,13,B,17.156666666666666,7.830871215899289,15.197,-0.2502488692047301,FALSE
34-DCA,Dose_2,0.1,14,B,17.156666666666666,7.830871215899289,14.712,-0.3121832295879385,FALSE
34-DCA,Dose_2,0.1,15,B,17.156666666666666,7.830871215899289,14.734,-0.30937383592107126,FALSE
34-DCA,Dose_3,0.01,22,B,17.156666666666666,7.830871215899289,18.954,0.22951894926890717,FALSE
34-DCA,Dose_3,0.01,23,B,17.156666666666666,7.830871215899289,23.771,0.8446484626006905,FALSE
34-DCA,Dose_3,0.01,24,B,17.156666666666666,7.830871215899289,27.902,1.37217597341107,FALSE
34-DCA,Dose_4,0.001,31,B,17.156666666666666,7.830871215899289,9.159,-1.0212997310476422,FALSE
34-DCA,Dose_4,0.001,32,B,17.156666666666666,7.830871215899289,31.015,1.7697051772727765,FALSE
34-DCA,Dose_4,0.001,33,B,17.156666666666666,7.830871215899289,16.445,-0.09087962846608236,FALSE
34-DCA,Dose_5,1e-4,40,B,17.156666666666666,7.830871215899289,11.655,-0.702561249570347,FALSE
34-DCA,Dose_5,1e-4,41,B,17.156666666666666,7.830871215899289,5.544,-1.482934190398773,FALSE
34-DCA,Dose_5,1e-4,42,B,17.156666666666666,7.830871215899289,14.198,-0.37782088162292626,FALSE
34-DCA,Dose_6,0,49,B,17.156666666666666,7.830871215899289,14.911,-0.2867709868740035,FALSE
34-DCA,Dose_6,0,50,B,17.156666666666666,7.830871215899289,29.431,1.5674288332583393,FALSE
