Identifier,EE2-1ng/L-C
ENSDARG00000078182,0
ENSDARG00000095065,1
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,3
ENSDARG00000031435,116
ENSDARG00000077874,1
ENSDARG00000069710,0
ENSDARG00000079552,5
ENSDARG00000087333,8
ENSDARG00000009315,13
ENSDARG00000030368,10
ENSDARG00000117231,4
ENSDARG00000117450,2
ENSDARG00000117485,6
ENSDARG00000117707,3
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,1
ENSDARG00000075521,2
ENSDARG00000095566,0
ENSDARG00000007941,6
ENSDARG00000095651,5
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,19
ENSDARG00000060236,0
ENSDARG00000036774,16
ENSDARG00000109727,0
ENSDARG00000052866,12
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,1
ENSDARG00000008706,74
ENSDARG00000078108,1
ENSDARG00000075639,2
ENSDARG00000078016,0
ENSDARG00000092551,2
ENSDARG00000075194,5
ENSDARG00000098598,0
ENSDARG00000060252,8
ENSDARG00000078908,2
ENSDARG00000036965,3
ENSDARG00000036967,20
ENSDARG00000060264,5
ENSDARG00000024101,1
ENSDARG00000107253,0
ENSDARG00000024785,11
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,11
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,96
ENSDARG00000052703,3
ENSDARG00000052700,2
ENSDARG00000052696,7
ENSDARG00000075112,3
ENSDARG00000029898,5
ENSDARG00000092730,1
ENSDARG00000078622,0
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,0
ENSDARG00000095949,1
ENSDARG00000076277,1
ENSDARG00000075916,3
ENSDARG00000078558,0
ENSDARG00000052019,0
ENSDARG00000101106,5
ENSDARG00000103871,3
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,2
ENSDARG00000052016,2
ENSDARG00000059682,0
ENSDARG00000078233,30
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,9
ENSDARG00000069114,0
ENSDARG00000014803,15
ENSDARG00000016793,244
ENSDARG00000052012,2
ENSDARG00000083573,0
ENSDARG00000016263,13
ENSDARG00000095781,0
ENSDARG00000007786,12
ENSDARG00000009472,6
ENSDARG00000111774,0
ENSDARG00000037748,13
ENSDARG00000002840,26
ENSDARG00000079632,6
ENSDARG00000016994,4
ENSDARG00000029718,2
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,1
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,23
ENSDARG00000051981,1
ENSDARG00000059653,9
ENSDARG00000016835,3
ENSDARG00000094133,33
ENSDARG00000093997,6
ENSDARG00000093289,0
ENSDARG00000078659,13
ENSDARG00000093954,0
ENSDARG00000031836,10
ENSDARG00000117392,0
ENSDARG00000098263,3
ENSDARG00000105005,0
ENSDARG00000030972,6
ENSDARG00000051970,0
ENSDARG00000019778,661
ENSDARG00000051965,1
ENSDARG00000087426,16
ENSDARG00000069559,10
ENSDARG00000093347,2
ENSDARG00000069566,6
ENSDARG00000095108,0
ENSDARG00000006588,53
ENSDARG00000006225,8
ENSDARG00000052766,3
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,8
ENSDARG00000105481,0
ENSDARG00000092240,1
ENSDARG00000030376,8
ENSDARG00000069619,47
ENSDARG00000030656,21
ENSDARG00000114294,0
ENSDARG00000032340,3
ENSDARG00000026068,18
ENSDARG00000002285,6
ENSDARG00000069595,3
ENSDARG00000060187,0
ENSDARG00000060184,5
ENSDARG00000113491,0
ENSDARG00000008279,2
ENSDARG00000010773,11
