Identifier,EE2-1ng/L-B
ENSDARG00000008305,4
ENSDARG00000117649,0
ENSDARG00000007477,0
ENSDARG00000053106,1
ENSDARG00000012016,2
ENSDARG00000011066,0
ENSDARG00000004621,62
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,1
ENSDARG00000089976,5
ENSDARG00000069640,0
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,21
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,3
ENSDARG00000085746,0
ENSDARG00000007387,8
ENSDARG00000024828,0
ENSDARG00000070162,11
ENSDARG00000104907,1
ENSDARG00000080987,0
ENSDARG00000079183,1
ENSDARG00000104437,11
ENSDARG00000103145,0
ENSDARG00000069701,0
ENSDARG00000020857,0
ENSDARG00000093120,0
ENSDARG00000074662,0
ENSDARG00000076585,4
ENSDARG00000079631,5
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,1
ENSDARG00000031435,64
ENSDARG00000077874,1
ENSDARG00000069710,0
ENSDARG00000079552,0
ENSDARG00000087333,3
ENSDARG00000009315,4
ENSDARG00000030368,2
ENSDARG00000117231,2
ENSDARG00000117450,1
ENSDARG00000117485,3
ENSDARG00000117707,3
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,0
ENSDARG00000075521,0
ENSDARG00000095566,0
ENSDARG00000007941,6
ENSDARG00000095651,1
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,9
ENSDARG00000060236,0
ENSDARG00000036774,2
ENSDARG00000109727,0
ENSDARG00000052866,5
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,0
ENSDARG00000008706,18
ENSDARG00000078108,0
ENSDARG00000075639,0
ENSDARG00000078016,0
ENSDARG00000092551,1
ENSDARG00000075194,4
ENSDARG00000098598,0
ENSDARG00000060252,2
ENSDARG00000078908,0
ENSDARG00000036965,4
ENSDARG00000036967,5
ENSDARG00000060264,2
ENSDARG00000024101,2
ENSDARG00000107253,0
ENSDARG00000024785,2
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,1
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,48
ENSDARG00000052703,2
ENSDARG00000052700,0
ENSDARG00000052696,3
ENSDARG00000075112,0
ENSDARG00000029898,1
ENSDARG00000092730,0
ENSDARG00000078622,2
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,1
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,0
ENSDARG00000095949,0
ENSDARG00000076277,1
ENSDARG00000075916,0
ENSDARG00000078558,0
ENSDARG00000052019,3
ENSDARG00000101106,3
ENSDARG00000103871,2
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,0
ENSDARG00000052016,0
ENSDARG00000059682,0
ENSDARG00000078233,6
