sample,fastq_1,fastq_2,strandedness
Fenitrothion_0-0001_B,./fq_files/NS.2049.001.UDP0166_i7---UDP0166_i5.Fenitrothion_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0166_i7---UDP0166_i5.Fenitrothion_0-0001_B_R2.fastq.gz,auto
Fenitrothion_0-0001_C,./fq_files/NS.2049.001.UDP0167_i7---UDP0167_i5.Fenitrothion_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0167_i7---UDP0167_i5.Fenitrothion_0-0001_C_R2.fastq.gz,auto
Fenitrothion_0-001_A,./fq_files/NS.2049.001.UDP0168_i7---UDP0168_i5.Fenitrothion_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0168_i7---UDP0168_i5.Fenitrothion_0-001_A_R2.fastq.gz,auto
Fenitrothion_0-001_B,./fq_files/NS.2049.001.UDP0169_i7---UDP0169_i5.Fenitrothion_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0169_i7---UDP0169_i5.Fenitrothion_0-001_B_R2.fastq.gz,auto
Fenitrothion_0-001_C,./fq_files/NS.2049.001.UDP0170_i7---UDP0170_i5.Fenitrothion_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0170_i7---UDP0170_i5.Fenitrothion_0-001_C_R2.fastq.gz,auto
Fenitrothion_0-01_A,./fq_files/NS.2049.001.UDP0171_i7---UDP0171_i5.Fenitrothion_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0171_i7---UDP0171_i5.Fenitrothion_0-01_A_R2.fastq.gz,auto
Fenitrothion_0-01_B,./fq_files/NS.2049.001.UDP0172_i7---UDP0172_i5.Fenitrothion_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0172_i7---UDP0172_i5.Fenitrothion_0-01_B_R2.fastq.gz,auto
Fenitrothion_0-1_A,./fq_files/NS.2049.001.UDP0174_i7---UDP0174_i5.Fenitrothion_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0174_i7---UDP0174_i5.Fenitrothion_0-1_A_R2.fastq.gz,auto
Fenitrothion_0-1_B,./fq_files/NS.2049.001.UDP0175_i7---UDP0175_i5.Fenitrothion_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0175_i7---UDP0175_i5.Fenitrothion_0-1_B_R2.fastq.gz,auto
Fenitrothion_0-1_C,./fq_files/NS.2049.001.UDP0176_i7---UDP0176_i5.Fenitrothion_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0176_i7---UDP0176_i5.Fenitrothion_0-1_C_R2.fastq.gz,auto
Fenitrothion_1_A,./fq_files/NS.2049.001.UDP0177_i7---UDP0177_i5.Fenitrothion_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0177_i7---UDP0177_i5.Fenitrothion_1_A_R2.fastq.gz,auto
Fenitrothion_1_B,./fq_files/NS.2049.001.UDP0178_i7---UDP0178_i5.Fenitrothion_1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0178_i7---UDP0178_i5.Fenitrothion_1_B_R2.fastq.gz,auto
Fenitrothion_1_C,./fq_files/NS.2049.001.UDP0179_i7---UDP0179_i5.Fenitrothion_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0179_i7---UDP0179_i5.Fenitrothion_1_C_R2.fastq.gz,auto
Glyphosate_0_A,./fq_files/NS.2049.001.UDP0180_i7---UDP0180_i5.Glyphosate_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0180_i7---UDP0180_i5.Glyphosate_0_A_R2.fastq.gz,auto
Glyphosate_0_B,./fq_files/NS.2049.001.UDP0181_i7---UDP0181_i5.Glyphosate_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0181_i7---UDP0181_i5.Glyphosate_0_B_R2.fastq.gz,auto
Glyphosate_0_C,./fq_files/NS.2049.001.UDP0182_i7---UDP0182_i5.Glyphosate_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0182_i7---UDP0182_i5.Glyphosate_0_C_R2.fastq.gz,auto
Glyphosate_0-0001_A,./fq_files/NS.2049.001.UDP0183_i7---UDP0183_i5.Glyphosate_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0183_i7---UDP0183_i5.Glyphosate_0-0001_A_R2.fastq.gz,auto
Glyphosate_0-0001_B,./fq_files/NS.2049.001.UDP0184_i7---UDP0184_i5.Glyphosate_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0184_i7---UDP0184_i5.Glyphosate_0-0001_B_R2.fastq.gz,auto
Glyphosate_0-0001_C,./fq_files/NS.2049.001.UDP0185_i7---UDP0185_i5.Glyphosate_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0185_i7---UDP0185_i5.Glyphosate_0-0001_C_R2.fastq.gz,auto
Glyphosate_0-001_A,./fq_files/NS.2049.001.UDP0186_i7---UDP0186_i5.Glyphosate_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0186_i7---UDP0186_i5.Glyphosate_0-001_A_R2.fastq.gz,auto
Fadrozole_1_A,./fq_files/NS.2049.001.UDP0194_i7---UDP0194_i5.Fadrozole_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0194_i7---UDP0194_i5.Fadrozole_1_A_R2.fastq.gz,auto
Fenitrothion_0-01_C,./fq_files/NS.2049.001.UDP0195_i7---UDP0195_i5.Fenitrothion_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0195_i7---UDP0195_i5.Fenitrothion_0-01_C_R2.fastq.gz,auto
Glyphosate_0-001_B,./fq_files/NS.2049.001.UDP0196_i7---UDP0196_i5.Glyphosate_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0196_i7---UDP0196_i5.Glyphosate_0-001_B_R2.fastq.gz,auto
Glyphosate_0-001_C,./fq_files/NS.2049.001.UDP0197_i7---UDP0197_i5.Glyphosate_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0197_i7---UDP0197_i5.Glyphosate_0-001_C_R2.fastq.gz,auto
Glyphosate_0-01_A,./fq_files/NS.2049.001.UDP0198_i7---UDP0198_i5.Glyphosate_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0198_i7---UDP0198_i5.Glyphosate_0-01_A_R2.fastq.gz,auto
Glyphosate_0-01_B,./fq_files/NS.2049.001.UDP0199_i7---UDP0199_i5.Glyphosate_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0199_i7---UDP0199_i5.Glyphosate_0-01_B_R2.fastq.gz,auto
Glyphosate_0-1_A,./fq_files/NS.2049.001.UDP0200_i7---UDP0200_i5.Glyphosate_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0200_i7---UDP0200_i5.Glyphosate_0-1_A_R2.fastq.gz,auto
Glyphosate_0-1_B,./fq_files/NS.2049.001.UDP0201_i7---UDP0201_i5.Glyphosate_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0201_i7---UDP0201_i5.Glyphosate_0-1_B_R2.fastq.gz,auto
Glyphosate_0-1_C,./fq_files/NS.2049.001.UDP0202_i7---UDP0202_i5.Glyphosate_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0202_i7---UDP0202_i5.Glyphosate_0-1_C_R2.fastq.gz,auto
Glyphosate_1_A,./fq_files/NS.2049.001.UDP0203_i7---UDP0203_i5.Glyphosate_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0203_i7---UDP0203_i5.Glyphosate_1_A_R2.fastq.gz,auto
Glyphosate_1_C,./fq_files/NS.2049.001.UDP0205_i7---UDP0205_i5.Glyphosate_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0205_i7---UDP0205_i5.Glyphosate_1_C_R2.fastq.gz,auto
Malathion_0_A,./fq_files/NS.2049.001.UDP0206_i7---UDP0206_i5.Malathion_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0206_i7---UDP0206_i5.Malathion_0_A_R2.fastq.gz,auto
