B4,Counts
ENSDARG00000003944,0
ENSDARG00000003952,884
ENSDARG00000003961,84
ENSDARG00000003963,144
ENSDARG00000003965,12
ENSDARG00000003968,0
ENSDARG00000003970,70
ENSDARG00000003971,41
ENSDARG00000003973,40
ENSDARG00000003974,136
ENSDARG00000003977,37
ENSDARG00000003984,90
ENSDARG00000003989,124
ENSDARG00000003991,86
ENSDARG00000003994,56
ENSDARG00000003998,71
ENSDARG00000004015,13
ENSDARG00000004017,45
ENSDARG00000004018,25
ENSDARG00000004023,388
ENSDARG00000004034,171
ENSDARG00000004037,57
ENSDARG00000004046,25
ENSDARG00000004049,115
ENSDARG00000004051,8
ENSDARG00000004055,146
ENSDARG00000004059,10
ENSDARG00000004060,1358
ENSDARG00000004074,294
ENSDARG00000004078,153
ENSDARG00000004082,51
ENSDARG00000004094,469
ENSDARG00000004105,150
ENSDARG00000004109,0
ENSDARG00000004111,4
ENSDARG00000004114,30
ENSDARG00000004115,89
ENSDARG00000004130,13
ENSDARG00000004131,9
ENSDARG00000004132,502
ENSDARG00000004150,37
ENSDARG00000004151,40
ENSDARG00000004154,3
ENSDARG00000004158,53
ENSDARG00000004160,170
ENSDARG00000004161,302
ENSDARG00000004167,12
ENSDARG00000004169,161
ENSDARG00000004171,44
ENSDARG00000004173,653
ENSDARG00000004174,1001
ENSDARG00000004176,14
ENSDARG00000004177,101
ENSDARG00000004184,235
ENSDARG00000004187,87
ENSDARG00000004189,186
ENSDARG00000004196,312
ENSDARG00000004199,16
ENSDARG00000004204,6
ENSDARG00000004211,137
ENSDARG00000004218,51
ENSDARG00000004219,10
ENSDARG00000004227,134
ENSDARG00000004232,43
ENSDARG00000004243,14
ENSDARG00000004246,422
ENSDARG00000004251,37
ENSDARG00000004256,0
ENSDARG00000004260,20
ENSDARG00000004261,355
ENSDARG00000004262,95
ENSDARG00000004270,84
ENSDARG00000004274,17
ENSDARG00000004280,130
ENSDARG00000004282,86
ENSDARG00000004291,170
ENSDARG00000004296,264
ENSDARG00000004297,530
ENSDARG00000004301,19
ENSDARG00000004302,17
ENSDARG00000004305,70
ENSDARG00000004306,20
ENSDARG00000004307,16
ENSDARG00000004308,35
ENSDARG00000004311,29
ENSDARG00000004318,17
ENSDARG00000004322,14
ENSDARG00000004325,48
ENSDARG00000004328,8
ENSDARG00000004336,255
ENSDARG00000004343,70
ENSDARG00000004358,156
ENSDARG00000004363,32
ENSDARG00000004372,102
ENSDARG00000004377,317
ENSDARG00000004378,57
ENSDARG00000004386,237
ENSDARG00000004392,16
ENSDARG00000004396,19
ENSDARG00000004402,41
ENSDARG00000004405,8
ENSDARG00000004406,24
ENSDARG00000004415,633
ENSDARG00000004427,1
ENSDARG00000004433,7
ENSDARG00000004436,10
ENSDARG00000004445,50
ENSDARG00000004447,1
ENSDARG00000004451,61
ENSDARG00000004452,917
ENSDARG00000004455,0
ENSDARG00000004459,1
ENSDARG00000004460,16
ENSDARG00000004470,304
ENSDARG00000004472,48
ENSDARG00000004473,20
ENSDARG00000004492,36
ENSDARG00000004497,22
ENSDARG00000004498,0
ENSDARG00000004502,48
ENSDARG00000004517,47
ENSDARG00000004525,59
ENSDARG00000004527,34
ENSDARG00000004529,13
ENSDARG00000004537,902
ENSDARG00000004539,60
ENSDARG00000004561,15
ENSDARG00000004574,48
ENSDARG00000004576,22
ENSDARG00000004580,119
ENSDARG00000004581,165
ENSDARG00000004586,10
ENSDARG00000004587,52
ENSDARG00000004588,990
ENSDARG00000004592,23
ENSDARG00000004594,105
ENSDARG00000004597,50
ENSDARG00000004598,0
ENSDARG00000004616,51
ENSDARG00000004618,9
ENSDARG00000004621,478
ENSDARG00000004627,0
ENSDARG00000004632,25
ENSDARG00000004633,4
ENSDARG00000004634,857
ENSDARG00000004635,262
ENSDARG00000004636,140
ENSDARG00000004643,60
ENSDARG00000004647,14
ENSDARG00000004648,49
ENSDARG00000004658,259
ENSDARG00000004672,271
ENSDARG00000004680,65
ENSDARG00000004687,119
ENSDARG00000004692,158
ENSDARG00000004695,38
ENSDARG00000004696,75
ENSDARG00000004697,66
ENSDARG00000004702,426
ENSDARG00000004706,216
ENSDARG00000004712,87
ENSDARG00000004713,12
ENSDARG00000004714,351
ENSDARG00000004721,12
ENSDARG00000004724,118
ENSDARG00000004726,238
ENSDARG00000004735,639
ENSDARG00000004745,24
ENSDARG00000004748,229
ENSDARG00000004753,160
ENSDARG00000004754,177
ENSDARG00000004757,4576
ENSDARG00000004763,3
ENSDARG00000004771,37
ENSDARG00000004774,144
ENSDARG00000004782,1024
ENSDARG00000004785,322
ENSDARG00000004789,106
ENSDARG00000004794,11
ENSDARG00000004796,291
ENSDARG00000004806,44
ENSDARG00000004823,0
ENSDARG00000004830,648
ENSDARG00000004836,289
ENSDARG00000004840,136
ENSDARG00000004843,287
ENSDARG00000004851,19
ENSDARG00000004861,133
ENSDARG00000004864,0
ENSDARG00000004866,140
ENSDARG00000004869,52
ENSDARG00000004870,50
ENSDARG00000004871,12
ENSDARG00000004874,4
ENSDARG00000004875,30
ENSDARG00000004877,329
ENSDARG00000004880,41
ENSDARG00000004889,29
ENSDARG00000004891,127
ENSDARG00000004898,0
ENSDARG00000004904,80
ENSDARG00000004906,275
ENSDARG00000004925,41
ENSDARG00000004930,507
ENSDARG00000004931,55
ENSDARG00000004932,51
ENSDARG00000004937,26
ENSDARG00000004939,90
ENSDARG00000004948,454
ENSDARG00000004952,1
ENSDARG00000004953,46
ENSDARG00000004954,18
ENSDARG00000004956,69
ENSDARG00000004964,184
ENSDARG00000004979,60
ENSDARG00000004988,140
ENSDARG00000005002,14
ENSDARG00000005004,6
ENSDARG00000005010,9
ENSDARG00000005015,478
ENSDARG00000005023,139
ENSDARG00000005026,407
ENSDARG00000005034,49
ENSDARG00000005049,23
ENSDARG00000005050,0
ENSDARG00000005057,30
ENSDARG00000005058,159
ENSDARG00000005078,57
ENSDARG00000005085,134
ENSDARG00000005092,25
ENSDARG00000005095,17
ENSDARG00000005098,32
ENSDARG00000005104,113
ENSDARG00000005108,175
ENSDARG00000005112,1019
ENSDARG00000005115,54
ENSDARG00000005122,422
ENSDARG00000005126,92
ENSDARG00000005128,21
ENSDARG00000005134,148
ENSDARG00000005139,165
ENSDARG00000005141,121
ENSDARG00000005150,60
ENSDARG00000005154,31
ENSDARG00000005159,146
ENSDARG00000005162,1104
ENSDARG00000005163,115
ENSDARG00000005172,39
ENSDARG00000005176,22
ENSDARG00000005179,96
ENSDARG00000005185,725
ENSDARG00000005186,333
ENSDARG00000005191,1977
ENSDARG00000005210,122
ENSDARG00000005216,56
ENSDARG00000005218,2
ENSDARG00000005220,71
ENSDARG00000005221,127
ENSDARG00000005230,259
ENSDARG00000005232,160
ENSDARG00000005236,794
ENSDARG00000005246,11
ENSDARG00000005251,68
ENSDARG00000005254,114
ENSDARG00000005271,15
ENSDARG00000005274,7
ENSDARG00000005284,25
ENSDARG00000005314,1
ENSDARG00000005315,315
ENSDARG00000005318,124
ENSDARG00000005320,90
ENSDARG00000005327,8
ENSDARG00000005332,1
ENSDARG00000005335,9
ENSDARG00000005343,67
ENSDARG00000005350,209
ENSDARG00000005355,166
ENSDARG00000005356,114
ENSDARG00000005359,371
ENSDARG00000005364,16
ENSDARG00000005368,364
ENSDARG00000005371,3
ENSDARG00000005372,69
ENSDARG00000005374,80
ENSDARG00000005382,98
ENSDARG00000005392,0
ENSDARG00000005394,182
ENSDARG00000005397,294
ENSDARG00000005414,9
ENSDARG00000005416,127
ENSDARG00000005423,85
ENSDARG00000005425,71
ENSDARG00000005448,15
ENSDARG00000005451,761
ENSDARG00000005453,257
ENSDARG00000005454,58
ENSDARG00000005456,243
ENSDARG00000005458,216
ENSDARG00000005462,134
ENSDARG00000005463,178
ENSDARG00000005464,5
ENSDARG00000005468,303
ENSDARG00000005476,352
ENSDARG00000005479,738
ENSDARG00000005481,78
ENSDARG00000005482,587
ENSDARG00000005485,134
ENSDARG00000005500,14
ENSDARG00000005510,2
ENSDARG00000005513,3957
ENSDARG00000005518,3
ENSDARG00000005522,0
ENSDARG00000005525,52
ENSDARG00000005526,155
ENSDARG00000005536,427
ENSDARG00000005540,336
ENSDARG00000005541,43
ENSDARG00000005544,24
ENSDARG00000005547,43
ENSDARG00000005549,93
ENSDARG00000005551,54
ENSDARG00000005559,18
ENSDARG00000005560,326
ENSDARG00000005561,41
ENSDARG00000005565,146
ENSDARG00000005574,70
ENSDARG00000005576,514
ENSDARG00000005578,294
ENSDARG00000005586,62
ENSDARG00000005590,41
ENSDARG00000005595,14
ENSDARG00000005606,94
ENSDARG00000005612,42
ENSDARG00000005616,18
ENSDARG00000005619,23
ENSDARG00000005625,218
ENSDARG00000005626,4
ENSDARG00000005627,2
ENSDARG00000005629,152
ENSDARG00000005640,18
ENSDARG00000005643,59
ENSDARG00000005645,341
ENSDARG00000005648,60
ENSDARG00000005651,66
ENSDARG00000005652,388
ENSDARG00000005670,104
ENSDARG00000005673,4
ENSDARG00000005675,123
ENSDARG00000005679,68
ENSDARG00000005690,78
ENSDARG00000005699,139
ENSDARG00000005704,187
ENSDARG00000005713,185
ENSDARG00000005716,93
ENSDARG00000005738,14
ENSDARG00000005739,58
ENSDARG00000005749,23
ENSDARG00000005754,897
ENSDARG00000005762,213
ENSDARG00000005772,39
