A6,Counts
ENSDARG00000004151,2
ENSDARG00000004154,0
ENSDARG00000004158,18
ENSDARG00000004160,21
ENSDARG00000004161,31
ENSDARG00000004167,2
ENSDARG00000004169,29
ENSDARG00000004171,13
ENSDARG00000004173,91
ENSDARG00000004174,148
ENSDARG00000004176,5
ENSDARG00000004177,20
ENSDARG00000004184,36
ENSDARG00000004187,14
ENSDARG00000004189,11
ENSDARG00000004196,20
ENSDARG00000004199,7
ENSDARG00000004204,0
ENSDARG00000004211,11
ENSDARG00000004218,2
ENSDARG00000004219,1
ENSDARG00000004227,43
ENSDARG00000004232,4
ENSDARG00000004243,8
ENSDARG00000004246,72
ENSDARG00000004251,8
ENSDARG00000004256,0
ENSDARG00000004260,8
ENSDARG00000004261,62
ENSDARG00000004262,16
ENSDARG00000004270,31
ENSDARG00000004274,1
ENSDARG00000004280,8
ENSDARG00000004282,15
ENSDARG00000004291,43
ENSDARG00000004296,35
ENSDARG00000004297,115
ENSDARG00000004301,12
ENSDARG00000004302,4
ENSDARG00000004305,4
ENSDARG00000004306,2
ENSDARG00000004307,4
ENSDARG00000004308,0
ENSDARG00000004311,3
ENSDARG00000004318,0
ENSDARG00000004322,6
ENSDARG00000004325,13
ENSDARG00000004328,0
ENSDARG00000004336,35
ENSDARG00000004343,22
ENSDARG00000004358,6
ENSDARG00000004363,13
ENSDARG00000004372,13
ENSDARG00000004377,62
ENSDARG00000004378,11
ENSDARG00000004386,60
ENSDARG00000004392,0
ENSDARG00000004396,0
ENSDARG00000004402,11
ENSDARG00000004405,5
ENSDARG00000004406,6
ENSDARG00000004415,30
ENSDARG00000004427,1
ENSDARG00000004433,0
ENSDARG00000004436,3
ENSDARG00000004445,7
ENSDARG00000004447,0
ENSDARG00000004451,7
ENSDARG00000004452,140
ENSDARG00000004455,0
ENSDARG00000004459,0
ENSDARG00000004460,6
ENSDARG00000004470,49
ENSDARG00000004472,2
ENSDARG00000004473,0
ENSDARG00000004492,4
ENSDARG00000004497,22
ENSDARG00000004498,1
ENSDARG00000004502,10
ENSDARG00000004517,9
ENSDARG00000004525,15
ENSDARG00000004527,0
ENSDARG00000004529,0
ENSDARG00000004537,229
ENSDARG00000004539,4
ENSDARG00000004561,3
ENSDARG00000004574,1
ENSDARG00000004576,4
ENSDARG00000004580,26
ENSDARG00000004581,18
ENSDARG00000004586,4
ENSDARG00000004587,3
ENSDARG00000004588,157
ENSDARG00000004592,6
ENSDARG00000004594,14
ENSDARG00000004597,12
ENSDARG00000004598,0
ENSDARG00000004616,7
ENSDARG00000004618,3
ENSDARG00000004621,178
ENSDARG00000004627,1
ENSDARG00000004632,9
ENSDARG00000004633,0
ENSDARG00000004634,185
ENSDARG00000004635,35
ENSDARG00000004636,13
ENSDARG00000004643,11
ENSDARG00000004647,1
ENSDARG00000004648,0
ENSDARG00000004658,54
ENSDARG00000004672,73
ENSDARG00000004680,8
ENSDARG00000004687,20
ENSDARG00000004692,33
ENSDARG00000004695,11
ENSDARG00000004696,6
