	C10	C11	C12	C7	C8	C9	C4	C5	C6	C1	C2	C3	B10	B11	B12	B7	B8	B9
30117	5.07306324602542	7.52291300224039	4.57113426199396	6.40270623059825	6.84574342177051	2.56039742608396	1.89858600617482	7.39058493658025	4.91610069849259	3.63757854885122	4.45052213153148	1.87059988463324	4.66132693370239	4.81552481397289	5.71920485186862	4.38238405939478	8.59693995223297	5.84033875495772
431720	3.48810074530426	7.52291300224039	4.57113426199396	7.23807552882545	0.823375608742052	2.56039742608396	7.10803937180377	2.86702298052324	5.44661541519137	7.40007923512456	6.77245022641884	6.62548738679671	4.66132693370239	2.00816989191529	6.82882934304312	7.08933708449455	6.93067734940996	5.72930744256897
751594	3.48810074530426	7.52291300224039	4.57113426199396	3.05220898351412	5.95265862568702	2.56039742608396	6.54244219594954	6.03694798196555	5.99410321049387	3.63757854885122	5.55005780508239	1.87059988463324	8.90925444714598	6.86615088704286	1.47127733842504	4.93877740791917	6.93067734940996	4.99234184840277
777634	1.90313824458311	7.52291300224039	4.57113426199396	4.43072060676785	4.52381532688314	6.95271484886272	7.10803937180377	2.86702298052324	1.74617569705028	5.68820462192119	1.64316720947387	5.77749048024176	4.66132693370239	2.00816989191529	1.47127733842504	3.75435283678174	7.16200289551642	7.62461006390228
368424	8.5613497273349	7.52291300224039	6.15609676271512	8.32273792589484	9.15876596343598	9.57162468150721	7.62650646073801	10.006574332922	8.37553231712989	9.19216740052885	7.47605722363862	8.27999082077094	9.18488888975941	9.92105922814525	9.82442416392312	8.98491918956389	8.28975844271479	8.02796575813349
402922	8.05288536408779	7.52291300224039	9.32602176415743	7.98766873131941	9.47801163727002	7.76985079171291	7.96467519663259	9.20687298340787	7.81226488750805	8.90168598935024	9.14301309655708	8.37839452483193	8.12075855233969	7.56275874359292	8.59021841114855	9.48721403261521	8.85005888920168	7.01618859035713
65237	6.65802574674658	7.52291300224039	4.57113426199396	8.2459807269108	7.42328845092918	2.56039742608396	7.78122905553666	6.03694798196555	5.99410321049387	6.38481247847125	6.59736351986075	7.36245298096291	4.66132693370239	5.91506048752381	7.02586619010268	5.90963106225965	6.79943281613171	5.33337876623783
368473	11.4364679768889	9.10787550296155	11.4166243129383	11.9752392817779	11.0748580193623	11.9462598267254	9.46082843039589	11.0715941247724	10.0726051841726	10.7265560307036	11.3349107286452	10.750183134246	10.8511514925824	11.1955219651158	10.4514169160642	10.3075457570095	12.5657250815674	10.409631799413
405758	5.36256986322041	7.52291300224039	4.57113426199396	4.43072060676785	0.823375608742052	2.56039742608396	3.48354850689597	2.86702298052324	3.33113819777144	4.91768646804395	1.64316720947387	5.95806272588358	4.66132693370239	2.00816989191529	1.47127733842504	5.33931533750289	6.79943281613171	3.89280617485185
368564	1.90313824458311	7.52291300224039	4.57113426199396	6.51164060215141	5.57826311090552	2.56039742608396	1.89858600617482	2.86702298052324	1.74617569705028	2.41518612751477	1.64316720947387	1.87059988463324	4.66132693370239	5.91506048752381	4.64120233986735	4.93877740791917	2.40711539335295	1.08545125279425
393205	5.81002884019163	7.52291300224039	6.89306235688133	7.55045985104194	6.65626562290679	7.98666218078606	6.1465135196184	7.62191048268671	6.70037200743716	8.24807614167951	6.16672916553089	7.80133722219613	4.66132693370239	6.25609740535887	9.77961636856445	5.96734656011594	3.99207789407411	7.15154044325202
402875	6.29545566736187	7.52291300224039	4.57113426199396	8.66691882762932	8.84018389642861	8.3932874402487	8.23843600905944	2.86702298052324	9.02230010232452	8.7550361303994	7.66553502250233	8.02034700413792	9.05364435648115	8.48390332288168	9.12232902960397	8.40866338419363	2.40711539335295	8.38007200168588
