Identifier,DES-CC-B
ENSDARG00000001470,5
ENSDARG00000086877,5
ENSDARG00000069471,13
ENSDARG00000036588,18
ENSDARG00000036587,3
ENSDARG00000043271,0
ENSDARG00000036687,8
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,6
ENSDARG00000076773,1
ENSDARG00000007734,2
ENSDARG00000060148,11
ENSDARG00000069438,13
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,1
ENSDARG00000112034,1
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,4
ENSDARG00000036008,2
ENSDARG00000008886,1
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,4
ENSDARG00000096003,103
ENSDARG00000052480,16
ENSDARG00000022891,6
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,1
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,51
ENSDARG00000082615,0
ENSDARG00000012574,12
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,7
ENSDARG00000030765,41
ENSDARG00000026548,0
ENSDARG00000052520,1
ENSDARG00000036494,1
ENSDARG00000018721,2
ENSDARG00000114696,0
ENSDARG00000013667,3
ENSDARG00000060036,25
ENSDARG00000076420,3
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,8
ENSDARG00000075785,2
ENSDARG00000075887,1
ENSDARG00000075564,11
ENSDARG00000117385,2
ENSDARG00000116732,1
ENSDARG00000100792,19
ENSDARG00000075043,3
ENSDARG00000115918,0
ENSDARG00000030703,1
ENSDARG00000017772,169
ENSDARG00000005578,1
ENSDARG00000024933,1
ENSDARG00000004427,29
