	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
561162	125	183	236	165	178	202	491	45	34	129	391	357	43	477	346	155	160	80
561164	2	0	14	3	0	5	24	7	0	11	43	1	45	15	5	0	3	0
561172	3	1	7	4	9	8	15	0	0	0	17	2	17	13	11	8	8	0
561182	83	30	87	87	38	67	129	25	55	41	157	48	16	47	71	57	33	7
561183	3	0	0	0	0	39	36	11	0	0	11	3	0	28	0	3	12	0
561184	0	0	1	2	1	2	96	10	0	26	5	6	0	20	33	28	1	0
561188	7	1	10	17	22	5	22	0	0	8	24	25	5	8	29	31	0	0
561190	153	303	122	100	92	290	551	152	55	69	501	378	46	309	158	185	239	115
561193	24	12	55	83	24	23	95	2	2	6	144	98	7	129	31	32	64	3
561194	76	60	282	98	159	333	341	29	18	156	397	239	32	233	137	199	79	41
561195	8	0	0	2	8	22	7	0	0	20	10	0	3	7	1	8	4	0
561197	69	140	293	147	191	132	377	103	15	62	357	282	28	194	257	132	139	31
561201	96	78	178	164	81	111	392	67	37	98	317	288	43	271	199	292	80	20
561202	18	18	10	33	13	2	30	0	5	21	12	13	4	30	13	1	0	0
561206	16	18	6	19	21	25	30	2	10	16	35	18	0	21	18	12	21	17
561208	13	2	5	14	10	0	63	8	8	0	10	15	0	5	24	20	3	0
561209	77	56	116	72	66	73	175	23	6	45	97	59	10	95	104	63	37	3
561210	51	23	63	33	76	93	188	67	4	38	156	122	8	196	55	75	81	13
561211	3	28	1	0	3	4	15	10	0	0	7	13	0	17	23	4	4	0
561215	0	0	5	0	14	8	30	0	0	0	6	7	14	26	39	22	2	0
561219	24	31	31	21	57	57	61	16	0	43	128	27	5	82	48	144	24	9
561225	26	29	22	30	51	5	84	10	3	7	71	34	2	87	43	31	17	5
561226	348	430	512	141	214	264	781	52	27	93	535	276	77	557	308	188	64	9
561231	17	59	75	35	69	51	99	44	11	18	155	81	14	106	72	47	27	20
561237	0	0	1	0	0	10	5	2	0	2	23	7	2	10	2	2	8	5
561238	2	8	7	8	6	23	5	0	0	3	17	11	2	6	9	2	0	3
561239	38	3	18	2	3	1	17	0	0	21	5	1	9	33	37	23	0	4
561241	17	147	71	7	4	62	243	4	0	17	47	43	17	35	18	40	112	4
561242	56	71	221	16	180	81	379	37	29	38	284	302	19	79	237	104	42	17
561247	7	7	25	17	12	26	45	0	1	7	52	42	3	22	30	45	0	0
561260	9	0	1	2	4	10	12	1	0	0	12	0	0	17	1	0	0	0
561262	164	143	543	276	239	247	645	109	17	101	481	457	60	400	294	196	104	12
561268	0	0	0	8	0	5	6	1	0	0	0	2	0	2	0	0	0	21
561272	0	0	9	3	0	5	7	0	0	0	7	4	0	5	6	5	0	0
561276	83	88	133	100	217	132	188	36	21	86	197	149	17	143	123	162	96	15
561277	71	83	172	95	114	137	248	56	11	43	171	215	31	172	156	84	70	7
561279	44	24	33	21	16	51	73	35	2	7	24	110	17	55	99	58	23	38
561280	14	20	67	39	74	72	121	33	0	17	99	87	35	147	95	145	35	5
561285	473	391	886	363	506	405	1255	215	166	348	1427	800	117	849	804	588	258	53
561287	49	3	42	21	47	28	86	8	27	16	63	15	2	34	55	40	38	16
561288	16	4	20	17	9	22	43	0	3	0	23	39	5	16	35	34	15	0
561295	103	24	59	37	56	39	161	243	0	22	78	52	2	164	95	45	56	13
561298	13	21	43	35	55	4	42	10	9	40	96	38	11	20	17	26	25	7
561303	5	0	2	0	0	1	7	0	0	0	11	0	0	5	20	0	11	0
561317	24	61	101	66	43	57	51	22	0	30	52	2	15	50	34	98	32	17
561321	57	66	63	19	10	43	30	21	2	34	49	45	8	85	62	40	16	0
561325	1	8	0	6	1	5	13	0	0	0	27	4	0	14	9	24	14	0
