#NAME	B7	B8	B9	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0
ENSDARG00000002656	194	34	229	215	255	214	67	76	170	38	62	177	236	55	211
ENSDARG00000002659	300	145	189	44	116	131	85	81	82	9	144	183	153	4	68
ENSDARG00000002663	18	14	21	26	2	56	25	13	0	12	26	11	54	7	15
ENSDARG00000002666	15	0	10	0	28	10	0	4	17	0	18	6	10	2	17
ENSDARG00000002670	164	28	125	25	62	85	104	104	33	45	46	66	136	38	34
ENSDARG00000002682	124	38	80	72	57	177	69	81	34	40	109	108	199	44	87
ENSDARG00000002685	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000002690	173	18	36	0	23	30	24	16	23	15	7	23	36	6	22
ENSDARG00000002696	1709	275	788	252	561	916	617	401	415	163	329	1111	1107	266	550
ENSDARG00000002701	15	1	1	0	0	2	1	0	0	0	18	18	2	0	0
ENSDARG00000002707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002710	1218	437	702	438	1010	1180	776	527	769	238	547	1245	859	344	429
ENSDARG00000002720	62	23	59	17	30	19	4	42	18	9	12	33	29	7	11
ENSDARG00000002722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002728	30	0	2	0	9	5	0	0	0	0	0	0	4	0	0
ENSDARG00000002731	371	56	128	101	122	308	104	97	114	55	130	225	162	40	119
ENSDARG00000002732	66	7	19	3	18	41	5	4	0	7	10	31	13	4	9
ENSDARG00000002745	298	179	232	153	236	276	138	145	198	68	159	247	189	48	94
ENSDARG00000002748	180	16	81	77	38	78	73	25	43	38	70	124	86	1	4
ENSDARG00000002750	157	42	72	58	52	49	39	25	11	11	41	111	67	8	50
ENSDARG00000002754	5	0	7	0	12	4	6	0	11	3	4	5	25	9	9
ENSDARG00000002758	2212	501	1199	845	851	1424	847	883	637	448	501	2237	2308	536	663
ENSDARG00000002760	58	5	20	12	8	7	6	2	25	0	0	17	16	9	0
ENSDARG00000002764	13	1	2	3	6	12	0	2	15	0	2	19	2	0	10
ENSDARG00000002768	4081	1143	2407	1988	3213	3653	1934	2011	2529	1354	1871	3405	3564	738	1358
ENSDARG00000002771	69	19	15	2	75	18	22	32	22	49	34	59	52	31	28
ENSDARG00000002779	0	0	7	1	1	0	0	0	7	0	0	0	0	0	5
ENSDARG00000002787	304	80	100	70	141	194	78	65	81	88	101	225	281	26	74
ENSDARG00000002790	510	164	314	117	190	447	163	200	153	99	141	403	285	89	130
ENSDARG00000002791	2895	687	1433	821	1085	2000	1228	758	963	456	736	2330	1659	627	537
ENSDARG00000002792	285	44	104	49	74	151	67	44	63	41	98	118	177	34	46
ENSDARG00000002795	44	8	26	21	20	107	30	21	132	2	33	26	25	0	18
ENSDARG00000002797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002798	45	1	36	9	2	48	7	4	6	7	0	27	54	1	1
ENSDARG00000002816	195	39	58	20	81	90	72	65	16	7	73	162	256	26	111
ENSDARG00000002826	9	20	10	5	5	7	5	42	21	4	3	24	88	8	8
ENSDARG00000002830	12	0	0	4	6	15	12	3	0	0	1	6	14	5	2
ENSDARG00000002831	52	11	2	14	3	130	17	3	28	7	4	85	93	5	3
ENSDARG00000002840	289	58	167	72	169	208	98	115	102	36	134	260	183	74	169
ENSDARG00000002847	47	7	31	17	27	39	6	25	7	2	27	17	82	4	24
ENSDARG00000002872	53	6	38	12	0	36	9	12	15	3	5	64	16	0	0
ENSDARG00000002877	273	24	129	137	102	137	134	178	74	48	71	149	205	64	73
ENSDARG00000002880	293	68	94	80	105	179	118	83	43	59	102	180	205	50	85
ENSDARG00000002894	18	8	9	9	3	39	14	36	19	9	1	22	67	3	9
