	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
561673	3	31	28	11	19	11	18	8	24	15	7	14	59	1	15
561675	46	161	119	38	70	25	120	141	77	72	61	76	193	41	62
561678	2	14	49	0	5	13	12	19	2	11	0	1	12	0	11
561679	346	786	614	187	463	231	504	1254	919	470	330	450	1447	295	1124
561680	1	13	4	0	0	0	10	0	0	16	0	0	7	0	0
561682	0	14	40	11	1	14	12	34	8	14	0	24	46	15	16
561683	5	1	12	0	0	0	15	4	17	6	0	0	8	0	11
561685	62	113	86	36	32	16	43	95	72	87	22	61	136	36	41
561686	0	12	5	25	70	13	9	35	3	5	2	5	8	0	36
561688	9	49	21	13	7	19	8	30	13	6	0	10	9	0	9
561694	48	80	64	18	5	19	42	85	64	25	7	16	65	19	106
561697	102	353	191	68	106	54	201	291	136	164	66	154	473	161	149
561701	12	57	64	2	12	0	6	6	6	14	4	25	29	0	12
561703	74	257	312	86	78	106	97	193	114	110	84	88	280	39	151
561717	16	20	54	2	11	4	7	21	90	8	8	8	21	6	38
561719	156	569	369	99	240	156	241	436	258	194	215	268	511	122	335
561722	4	9	7	22	7	16	8	14	16	8	8	18	19	1	8
561724	55	80	108	29	22	23	46	71	37	48	43	72	108	38	112
561732	13	25	0	4	13	3	1	27	9	4	3	0	24	7	17
561737	128	191	227	49	79	47	27	131	73	88	66	123	233	36	140
561738	20	38	38	17	11	9	0	7	16	0	33	28	47	15	2
561739	96	293	166	46	93	11	89	100	53	22	59	142	239	36	1040
561742	9	24	4	0	2	3	0	6	16	1	7	5	3	4	13
561747	0	37	34	5	8	5	18	34	10	18	19	45	40	15	22
561751	7	0	0	2	2	0	0	11	9	0	0	0	0	1	0
561754	183	497	423	127	130	65	145	301	186	155	152	228	479	57	265
561756	25	73	11	0	8	6	6	17	0	11	0	7	21	0	14
561765	0	1	15	0	0	0	4	0	0	1	0	21	13	0	3
561766	35	43	46	42	14	6	17	37	6	14	26	22	73	12	40
561769	74	269	202	59	113	55	77	238	124	108	50	106	305	44	188
561771	8	25	16	0	0	0	24	57	0	0	8	0	115	0	159
561772	59	101	339	60	14	23	71	115	152	92	68	36	218	30	95
561773	1	5	24	0	1	0	0	12	12	0	1	4	8	2	24
561775	87	63	146	79	33	57	92	130	179	32	81	73	135	0	188
561776	1	42	59	15	0	1	4	11	8	3	8	24	61	2	19
561782	5	31	7	0	0	0	0	6	2	7	1	0	18	17	6
561786	91	115	93	35	38	34	51	107	42	74	38	84	162	18	123
561787	1	29	10	5	4	7	58	29	3	20	42	11	62	5	44
561788	22	20	27	2	29	21	60	22	46	25	5	12	66	15	12
561797	34	52	21	49	8	8	43	103	27	19	137	1	41	91	19
561802	7	76	60	7	9	2	17	28	22	10	8	5	14	0	11
561803	10	5	1	0	0	0	0	7	1	0	1	0	15	1	0
561804	70	84	113	33	29	14	21	88	42	19	46	23	141	16	82
561810	5	0	4	0	1	0	2	1	13	18	0	4	6	10	9
561815	21	6	21	2	5	0	5	4	2	15	0	6	2	3	7
561817	0	1	14	0	0	0	0	0	0	0	11	3	3	2	0
561820	24	54	85	5	33	5	28	57	2	18	16	35	36	8	19
561824	13	0	0	0	0	3	1	1	0	7	0	0	4	0	0
561829	0	0	0	0	0	0	0	5	0	0	7	0	7	10	26
561830	191	439	386	113	177	106	225	304	186	188	168	195	517	163	254
561831	0	11	4	0	9	0	14	4	1	2	0	0	1	1	7
561832	150	200	228	97	75	44	123	122	85	68	148	167	593	28	112
561834	3	24	1	7	0	3	0	6	0	0	0	9	27	0	0
561835	74	137	164	27	38	133	36	123	38	28	33	113	191	143	58
561837	21	85	13	5	0	0	0	10	0	58	0	0	94	0	0
561840	25	59	43	1	44	6	31	51	31	34	23	84	60	46	79
561841	14	85	26	35	6	4	9	55	27	16	9	59	114	14	23
561846	2	18	39	0	1	0	4	6	3	10	9	6	36	3	19
561851	8	1	9	11	9	9	0	13	10	6	0	9	3	0	13
561852	60	28	71	35	10	14	22	65	66	19	33	14	89	19	31
561863	66	278	420	96	52	117	96	170	150	89	65	126	238	36	207
561865	6	4	0	0	0	0	6	0	0	4	0	0	16	3	2
561866	0	7	8	2	0	0	1	4	1	10	5	0	0	1	1
561871	100	169	93	33	65	47	87	110	50	59	44	66	309	43	57
561879	14	102	112	8	55	14	27	21	60	49	8	41	69	21	31
561882	98	423	474	195	219	53	131	170	130	102	113	271	295	82	134
561887	89	77	80	38	24	5	14	55	93	54	70	43	114	12	88
561889	0	3	6	0	0	0	0	5	8	0	0	0	0	10	0
561891	18	78	43	32	24	26	54	63	35	20	26	38	79	8	58
561893	198	362	412	96	135	93	179	313	222	190	135	201	275	147	283
561894	216	350	637	77	180	145	179	470	316	242	181	140	612	162	276
561895	67	161	197	25	23	32	54	86	34	74	53	118	157	20	127
561896	18	64	44	14	24	13	14	36	56	32	17	26	132	14	63
561898	0	0	4	0	0	0	0	5	0	0	0	9	30	0	2
561899	0	11	1	2	4	7	1	0	0	0	0	3	0	8	6
561900	16	17	13	0	10	0	18	17	0	3	3	3	15	4	2
561901	498	1029	1166	390	398	271	472	697	803	470	550	967	2311	449	1063
561905	19	35	32	6	79	2	55	92	83	40	45	35	108	0	39
561906	43	99	106	15	8	21	35	59	82	39	47	61	98	9	41
561913	2	9	4	0	0	2	7	5	9	4	7	4	16	2	1
561914	2	29	13	3	13	2	0	29	14	16	10	36	22	2	9
561921	41	177	193	33	82	13	50	103	61	57	41	96	226	36	101
561924	95	103	88	25	27	7	46	100	77	55	30	36	85	32	35
561925	9	9	70	5	0	2	22	9	43	12	10	0	28	22	15
561927	7	0	4	0	0	0	0	4	1	0	0	2	1	3	0
561929	69	238	342	100	143	65	117	210	101	123	66	153	492	53	179
561933	13	24	31	0	0	10	9	23	6	3	4	7	25	4	0
561935	14	21	23	0	0	0	6	13	8	21	13	1	41	5	4
561938	14	52	43	15	23	22	18	28	27	0	0	28	89	4	29
561939	46	85	44	8	45	18	47	77	56	34	25	102	122	12	49
561940	119	248	406	210	101	81	85	256	136	188	102	128	364	60	162
561941	72	155	88	44	89	18	37	81	76	72	53	65	156	64	70
561943	140	300	242	33	48	46	81	135	101	91	112	148	329	31	203
561946	0	0	5	0	6	4	1	10	4	4	0	0	0	1	1
561952	12	31	37	11	10	0	13	55	13	29	26	12	65	4	18
561959	32	128	117	37	27	23	48	90	53	58	32	53	107	40	90
561960	0	17	2	0	0	0	3	12	5	1	15	4	29	6	4
