	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
562393	1.9034654272181	4.8177912743093	5.86803331316835	2.56057714454522	6.85300337489721	5.1893091463566	6.27003102310169	6.03984406012634	7.00114755314971	6.11877538515305	5.70883896707981	1.47160021456933	7.18984967308311	2.40759986872976	5.72973494700534
555778	8.3791988581845	7.57581848400333	8.09976359908413	6.64803998579556	7.45339591618798	8.75002410083108	1.74646906704468	7.72520845780534	8.35784106619775	7.80158520927235	8.54755806004675	8.6712725594057	8.77481217380426	8.88333329969616	8.53708986906295
368433	7.83420276478099	7.17327192890769	8.17236734804097	8.7103242640499	6.2911244872891	6.03730605291155	7.81255825750245	6.32224379082707	1.64359554853162	4.67820279376707	7.50025234526839	7.70041890506522	6.02295236433836	7.53688288567473	6.51214351193271
368917	1.9034654272181	0.730328433058959	5.34720114986691	2.56057714454522	5.35823868314764	2.86738105146924	7.23832216337435	6.50281603646889	4.45095047058923	6.39440982776648	4.81575417099632	5.55906305581967	4.20192250538368	3.99256236945092	4.78631847537171
556781	9.04301677961689	9.64620781189473	10.0355274883559	9.03631057551162	9.13721180383542	9.43723665980019	7.89621618654936	8.40781952253314	8.46377451094681	9.03071920848786	7.98567917243864	9.15108031407478	8.17154885634016	7.83386462343186	9.0458806892987
565708	7.39531852354778	7.64919167033355	7.81232388058206	5.36793206660282	7.10826043013929	8.35923414779892	8.22220249801108	7.90720629154823	8.80346688531001	8.92613030721066	8.57825485726967	8.85530450704339	7.43458326217396	8.42996768175822	9.1137847538005
563784	1.9034654272181	0.730328433058959	2.40860169453105	2.56057714454522	4.70616198656794	2.86738105146924	5.20590068568198	0.830390694497394	1.64359554853162	1.87084787170947	7.29380146780097	1.47160021456933	6.12792192393991	2.40759986872976	1.08587875723062
323361	6.15139294066169	7.03410918123606	6.65652920797464	2.56057714454522	7.82954440207323	7.259698474248	6.70066537743155	4.00031569593971	7.25830539264683	6.62573537387294	4.33032734382608	6.11545640434406	5.72129666447726	6.31449046433828	7.10824657025907
30453	6.94785954657655	8.29257085728003	7.01346375268991	5.73050214598753	7.51351690862555	7.39094300752625	6.79086318640313	7.90720629154823	7.00114755314971	8.37864251190816	7.73631970350192	8.21306720097048	7.03649889617631	8.08002521070126	7.19440321400879
565460	10.2914827125632	11.3105870005587	11.1101969554179	10.5549305814041	11.6883407094807	11.2027714061632	9.439956024544	10.8815996354122	10.9677760951504	9.53618378889464	10.1530574917706	11.3527141752444	9.65038300619998	12.9242848180394	12.0766918363842
368912	8.4112600674168	6.66106577062184	7.0904257345048	7.41855813967279	7.87608698801026	7.62226855363271	8.18941256289341	7.99026203127578	8.27295216861123	7.54327321368096	7.73631970350192	8.36641797787728	8.19589871775591	6.65552738217335	8.55348430731361
573719	4.7108203492757	6.66106577062184	7.39349480214084	4.14553964526638	1.89880706451034	6.77427164707776	8.01325560773958	6.89647988495517	6.28745173830635	6.11877538515305	4.33032734382608	7.30449022873408	6.86488751810611	6.93116182478678	8.22543010962941
570547	5.07339042866041	7.03410918123606	6.03309255943884	6.46746774015374	1.89880706451034	6.03730605291155	4.91639406848699	5.07831820794098	5.10302716716892	6.39440982776648	2.00839924893872	1.47160021456933	4.54295942321875	2.40759986872976	6.51214351193271
796753	9.16085326991075	3.53768335511656	5.34720114986691	2.56057714454522	5.06873206595265	2.86738105146924	5.20590068568198	4.28982231313469	1.64359554853162	5.57128758985056	2.00839924893872	4.27895513662694	3.10238683183277	2.40759986872976	7.15196794768839
