"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"221" "DES" "Dose4_1" 0 "e" 5365.1
"222" "DES" "Dose4_1" 0 "f" 4642.4
"223" "DES" "Dose4_2" 0 "a" 1839.2
"224" "DES" "Dose4_2" 0 "b" 3407.65
"225" "DES" "Dose4_2" 0 "c" 4007.6
"226" "DES" "Dose4_2" 0 "d" 3152.25
"227" "DES" "Dose4_2" 0 "e" 5576.85
"228" "DES" "Dose4_2" 0 "f" 6355.35
"229" "DES" "Dose4_3" 0 "a" 6299.45
"230" "DES" "Dose4_3" 0 "b" 3968.4
"231" "DES" "Dose4_3" 0 "c" 7833.45
"232" "DES" "Dose4_3" 0 "d" 5813.15
"233" "DES" "Dose4_3" 0 "e" 7393.75
"234" "DES" "Dose4_3" 0 "f" 4889.8
"235" "DES" "Dose4_4" 0 "a" 3874.4
"236" "DES" "Dose4_4" 0 "b" 5718.5
"237" "DES" "Dose4_4" 0 "c" 5921.65
"238" "DES" "Dose4_4" 0 "d" 3243.85
"239" "DES" "Dose4_4" 0 "e" 3864.1
"240" "DES" "Dose4_4" 0 "f" 3404.35
"241" "DES" "Dose4_5" 0 "a" 4799.35
"242" "DES" "Dose4_5" 0 "b" 3265.6
"243" "DES" "Dose4_5" 0 "c" 5699.1
"244" "DES" "Dose4_5" 0 "d" 2409.2
"245" "DES" "Dose4_5" 0 "e" 3999.7
"246" "DES" "Dose4_5" 0 "f" 3110.2
"247" "DES" "Dose4_6" 0 "a" 4007.5
"248" "DES" "Dose4_6" 0 "b" 3074.65
"249" "DES" "Dose4_6" 0 "c" 5585.2
"250" "DES" "Dose4_6" 0 "d" 4821.65
"251" "DES" "Dose4_6" 0 "e" 4748.35
"252" "DES" "Dose4_6" 0 "f" 4623.55
"253" "DES" "Dose4_7" 0 "a" 4632.45
"254" "DES" "Dose4_7" 0 "b" 3702.95
"255" "DES" "Dose4_7" 0 "c" 5690.6
"256" "DES" "Dose4_7" 0 "d" 3328.35
"257" "DES" "Dose4_7" 0 "e" 4946.65
"258" "DES" "Dose4_7" 0 "f" 1221.4
"259" "DES" "Dose4_8" 0 "a" 4616.55
"260" "DES" "Dose4_8" 0 "b" 3505.3
"261" "DES" "Dose4_8" 0 "c" 4726.4
"262" "DES" "Dose4_8" 0 "d" 2700.6
"263" "DES" "Dose4_8" 0 "e" 4819.5
"264" "DES" "Dose4_8" 0 "f" 4822.9
"265" "DES" "Dose4_9" 0 "a" 5270.2
"266" "DES" "Dose4_9" 0 "b" 4144.05
"267" "DES" "Dose4_9" 0 "c" 6544.15
"268" "DES" "Dose4_9" 0 "d" 4961.25
"269" "DES" "Dose4_9" 0 "e" 5172.6
"270" "DES" "Dose4_9" 0 "f" 2216.45
"271" "DES" "Dose5_1" 0 "a" 6395.8
"272" "DES" "Dose5_1" 0 "b" 5166.55
"273" "DES" "Dose5_1" 0 "c" 7441.9
"274" "DES" "Dose5_1" 0 "d" 5594.35
"275" "DES" "Dose5_1" 0 "e" 7167.75
"276" "DES" "Dose5_1" 0 "f" 2154.6
"277" "DES" "Dose5_2" 0 "a" 4600
"278" "DES" "Dose5_2" 0 "b" 3072.65
"279" "DES" "Dose5_2" 0 "c" 5017
"280" "DES" "Dose5_2" 0 "d" 1899.75
"281" "DES" "Dose5_2" 0 "e" 5088.8
"282" "DES" "Dose5_2" 0 "f" 1912.95
"283" "DES" "Dose5_3" 0 "a" 4443.6
"284" "DES" "Dose5_3" 0 "b" 1955.45
"285" "DES" "Dose5_3" 0 "c" 4919.55
"286" "DES" "Dose5_3" 0 "d" 2478.8
"287" "DES" "Dose5_3" 0 "e" 4635.8
"288" "DES" "Dose5_3" 0 "f" 4086.1
"289" "DES" "Dose5_4" 0 "a" 5155.05
"290" "DES" "Dose5_4" 0 "b" 2318.65
"291" "DES" "Dose5_4" 0 "c" 5418.55
"292" "DES" "Dose5_4" 0 "d" 1946.95
"293" "DES" "Dose5_4" 0 "e" 5203.75
"294" "DES" "Dose5_4" 0 "f" 2756.05
"295" "DES" "Dose5_5" 0 "a" 5991.5
"296" "DES" "Dose5_5" 0 "b" 2400.05
"297" "DES" "Dose5_5" 0 "c" 6800.75
"298" "DES" "Dose5_5" 0 "d" 4302.85
"299" "DES" "Dose5_5" 0 "e" 5992.05
"300" "DES" "Dose5_5" 0 "f" 5136.5
"301" "DES" "Dose5_6" 0 "a" 4268.5
"302" "DES" "Dose5_6" 0 "b" 4076.7
"303" "DES" "Dose5_6" 0 "c" 5549.55
"304" "DES" "Dose5_6" 0 "d" 2387.75
"305" "DES" "Dose5_6" 0 "e" 5034.1
"306" "DES" "Dose5_6" 0 "f" 3352.9
"307" "DES" "Dose5_7" 0 "a" 5240.75
"308" "DES" "Dose5_7" 0 "b" 6070.75
"309" "DES" "Dose5_7" 0 "c" 6806.2
"310" "DES" "Dose5_7" 0 "d" 4883.35
"311" "DES" "Dose5_7" 0 "e" 5889.05
