Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000039517	Linear		null	null	0.566626	0.412561	0.875783	0.377	197.793219	-389.586438	-1	1.373435686	TRUE	1.35E-05	-2.01E-06	
ENSDARG00000039516	Linear		null	null	0.809611	0.567273	1.37661	0.2427	189.305459	-372.610919	-1	1.427198192	TRUE	1.51E-05	-2.48E-06	
ENSDARG00000078363	Poly 2		null	null	0.324973	0.133446	3.0253	0.1743	209.233016	-410.466031	-1	2.435239722	TRUE	2.83E-06	-1.88E-06	7.54E-07
ENSDARG00000103589	Poly 2		null	null	0.30224	0.129216	2.98718	0.521	196.59521	-385.190421	1	2.339029222	TRUE	8.58E-06	4.64E-06	-1.87E-06
ENSDARG00000039220	Exp 2		null	null	2.56257	1.02194	30000	0.009959	218.8196	-431.6393	-1	2.50755426	TRUE	-1	1.01E-06	0.126237
ENSDARG00000023584	Poly 2		null	null	0.170214	0.0950645	2.79554	0.09192	211.443366	-414.886732	-1	1.790510653	TRUE	2.70E-06	-2.87E-06	1.05E-06
ENSDARG00000016771	Poly 2		null	null	0.404798	0.144393	2.82989	0.5006	140.386622	-272.773244	1	2.80344615	TRUE	4.98E-04	1.58E-04	-7.25E-05
ENSDARG00000010267	Poly 2		null	null	0.316299	0.131037	2.76431	0.1382	176.531767	-345.063533	1	2.413814419	TRUE	5.00E-05	1.74E-05	-7.92E-06
ENSDARG00000018478	Poly 2		null	null	0.298662	0.128168	2.56428	0.1254	148.805238	-289.610476	1	2.330238437	TRUE	2.09E-04	1.14E-04	-4.91E-05
ENSDARG00000093112	Exp 2		null	null	1.71242	1.17141	3.88332	0.6118	223.0766	-440.1533	1	1.461845127	TRUE	1	6.18E-07	0.171377
ENSDARG00000077201	Linear		null	null	0.979936	0.666115	1.81013	0.3009	184.053079	-362.106157	-1	1.471121353	TRUE	2.10E-05	-2.90E-06	
ENSDARG00000005364	Linear		null	null	3.04169	1.41911	90000	0.007657	215.849289	-425.698577	-1	2.143378596	TRUE	1.81E-06	-1.12E-07	
ENSDARG00000079727	Linear		null	null	0.974224	0.662926	1.79419	0.2186	164.769128	-323.538256	-1	1.469581824	TRUE	7.73E-05	-1.06E-05	
ENSDARG00000093205	Exp 4		null	null	0.00712993	0.00137997	0.030033	0.9937	221.257	-434.514	-1	5.166728262	TRUE	1.81E-06	54.3469	0.590814
ENSDARG00000038792	Exp 2		null	null	1.24362	0.873973	2.26122	0.09101	201.2869	-396.5738	1	1.422950137	TRUE	1	5.33E-06	0.125674
ENSDARG00000002728	Exp 2		null	null	1.47476	0.490892	7.87877	0.009456	229.8648	-453.7296	-1	3.004245333	TRUE	-1	4.05E-07	0.273054
ENSDARG00000095608	Poly 2		null	null	0.220508	0.110624	2.75096	0.7785	221.321288	-434.642576	1	1.993310674	TRUE	1.14E-06	1.17E-06	-4.43E-07
ENSDARG00000038709	Linear		null	null	2.16025	1.17385	13.2095	0.1267	225.154335	-444.308671	-1	1.840311795	TRUE	9.44E-07	-8.50E-08	
ENSDARG00000030254	Exp 2		null	null	0.969108	0.56331	2.30788	0.641	201.6549	-397.3099	-1	1.720381318	TRUE	-1	5.31E-06	0.186967
ENSDARG00000093774	Linear		null	null	0.694958	0.496287	1.12587	0.19	178.504602	-351.009205	-1	1.400314737	TRUE	4.09E-05	-5.92E-06	
ENSDARG00000054837	Linear		null	null	0.900169	0.620796	1.59687	0.3831	207.077388	-408.154776	-1	1.45002384	TRUE	5.14E-06	-6.81E-07	
ENSDARG00000053620	Linear		null	null	0.71898	0.511459	1.17607	0.1107	197.298559	-388.597118	-1	1.405743178	TRUE	1.06E-05	-1.64E-06	
ENSDARG00000076838	Linear		null	null	0.696612	0.497336	1.12929	0.6075	165.114755	-324.229511	-1	1.40068686	TRUE	1.08E-04	-1.44E-05	
ENSDARG00000074118	Linear		null	null	28.3266	2.51377	90000	9.00E-05	213.145361	-420.290723	-1	11.2685727	TRUE	2.32E-06	-1.44E-08	
ENSDARG00000094414	Exp 2		null	null	1.97527	1.23398	6.7221	0.0912	222.7506	-439.5012	1	1.600730968	TRUE	1	9.80E-07	0.100673
ENSDARG00000014651	Linear		null	null	1.25206	0.808529	2.71849	0.3758	210.525646	-415.051291	-1	1.548565358	TRUE	3.20E-06	-3.89E-07	
ENSDARG00000090903	Linear		null	null	0.648627	0.466576	1.03221	0.5074	200.057805	-394.11561	-1	1.390185093	TRUE	7.45E-06	-1.51E-06	
ENSDARG00000110341	Linear		null	null	0.594221	0.43094	0.92717	0.245	215.171832	-424.343664	-1	1.378894974	TRUE	3.66E-06	-6.01E-07	
ENSDARG00000107086	Exp 4		null	null	0.0074246	0.00104201	0.0253066	0.3738	241.5544	-475.1089	1	7.125267512	TRUE	2.63E-07	40.6095	1.898
ENSDARG00000095448	Exp 2		null	null	1.45628	0.707368	5.5537	0.05068	232.1405	-458.2811	-1	2.058730392	TRUE	-1	4.88E-07	0.185132
ENSDARG00000100782	Linear		null	null	1.00779	0.681546	1.88939	0.7086	205.233949	-404.467898	-1	1.47868229	TRUE	4.50E-06	-6.88E-07	
ENSDARG00000034862	Linear		null	null	0.73198	0.519603	1.20373	0.04823	194.02657	-382.05314	-1	1.408729357	TRUE	1.32E-05	-2.00E-06	
ENSDARG00000058445	Exp 2		null	null	0.897493	0.536188	2.0144	0.7465	190.2393	-374.4786	-1	1.673840146	TRUE	-1	1.22E-05	0.187552
ENSDARG00000099276	Linear		null	null	0.872294	0.604557	1.52676	0.7638	192.663561	-379.327122	-1	1.442864775	TRUE	1.19E-05	-1.84E-06	
ENSDARG00000018263	Exp 2		null	null	1.10459	0.614301	2.93655	0.499	189.4026	-372.8051	-1	1.798125023	TRUE	-1	1.11E-05	0.178754
ENSDARG00000008969	Linear		null	null	1.10499	0.733832	2.18805	0.9862	156.842795	-307.68559	-1	1.505780615	TRUE	1.11E-04	-1.58E-05	
ENSDARG00000020741	Linear		null	null	1.09306	0.727543	2.14941	0.9421	151.953416	-297.906833	-1	1.502399171	TRUE	1.66E-04	-2.21E-05	
ENSDARG00000008637	Linear		null	null	0.781627	0.55028	1.31272	0.7009	175.615333	-345.230666	-1	1.420416879	TRUE	5.09E-05	-6.39E-06	
ENSDARG00000062467	Poly 2		null	null	0.230321	0.11313	2.96444	0.4097	214.158637	-420.317274	1	2.035896756	TRUE	2.43E-06	1.82E-06	-7.16E-07
ENSDARG00000017985	Exp 2		null	null	0.656534	0.438235	1.19215	0.5295	189.539	-373.078	-1	1.498132281	TRUE	-1	2.08E-05	0.152116
ENSDARG00000019986	Poly 2		null	null	0.57724	0.15912	2.42667	0.05081	161.723402	-315.446805	1	3.627702363	TRUE	1.03E-04	3.07E-05	-1.54E-05
ENSDARG00000037383	Linear		null	null	1.6617	0.991577	5.03296	0.393	229.198015	-452.39603	1	1.675815393	TRUE	6.49E-07	8.44E-08	
ENSDARG00000094677	Linear		null	null	1.04233	0.7004	1.99142	0.624	193.474212	-380.948424	-1	1.488192461	TRUE	1.45E-05	-1.46E-06	
ENSDARG00000019838	Exp 2		null	null	0.542995	0.374706	0.922213	0.384	190.5441	-375.0881	-1	1.449122779	TRUE	-1	2.32E-05	0.152623
