Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000007221	Exp 2		null	null	23.3138	2.53077	30000	7.54E-04	199.3775	-392.755	1	9.212137018	TRUE	1	4.79E-06	0.0083053		
ENSDARG00000031683	Linear		null	null	0.895132	0.617877	1.58404	0.2042	174.767848	-343.535696	1	1.448721995	TRUE	1.36E-05	5.90E-06			
ENSDARG00000098478	Linear		null	null	1.82549	1.05581	6.61084	0.3428	205.921336	-405.842672	1	1.7289948	TRUE	3.02E-06	3.63E-07			
ENSDARG00000059236	Exp 2		null	null	1.94844	0.934129	11.9585	0.1938	233.2815	-460.5629	-1	2.08583611	TRUE	-1	5.51E-07	0.11069		
ENSDARG00000021086	Exp 4		null	null	3.60E-05	5.66E-07	0.00112758	0.2935	204.4848	-400.9696	-1	63.69042465	TRUE	1.04E-05	3800.5	0.45407		
ENSDARG00000099386	Exp 2		null	null	2.41336	0.862867	112.054	0.04101	216.6362	-427.2724	-1	2.796908446	TRUE	-1	9.24E-07	0.178989		
ENSDARG00000091859	Exp 2		null	null	1.53239	1.03539	3.31541	0.02766	231.2999	-456.5999	1	1.480012362	TRUE	1	5.97E-07	0.121251		
ENSDARG00000059001	Exp 4		null	null	0.00920337	6.15E-04	0.100859	0.7235	193.5628	-379.1257	1	14.95670644	TRUE	6.65E-06	62.0129	1.52177		
ENSDARG00000043569	Linear		null	null	1.20721	0.786297	2.5453	0.657	225.244186	-444.488373	1	1.535310449	TRUE	7.07E-07	1.51E-07			
ENSDARG00000017884	Linear		null	null	1.46387	0.907468	3.71414	0.4209	224.144656	-442.289312	1	1.613136772	TRUE	9.01E-07	1.34E-07			
ENSDARG00000001686	Linear		null	null	1.80304	1.04728	6.35795	0.1692	205.856446	-405.712892	-1	1.721640822	TRUE	3.78E-06	-3.69E-07			
ENSDARG00000074170	Exp 4		null	null	0.0305712	0.00826782	0.193328	0.7388	223.7879	-439.5758	1	3.697613156	TRUE	1.07E-06	16.7506	1.47125		
ENSDARG00000115603	Linear		null	null	2.75308	1.34754	90000	5.21E-04	224.557944	-443.115889	1	2.043041394	TRUE	1.05E-06	6.94E-08			
ENSDARG00000074636	Poly 2		null	null	0.153619	0.0892467	0.541463	0.09548	197.464534	-386.929067	1	1.721284933	TRUE	6.02E-06	7.95E-06	-2.46E-06		
ENSDARG00000062182	Linear		null	null	3.23702	1.46359	90000	0.007016	209.867631	-413.735261	1	2.211698631	TRUE	2.81E-06	1.57E-07			
ENSDARG00000009046	Poly 2		null	null	0.205481	0.106984	1.6879	0.00745	214.073565	-420.147129	-1	1.920670381	TRUE	2.68E-06	-1.99E-06	5.74E-07		
ENSDARG00000096843	Poly 2		null	null	0.0930159	0.0618473	0.18309	0.3492	219.918678	-431.837356	-1	1.503960561	TRUE	1.68E-06	-2.88E-06	8.89E-07		
ENSDARG00000044098	Linear		null	null	1.35384	0.857287	3.15611	0.5841	206.994095	-407.988191	1	1.579214429	TRUE	1.47E-06	4.55E-07			
ENSDARG00000105453	Linear		null	null	1.05737	0.708516	2.03722	0.2001	229.736728	-453.473457	1	1.49237279	TRUE	4.21E-07	1.28E-07			
ENSDARG00000099181	Exp 2		null	null	1.32964	0.984212	2.18826	0.7606	232.5898	-459.1797	1	1.3509691	TRUE	1	2.85E-07	0.248969		
ENSDARG00000108038	Linear		null	null	1.3547	0.857689	3.1601	0.4086	221.681996	-437.363992	1	1.579476943	TRUE	1.17E-06	1.71E-07			
ENSDARG00000114554	Poly 2		null	null	0.143222	0.0851143	0.445675	0.3942	202.12831	-396.256621	1	1.682701967	TRUE	3.76E-06	6.24E-06	-1.98E-06		
ENSDARG00000100515	Poly 2		null	null	0.230959	0.114426	1.87082	0.1604	170.880291	-333.760582	1	2.018413647	TRUE	4.02E-05	3.16E-05	-8.35E-06		
ENSDARG00000037421	Exp 4		null	null	0.153634	0.0709777	0.668296	0.009095	164.4222	-320.8444	1	2.164539003	TRUE	6.08E-05	1.72892	1.74198		
ENSDARG00000055752	Exp 4		null	null	0.171572	5.59E-04	1.91013	0.04078	180.4391	-352.8782	1	306.918419	TRUE	1.08E-05	3.50616	1.73918		
ENSDARG00000061548	Linear		null	null	1.88644	1.07857	7.37365	0.4152	223.251497	-440.502995	1	1.749019535	TRUE	1.00E-06	1.11E-07			
ENSDARG00000063670	Poly 2		null	null	0.105564	0.068239	0.228397	0.07428	210.483956	-412.967913	1	1.546974604	TRUE	2.69E-06	4.79E-06	-1.55E-06		
ENSDARG00000116982	Poly 2		null	null	0.176641	0.0976957	0.853616	0.005324	234.266758	-460.533517	-1	1.808073436	TRUE	3.94E-07	-5.97E-07	1.74E-07		
