G12,Counts
ENSDARG00000005673,0
ENSDARG00000005675,0
ENSDARG00000005679,0
ENSDARG00000005690,5
ENSDARG00000005699,4
ENSDARG00000005704,0
ENSDARG00000005713,0
ENSDARG00000005716,1
ENSDARG00000005738,0
ENSDARG00000005739,16
ENSDARG00000005749,0
ENSDARG00000005754,33
ENSDARG00000005762,28
ENSDARG00000005772,0
ENSDARG00000005774,132
ENSDARG00000005775,63
ENSDARG00000005776,2
ENSDARG00000005780,0
ENSDARG00000005783,92
ENSDARG00000005786,2
ENSDARG00000005789,0
ENSDARG00000005791,51
ENSDARG00000005799,0
ENSDARG00000005800,4
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,2
ENSDARG00000005827,10
ENSDARG00000005828,0
ENSDARG00000005834,1
ENSDARG00000005840,2
ENSDARG00000005841,16
ENSDARG00000005842,0
ENSDARG00000005853,0
ENSDARG00000005861,84
ENSDARG00000005865,0
ENSDARG00000005867,36
ENSDARG00000005870,0
ENSDARG00000005883,14
ENSDARG00000005891,1
ENSDARG00000005894,0
ENSDARG00000005897,0
ENSDARG00000005908,3
ENSDARG00000005913,2
ENSDARG00000005915,6
ENSDARG00000005916,3
ENSDARG00000005924,36
ENSDARG00000005926,4
ENSDARG00000005927,10
ENSDARG00000005941,32
ENSDARG00000005942,0
ENSDARG00000005943,0
ENSDARG00000005945,2
ENSDARG00000005948,5
ENSDARG00000005972,34
ENSDARG00000005980,30
ENSDARG00000005989,5
ENSDARG00000005993,0
ENSDARG00000006003,2
ENSDARG00000006008,35
ENSDARG00000006010,2
ENSDARG00000006011,0
ENSDARG00000006019,1
ENSDARG00000006025,12
ENSDARG00000006029,0
ENSDARG00000006031,58
ENSDARG00000006038,6
ENSDARG00000006040,6
ENSDARG00000006044,0
ENSDARG00000006052,0
ENSDARG00000006060,9
ENSDARG00000006062,14
ENSDARG00000006065,30
ENSDARG00000006074,0
ENSDARG00000006079,0
ENSDARG00000006092,70
ENSDARG00000006093,0
ENSDARG00000006094,15
ENSDARG00000006109,0
ENSDARG00000006110,0
ENSDARG00000006112,7
ENSDARG00000006120,9
ENSDARG00000006124,20
ENSDARG00000006125,3
ENSDARG00000006128,28
ENSDARG00000006137,0
ENSDARG00000006151,0
ENSDARG00000006169,21
ENSDARG00000006174,0
ENSDARG00000006181,3
ENSDARG00000006192,16
ENSDARG00000006196,0
ENSDARG00000006200,147
ENSDARG00000006202,0
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,7
ENSDARG00000006219,3
ENSDARG00000006220,5
ENSDARG00000006225,5
ENSDARG00000006235,11
ENSDARG00000006240,0
ENSDARG00000006242,46
ENSDARG00000006251,1
ENSDARG00000006253,10
ENSDARG00000006257,96
ENSDARG00000006260,24
ENSDARG00000006266,16
ENSDARG00000006272,0
ENSDARG00000006279,1
ENSDARG00000006283,8
ENSDARG00000006288,2
ENSDARG00000006290,1
ENSDARG00000006292,0
ENSDARG00000006299,22
ENSDARG00000006300,0
ENSDARG00000006301,4
ENSDARG00000006307,24
ENSDARG00000006308,0
ENSDARG00000006314,10
ENSDARG00000006316,21
ENSDARG00000006332,6
ENSDARG00000006341,0
ENSDARG00000006345,0
ENSDARG00000006350,0
ENSDARG00000006353,0
ENSDARG00000006356,1
ENSDARG00000006368,0
ENSDARG00000006370,18
ENSDARG00000006372,0
ENSDARG00000006383,7
ENSDARG00000006385,0
ENSDARG00000006389,14
ENSDARG00000006392,2
ENSDARG00000006395,16
ENSDARG00000006396,39
ENSDARG00000006397,6
ENSDARG00000006399,1
ENSDARG00000006408,6
ENSDARG00000006409,0
ENSDARG00000006413,5
ENSDARG00000006420,28
ENSDARG00000006422,4
ENSDARG00000006427,1
ENSDARG00000006434,0
ENSDARG00000006447,0
ENSDARG00000006456,0
ENSDARG00000006467,11
ENSDARG00000006468,0
ENSDARG00000006474,0
ENSDARG00000006477,4
ENSDARG00000006487,85
ENSDARG00000006491,1
ENSDARG00000006494,16
ENSDARG00000006497,89
ENSDARG00000006501,0
ENSDARG00000006508,0
ENSDARG00000006514,0
ENSDARG00000006522,13
ENSDARG00000006524,68
ENSDARG00000006526,132
ENSDARG00000006527,29
ENSDARG00000006544,0
ENSDARG00000006545,10
ENSDARG00000006546,5
ENSDARG00000006553,5
ENSDARG00000006560,0
ENSDARG00000006566,34
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,0
ENSDARG00000006580,0
ENSDARG00000006584,32
ENSDARG00000006585,2
ENSDARG00000006588,0
ENSDARG00000006598,0
ENSDARG00000006600,17
ENSDARG00000006601,25
ENSDARG00000006602,0
ENSDARG00000006603,0
ENSDARG00000006604,0
ENSDARG00000006607,7
ENSDARG00000006609,0
ENSDARG00000006615,0
ENSDARG00000006617,0
ENSDARG00000006621,2
ENSDARG00000006624,0
ENSDARG00000006636,7
ENSDARG00000006639,0
ENSDARG00000006640,5
ENSDARG00000006642,12
ENSDARG00000006666,0
ENSDARG00000006672,2
ENSDARG00000006677,3
ENSDARG00000006678,0
ENSDARG00000006683,11
ENSDARG00000006691,53
ENSDARG00000006712,9
ENSDARG00000006719,15
