G7,Counts
ENSDARG00000004771,15
ENSDARG00000004774,33
ENSDARG00000004782,188
ENSDARG00000004785,68
ENSDARG00000004789,120
ENSDARG00000004794,0
ENSDARG00000004796,41
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,81
ENSDARG00000004836,77
ENSDARG00000004840,46
ENSDARG00000004843,66
ENSDARG00000004851,6
ENSDARG00000004861,36
ENSDARG00000004864,0
ENSDARG00000004866,3
ENSDARG00000004869,15
ENSDARG00000004870,16
ENSDARG00000004871,0
ENSDARG00000004874,0
ENSDARG00000004875,25
ENSDARG00000004877,34
ENSDARG00000004880,1
ENSDARG00000004889,0
ENSDARG00000004891,24
ENSDARG00000004898,0
ENSDARG00000004904,10
ENSDARG00000004906,81
ENSDARG00000004925,3
ENSDARG00000004930,324
ENSDARG00000004931,18
ENSDARG00000004932,21
ENSDARG00000004937,7
ENSDARG00000004939,8
ENSDARG00000004948,43
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,2
ENSDARG00000004956,2
ENSDARG00000004964,41
ENSDARG00000004979,10
ENSDARG00000004988,76
ENSDARG00000005002,1
ENSDARG00000005004,4
ENSDARG00000005010,4
ENSDARG00000005015,112
ENSDARG00000005023,1
ENSDARG00000005026,123
ENSDARG00000005034,29
ENSDARG00000005049,18
ENSDARG00000005050,0
ENSDARG00000005057,0
ENSDARG00000005058,39
ENSDARG00000005078,56
ENSDARG00000005085,22
ENSDARG00000005092,7
ENSDARG00000005095,0
ENSDARG00000005098,4
ENSDARG00000005104,29
ENSDARG00000005108,23
ENSDARG00000005112,96
ENSDARG00000005115,11
ENSDARG00000005122,68
ENSDARG00000005126,18
ENSDARG00000005128,0
ENSDARG00000005134,18
ENSDARG00000005139,10
ENSDARG00000005141,55
ENSDARG00000005150,0
ENSDARG00000005154,21
ENSDARG00000005159,17
ENSDARG00000005162,116
ENSDARG00000005163,75
ENSDARG00000005172,8
ENSDARG00000005176,0
ENSDARG00000005179,41
ENSDARG00000005185,61
ENSDARG00000005186,28
ENSDARG00000005191,369
ENSDARG00000005210,18
ENSDARG00000005216,28
ENSDARG00000005218,0
ENSDARG00000005220,0
ENSDARG00000005221,54
ENSDARG00000005230,7
ENSDARG00000005232,50
ENSDARG00000005236,234
ENSDARG00000005246,14
ENSDARG00000005251,0
ENSDARG00000005254,11
ENSDARG00000005271,0
ENSDARG00000005274,5
ENSDARG00000005284,2
ENSDARG00000005314,0
ENSDARG00000005315,63
ENSDARG00000005318,24
ENSDARG00000005320,11
ENSDARG00000005327,1
