	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
394140	2.003034407	1.941457433	2.285695649	2.212304991	1.884581574	2.193705428	2.420868812	1.981520695	2.197624293	2.210839693	2.187918218	2.267977049	2.25506195	1.838171393	2.139843643	2.218647021	2.070865133	2.112526161	1.987394852	2.318257672	2.282615723
394142	7.298667968	7.579054633	7.299969196	7.286932779	7.293186133	7.432487877	7.340391576	7.617027359	7.535532659	7.088263139	7.676090441	7.284890106	7.393434863	7.459624825	7.129227931	7.190295482	6.86908033	7.441196055	7.666139017	6.393935346	7.188551702
394143	5.900540827	5.873090924	5.846652401	5.98986925	5.715141396	5.666923243	5.754527198	5.641524444	5.522147536	5.716595216	5.807921871	5.609562398	5.778451746	5.657072511	5.60713997	5.833740064	5.65029474	5.884301532	5.776224254	5.773458585	5.76974128
394144	5.309261229	5.470857514	5.314323203	5.330545166	5.472937379	5.359268565	5.186411781	5.390486796	5.406302697	5.099169924	5.598383889	5.251364851	5.295971681	5.679957348	5.291576628	5.282986089	5.395738496	5.429723522	5.427579196	5.256798702	5.13604075
394145	1.52899232	1.705861073	2.111878588	2.08486147	1.745196397	2.00463262	2.121624866	1.376861369	2.003605744	2.210839693	1.958658897	2.085233912	1.93912002	1.588713796	1.459277542	2.005539506	2.04311583	1.644538652	1.501740622	1.811325973	2.112548157
394146	3.313544692	4.354583302	3.793855933	4.017250583	3.337848639	3.734456529	3.663779514	3.182312232	3.418096992	3.399408949	3.502695032	3.419487892	3.851009125	3.461546839	3.540449824	3.865786256	3.412036455	4.020266318	4.033705945	3.25980878	3.88061988
394147	5.488720907	5.57335547	5.718567215	5.576913407	5.446461786	5.564748612	5.529341766	5.50006793	5.473889091	5.364937949	5.37949613	5.615195388	5.570241901	5.394492009	5.673713677	5.393337649	5.449577459	5.532333087	5.493009048	5.179073217	5.500731304
394148	4.92928144	6.164183802	5.571010992	5.869345005	4.7856134	5.553807853	5.445727968	5.165339793	5.713401751	5.1351942	5.643763211	4.926568349	5.530327956	6.036505835	5.234499486	5.41624969	4.838608493	5.676680591	5.890884761	5.040203992	5.799153762
394149	2.166563691	2.272915981	2.142341587	2.538431987	2.442341419	2.457936442	2.685342209	2.216744914	2.23179509	2.72586793	2.350616023	2.345932463	2.444704605	2.591170739	1.820642453	2.609076453	2.367888185	2.505570659	2.334738558	2.363343494	2.716327663
394150	4.951883452	4.702556159	4.931652387	4.804604984	4.580484929	4.779283403	4.76357011	4.671795104	4.771824736	4.718771707	4.542359965	4.863597239	4.759260529	4.527227677	4.976299714	4.719895756	5.020371025	4.624360204	4.397362639	4.844747958	4.639580603
394151	7.436940106	7.333128767	7.538752532	7.598633606	7.428560123	7.464970465	7.563060983	7.363330255	7.546180079	7.477496285	7.21343404	7.711361472	7.440607223	7.164428128	7.704554602	7.361203799	7.609502323	7.322743932	7.272343901	7.736624761	7.407004378
394152	5.34385366	5.102096755	5.261528812	5.133282442	5.13359971	4.958258956	5.235609019	4.99229598	5.107077926	5.298979035	4.992650321	5.223608009	5.123535935	5.038249727	5.301715973	5.199596791	5.192866516	5.042042708	5.217637025	5.388042473	5.306552339
