	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
565975	6.8142755875	6.5829493895	6.7490520035	6.5342489775	6.4850810085	6.3667754265	6.3481996225	6.6818380875	6.4637765285	6.4500421305	7.0405908245	6.4908377765	6.9444565975	6.8785347155	6.5875193255	6.6373582935	6.8364896375	6.7176971855	6.9116237065	6.2601836005	6.4213743085
192124	8.0343774495	8.3602829875	8.3358778555	8.5469866845	8.1039482455	8.2629065095	8.2759299815	8.1586387045	7.9434662125	8.1691151105	8.0557732625	8.0652994595	8.3880180185	7.9604219635	8.0701256765	8.3683624525	8.1747996245	8.4544663385	8.2072596165	7.9437371105	8.4613903895
407734	12.2691222315	12.3318810155	12.3954460925	12.4019234665	12.0675454305	12.4085280475	12.2342866345	12.0686224585	12.0569548435	12.1268356855	12.0065186265	12.1872581935	12.3396421125	11.6767867135	12.2249737845	12.1156390235	11.8747888455	12.3068441525	12.0587814575	11.9485694845	12.1808644395
561804	7.6835026905	7.8581760465	7.9426426065	8.1984677475	7.5927830215	7.9799208855	7.9070420665	7.5499975125	7.5796919205	7.5106440985	7.5069778885	7.6279170625	7.8305596255	6.9310749935	7.7175181955	7.6240058855	7.1649875535	7.6674529845	7.4843924655	7.4165736425	7.5981821275
403049	5.0230980435	5.0064547365	5.0967181525	4.6050161455	4.9835899285	4.5649941965	4.9462157565	5.2327876405	5.3252960245	5.2993102865	4.8642602195	4.6348966805	5.6821545275	5.2348024225	5.3796151155	5.2427444975	4.9616672055	5.1844917645	5.4660238845	5.0802383685	5.5192406295
550332	6.1997388065	5.3993407105	6.2217520605	5.6371402805	5.9377696855	5.7418037685	6.1419736875	5.6786755905	5.8226495235	5.9459233195	5.4835912235	5.9836818255	5.7806354745	5.6090626175	6.0668061395	5.7900572685	6.3882370065	5.6283765245	5.5760574605	6.1072926325	5.7540003605
393340	7.6418141435	7.2999084755	7.3745252045	7.3939039435	7.4117761535	7.4812724495	7.5697562345	7.5026341075	7.5143207795	7.8109008865	7.4464896045	7.6768148765	7.4182412745	7.3931253685	7.8116755995	7.6319686785	7.7521596975	7.6155462185	7.5930851005	7.8179801285	7.7000934255
571741	9.6960713385	10.1129337245	10.1032480955	10.1799428065	9.6964438825	10.1708101645	9.8455897735	9.6898953405	9.5181301685	9.6096286105	9.7621258115	9.6567512045	10.0265921445	9.1961429965	9.9432103655	9.7362241485	9.4201956745	10.1160924285	9.7994117115	9.2591137105	9.6259186885
436721	7.8755882165	7.6856006315	8.0278521325	8.1668994855	8.1396720375	7.8768463915	8.0712639295	7.8392892975	7.8064562425	7.8184110585	7.8376065725	7.8840940965	8.0945317955	7.6269723475	8.0086770775	8.0256467705	7.9006890915	7.9047427895	7.8772623985	8.0959888735	8.1579384555
794006	5.4454757725	4.6687910905	4.5230922175	4.1681581575	5.4384298835	4.6146544965	4.7661586435	5.2034652625	4.8989169145	4.9622669445	4.9617823785	5.0671260845	4.5715307685	5.0144424245	4.8545490195	5.0659390215	5.0205803285	4.9678120725	4.7380070035	5.1163036545	4.7523308625
436983	7.3454824075	7.6571180295	7.6302520305	7.7486948775	7.5509427955	7.6633760625	7.6236720315	7.6182488895	7.5037227685	7.3643979015	7.5336559555	7.2992796165	7.6390805245	7.2851395175	7.4664421095	7.4412281355	7.2412765715	7.5713510995	7.6508080265	7.2398572275	7.1610312445
100537580	7.7240203495	8.2277535965	8.2319725595	8.3431843555	7.6582871055	7.9169859795	7.7175703545	7.3703590685	7.1966877115	7.4246867205	7.3774747805	7.2992796165	7.8166997055	7.0200016945	7.6759577215	7.7427470435	7.4377991015	7.9863497775	6.9832762985	7.3038083005	7.5470005895
555616	8.4698722735	8.6159758005	8.8410085075	8.8574527575	8.4609876255	8.4993827465	8.4376828045	8.3480799025	8.4824911485	8.4938609285	8.3924267015	8.6568378485	8.7262398165	8.2287564835	8.4974189505	8.3966811145	8.4778103625	8.6852643265	8.3261951055	8.3780840115	8.5472413155
556048	7.9419791665	8.4264705385	8.4667674305	8.6390187255	7.7067257345	8.4693292795	8.0517297835	7.9090650705	7.5964136415	7.8553864415	7.9956362015	7.7739947655	8.0198813095	7.4178821615	8.0979299145	7.7968734005	7.7390633995	8.2573570265	7.6254380785	7.7100135035	7.9050394265
436973	8.3163919215	8.2970787005	8.3915972395	8.2965400185	8.1606892765	7.9656392115	7.8666213095	7.8006480525	8.2186967245	7.9710887065	7.9328829495	8.1558861145	8.0239080835	8.0236169695	8.3232841725	8.2098198775	8.0775741645	7.9249542965	7.6125838185	7.8014608165	7.7642425895
557256	5.8389197715	4.8474792455	5.4329549995	5.0820586315	5.9856682165	4.4048513275	5.2038941395	5.3173400335	5.1369741725	5.6246756955	5.3458631215	5.2892204395	5.2030399165	5.7586890005	5.3796151155	5.4905845015	5.9004990125	5.0620797205	5.6280792395	6.1772514575	6.1189453295
101886283	8.0801833505	8.4870597795	8.3425458765	8.3607304395	7.9107180055	8.3238926545	7.8961300585	8.1662578625	7.8461486515	7.5829751215	7.9763174215	8.0451252555	8.2504444655	7.7228093145	7.9313078635	8.0165514485	7.7608249785	8.3592753435	7.9351947155	7.7564616035	7.9918068475
557394	5.9186643865	5.8488119375	5.6634605815	6.2018327525	4.9517886315	5.6731500445	5.6645889645	4.6288755035	5.2596243445	5.5723342535	5.1665666435	5.4203094355	5.6407994265	5.5203960945	5.0942702745	5.7467124695	4.8360921525	5.7913709965	5.3469000265	5.1858372105	5.9714642935
557534	6.9342493615	6.0809564855	6.3856826085	5.9836425165	6.0471552915	6.5309662595	6.2826792905	6.3076877955	6.3966235765	6.2085038995	5.6093092275	6.3110319645	6.1185592325	6.0395791015	6.5303638335	6.1640949435	7.0064293585	6.1415373235	6.1209971865	6.7707001165	6.3029645445
751654	7.8675727835	8.0272107365	8.1658364645	8.1182128745	8.1111641215	7.7713215265	8.0905371125	7.9271157545	7.9170854125	8.1334323495	7.8881001195	8.2292471415	8.1508537675	7.8972688245	7.9532187955	8.0165514485	7.9355493615	8.2791101345	8.1008280835	8.0266161495	8.3068996365
797503	6.5191613065	6.5728195325	6.7886559565	6.7305680735	6.8724497635	6.5309662595	6.8559123575	6.6386736345	6.7049098345	6.7773779325	6.4175459695	6.6327838745	6.5679215125	6.5679427715	7.0033287755	6.5890923555	6.8608760165	6.8504277245	6.8581729835	6.8261933495	6.9952766445
266752	5.7370164465	5.9461960105	5.9865753005	6.0543587855	5.6710543725	5.8073383295	5.7478730235	5.3173400335	5.6539865345	5.6751844695	5.6093092275	5.6334884865	5.9081072495	4.9251615465	5.9320726765	5.9257999835	5.3075455835	6.0616376095	6.2260036255	5.3763406355	6.2780700415
557881	7.0870348815	6.5829493895	7.2452755625	7.1000291935	6.6723452255	7.0013344885	6.6719692525	7.0128742025	6.7887802975	6.8814285955	7.1201990335	6.7031396405	6.8016543015	7.0935556745	6.5068521805	6.6294252745	7.1518710895	6.7689127195	7.0610312135	7.1729393435	6.7638283475
30214	8.9169921955	9.1685790815	9.1961181695	9.1169309545	8.8323993535	9.2461575445	9.0233667455	8.8683000145	8.7569084445	8.9227855195	8.8335381645	8.8397340345	9.1457337115	8.7184034345	9.1121704825	8.8033047465	8.7586984875	9.2014443265	8.6896650575	8.9424710145	8.9052272495
566247	7.8059940415	8.1785011855	7.8567482895	8.0932392425	8.0598782335	8.0492825465	7.7462094305	7.5958552845	8.1272982955	7.9335429375	7.8881001195	8.1015683625	7.5964533855	8.0046750575	7.7923572375	7.8004106335	7.9507764845	7.6853360725	7.4914310105	8.1228301195	7.9332173635
559168	5.6832319835	4.8134684215	5.1584849675	5.1801921655	4.8519491915	4.8813117825	5.1559094115	4.5840716805	5.2256323645	5.6585439195	4.7230438325	5.7208684505	5.3641748025	5.2714876575	5.5271468025	5.5422008615	5.2594383365	5.1844917645	4.8734815975	5.3763406355	4.9854891185
559243	7.4240982895	7.1444353005	7.3482603985	7.1733522165	6.9307087955	7.2494278365	7.1534011485	7.0462901995	7.0586964775	7.3643979015	7.2925492605	7.3218153005	7.3747600885	6.7928012735	7.1772393915	7.3133718725	6.9695267255	7.2889849435	7.1075824955	7.1117265505	7.2275549975
100037355	6.7890353875	6.9070548785	7.0875054785	7.4799139405	6.7667542685	7.0562820535	6.4108731535	6.5482658115	6.0435982905	6.1854568905	6.2856436625	6.3553993905	6.5231053165	6.5381427165	6.3702069915	6.4061840545	7.0136979505	6.8609565305	6.5429570815	6.8370403725	6.4880194515
