C10,Counts
ENSDARG00000004930,179
ENSDARG00000004931,24
ENSDARG00000004932,7
ENSDARG00000004937,0
ENSDARG00000004939,53
ENSDARG00000004948,107
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,5
ENSDARG00000004956,24
ENSDARG00000004964,10
ENSDARG00000004979,14
ENSDARG00000004988,117
ENSDARG00000005002,2
ENSDARG00000005004,1
ENSDARG00000005010,1
ENSDARG00000005015,134
ENSDARG00000005023,27
ENSDARG00000005026,170
ENSDARG00000005034,16
ENSDARG00000005049,0
ENSDARG00000005050,0
ENSDARG00000005057,0
ENSDARG00000005058,21
ENSDARG00000005078,23
ENSDARG00000005085,27
ENSDARG00000005092,62
ENSDARG00000005095,31
ENSDARG00000005098,9
ENSDARG00000005104,16
ENSDARG00000005108,4
ENSDARG00000005112,84
ENSDARG00000005115,8
ENSDARG00000005122,127
ENSDARG00000005126,34
ENSDARG00000005128,0
ENSDARG00000005134,44
ENSDARG00000005139,9
ENSDARG00000005141,62
ENSDARG00000005150,6
ENSDARG00000005154,28
ENSDARG00000005159,44
ENSDARG00000005162,129
ENSDARG00000005163,23
ENSDARG00000005172,29
ENSDARG00000005176,2
ENSDARG00000005179,117
ENSDARG00000005185,123
ENSDARG00000005186,98
ENSDARG00000005191,388
ENSDARG00000005210,97
ENSDARG00000005216,16
ENSDARG00000005218,0
ENSDARG00000005220,3
ENSDARG00000005221,23
ENSDARG00000005230,51
ENSDARG00000005232,116
ENSDARG00000005236,396
ENSDARG00000005246,0
ENSDARG00000005251,17
ENSDARG00000005254,37
ENSDARG00000005271,0
ENSDARG00000005274,0
ENSDARG00000005284,2
ENSDARG00000005314,0
ENSDARG00000005315,201
ENSDARG00000005318,18
ENSDARG00000005320,4
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,25
ENSDARG00000005350,130
ENSDARG00000005355,13
ENSDARG00000005356,9
ENSDARG00000005359,99
ENSDARG00000005364,1
ENSDARG00000005368,55
ENSDARG00000005371,0
ENSDARG00000005372,7
ENSDARG00000005374,16
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,74
ENSDARG00000005397,282
ENSDARG00000005414,0
ENSDARG00000005416,96
ENSDARG00000005423,0
ENSDARG00000005425,27
ENSDARG00000005448,0
ENSDARG00000005451,212
ENSDARG00000005453,134
ENSDARG00000005454,15
ENSDARG00000005456,160
ENSDARG00000005458,98
ENSDARG00000005462,72
ENSDARG00000005463,51
ENSDARG00000005464,7
ENSDARG00000005468,128
ENSDARG00000005476,119
ENSDARG00000005479,465
ENSDARG00000005481,18
ENSDARG00000005482,268
ENSDARG00000005485,28
ENSDARG00000005500,4
ENSDARG00000005510,0
ENSDARG00000005513,826
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,7
ENSDARG00000005526,30
ENSDARG00000005536,58
ENSDARG00000005540,210
ENSDARG00000005541,18
ENSDARG00000005544,42
ENSDARG00000005547,11
ENSDARG00000005549,71
ENSDARG00000005551,31
ENSDARG00000005559,26
ENSDARG00000005560,88
ENSDARG00000005561,25
ENSDARG00000005565,24
ENSDARG00000005574,46
ENSDARG00000005576,93
ENSDARG00000005578,13
ENSDARG00000005586,81
ENSDARG00000005590,14
ENSDARG00000005595,12
ENSDARG00000005606,22
ENSDARG00000005612,0
ENSDARG00000005616,0
ENSDARG00000005619,1
ENSDARG00000005625,116
ENSDARG00000005626,3
ENSDARG00000005627,0
ENSDARG00000005629,49
ENSDARG00000005640,3
ENSDARG00000005643,16
ENSDARG00000005645,130
ENSDARG00000005648,0
ENSDARG00000005651,1
ENSDARG00000005652,264
ENSDARG00000005670,70
ENSDARG00000005673,0
ENSDARG00000005675,28
ENSDARG00000005679,57
ENSDARG00000005690,46
ENSDARG00000005699,117
ENSDARG00000005704,72
ENSDARG00000005713,6
ENSDARG00000005716,17
ENSDARG00000005738,2
ENSDARG00000005739,40
ENSDARG00000005749,30
ENSDARG00000005754,367
ENSDARG00000005762,58
ENSDARG00000005772,17
ENSDARG00000005774,352
ENSDARG00000005775,422
ENSDARG00000005776,30
ENSDARG00000005780,0
ENSDARG00000005783,220
ENSDARG00000005786,0
ENSDARG00000005789,51
ENSDARG00000005791,522
ENSDARG00000005799,2
ENSDARG00000005800,37
ENSDARG00000005814,10
ENSDARG00000005821,2
ENSDARG00000005823,39
ENSDARG00000005827,54
ENSDARG00000005828,0
ENSDARG00000005834,133
ENSDARG00000005840,118
ENSDARG00000005841,73
ENSDARG00000005842,16
ENSDARG00000005853,0
ENSDARG00000005861,396
ENSDARG00000005865,0
ENSDARG00000005867,85
ENSDARG00000005870,3
ENSDARG00000005883,91
ENSDARG00000005891,45
ENSDARG00000005894,14
ENSDARG00000005897,11
ENSDARG00000005908,19
ENSDARG00000005913,24
ENSDARG00000005915,100
ENSDARG00000005916,14
ENSDARG00000005924,137
ENSDARG00000005926,7
ENSDARG00000005927,18
ENSDARG00000005941,92
ENSDARG00000005942,0
